代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10826320.710000002756715
真實報酬,826320.710000002756715

夏普值報酬,0.073932071000000
夏普值風險,0.022683701659504
夏普值,3.259259538401910

預期報酬,41932.640368468812085
風險,43912.921008591103600
趨勢值,0.954904374506654
找到最佳解世代,2144
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
GS[8](3),JNJ[12](4),JPM[13](10),MCD[15](5),PG[21](17),TRV[22](2),UNH[23](27),WBA[27](9),
Stock#,GS[8](3),JNJ[12](4),JPM[13](10),MCD[15](5),PG[21](17),TRV[22](2),UNH[23](27),WBA[27](9),
張數,9799,17831,28428,14170,18412,17404,23045,33774,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,39.560000000055879,46.900000000139698,20.840000000083819,64.300000000046566,9.320000000065193,44.720000000204891,39.199999999953434,24.260000000009313,
20130102,1290175.899999999906868,1263194.940000000176951,1269615.320000000065193,1277064.700000000186265,1277618.000000000000000,1268100.160000000149012,1256913.500000000000000,1285462.700000000186265,10188145.219999998807907
20130103,1283120.620000000111759,1261411.840000000083819,1267056.800000000046566,1284291.399999999906868,1269516.720000000204891,1277846.400000000139698,1198148.750000000000000,1276343.719999999972060,10117736.250000001862645
20130104,1318103.050000000046566,1275854.950000000186265,1289514.920000000158325,1273238.800000000046566,1272094.400000000139698,1288984.960000000195578,1200453.250000000000000,1255741.580000000074506,10173985.910000000149012
20130107,1315653.300000000046566,1273180.300000000279397,1290936.320000000065193,1288259.000000000000000,1263440.760000000242144,1271580.960000000195578,1200453.250000000000000,1284449.479999999981374,10187953.370000001043081
20130108,1303796.510000000242144,1273358.610000000102445,1293494.840000000083819,1288684.100000000093132,1261415.440000000176951,1273843.480000000214204,1184552.199999999953434,1289177.840000000083819,10168323.020000001415610
20130109,1316241.239999999990687,1279064.530000000260770,1292642.000000000000000,1286842.000000000000000,1268227.879999999888241,1286896.480000000214204,1206905.849999999860302,1298634.560000000055879,10235454.540000000968575
20130110,1346128.190000000176951,1287266.790000000037253,1311973.040000000037253,1295202.300000000046566,1275408.560000000055879,1295772.520000000251457,1223959.149999999906868,1302687.439999999944121,10338397.990000000223517
20130111,1343776.429999999934807,1290119.750000000000000,1311688.760000000009313,1299878.400000000139698,1274487.959999999962747,1302734.120000000111759,1217276.099999999860302,1320587.660000000149012,10360549.179999999701977
20130114,1333977.429999999934807,1293864.260000000242144,1304297.480000000214204,1297044.400000000139698,1282036.879999999888241,1304474.520000000251457,1229720.399999999906868,1318561.219999999972060,10363976.590000001713634
20130115,1328685.970000000204891,1290476.370000000111759,1317658.640000000130385,1296761.000000000232831,1286639.879999999888241,1315090.960000000195578,1235712.099999999860302,1327342.459999999962747,10398367.379999998956919
20130116,1382580.470000000204891,1294220.880000000121072,1331019.800000000046566,1290951.300000000046566,1276697.400000000139698,1314916.920000000158325,1236633.899999999906868,1330382.120000000111759,10457402.789999999105930
20130117,1381796.550000000046566,1299926.800000000279397,1320217.159999999916181,1300303.500000000232831,1282773.360000000102445,1321008.320000000298023,1253687.199999999953434,1329368.899999999906868,10489081.790000000968575
20130118,1415505.109999999869615,1305811.030000000260770,1320785.720000000204891,1307388.500000000232831,1287744.600000000093132,1328143.960000000195578,1257374.399999999906868,1324302.800000000046566,10547056.120000001043081
20130122,1430203.609999999869615,1296182.290000000037253,1323059.959999999962747,1317165.800000000046566,1287928.720000000204891,1356686.520000000251457,1291020.100000000093132,1333759.520000000018626,10636006.520000001415610
20130123,1426382.000000000000000,1299035.250000000000000,1314247.280000000027940,1324675.900000000139698,1301553.600000000093132,1351291.280000000260770,1288485.149999999906868,1334772.740000000223517,10640443.200000001117587
20130124,1420502.600000000093132,1303493.000000000000000,1318227.199999999953434,1322267.000000000000000,1296582.360000000102445,1359123.080000000307336,1295629.099999999860302,1332070.819999999832362,10647895.160000000149012
20130125,1415603.100000000093132,1318114.420000000158325,1340685.320000000065193,1328076.699999999953434,1348688.320000000065193,1363648.120000000111759,1291481.000000000000000,1339838.840000000083819,10746135.820000000298023
20130128,1412565.410000000149012,1312765.120000000111759,1325902.760000000009313,1337145.500000000000000,1358262.560000000055879,1346244.120000000111759,1286180.649999999906868,1354361.660000000149012,10733427.779999999329448
20130129,1441472.459999999962747,1326851.610000000102445,1339548.199999999953434,1345080.700000000186265,1380909.320000000065193,1354249.960000000195578,1297011.800000000046566,1353010.700000000186265,10838134.750000000000000
20130130,1441962.410000000149012,1321145.690000000176951,1339832.480000000214204,1341538.200000000186265,1382382.280000000027940,1350247.040000000270084,1292402.799999999813735,1346593.639999999897555,10816104.540000002831221
20130131,1448919.700000000186265,1318114.420000000158325,1337558.239999999990687,1350323.600000000093132,1383855.239999999990687,1365562.560000000055879,1272353.649999999906868,1349633.300000000046566,10826320.710000002756715
