代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10472586.180000001564622
真實報酬,472586.180000001564622

夏普值報酬,0.038558618000000
夏普值風險,0.013204227692739
夏普值,2.920172152226957

預期報酬,25039.829271255061030
風險,8241.675735396251184
趨勢值,3.038196366269823
找到最佳解世代,2328
找到最佳解實驗#,2
找到最佳解次數,6

stock[index](rank)
投資組合檔數,13
AAPL[0](5),AXP[1](20),BA[2](11),CAT[3](21),CSCO[4](1),IBM[10](27),KO[14](6),MCD[15](4),MSFT[18](19),NKE[19](2),PFE[20](12),PG[21](16),TRV[22](7),
Stock#,AAPL[0](5),AXP[1](20),BA[2](11),CAT[3](21),CSCO[4](1),IBM[10](27),KO[14](6),MCD[15](4),MSFT[18](19),NKE[19](2),PFE[20](12),PG[21](16),TRV[22](7),
張數,7122,8551,6158,7585,31435,4679,18367,8206,16384,16546,25683,8814,7631,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,54.000000000000000,67.549999999930151,34.219999999972060,35.150000000023283,15.550000000046566,2.400000000023283,20.039999999920838,81.619999999995343,1.199999999953434,6.459999999962747,24.150000000023283,32.220000000088476,25.200000000069849,
20141103,779200.800000000046566,776925.899999999906868,776126.959999999962747,760203.849999999976717,772687.849999999976717,769042.840000000083819,767944.309999999939464,768245.280000000027940,777258.159999999916181,773201.039999999920838,775393.920000000041910,770199.540000000037253,762743.650000000139698,10029184.099999999627471
20141104,773503.199999999953434,781457.929999999934807,774956.939999999944121,747992.000000000000000,782118.349999999976717,761041.750000000000000,768127.979999999981374,775302.439999999944121,779388.079999999958090,777337.539999999920838,777705.390000000013970,781305.180000000051223,771748.229999999981374,10051995.009999999776483
20141105,775354.920000000041910,790350.969999999972060,764980.979999999981374,754060.000000000000000,790605.800000000046566,757158.179999999934807,777127.809999999939464,776697.459999999962747,784139.439999999944121,783294.099999999976717,771541.469999999972060,784478.220000000088476,774495.390000000013970,10084294.740000000223517
20141106,774215.400000000023283,783168.129999999888241,767197.859999999986030,765437.500000000000000,794063.650000000139698,755473.740000000107102,776760.469999999855645,776861.579999999958090,797902.000000000000000,782632.259999999892898,771541.469999999972060,783596.820000000181608,777700.410000000032596,10106561.290000000968575
20141107,776423.220000000088476,788982.809999999939464,766397.319999999948777,771884.750000000116415,796264.099999999976717,758327.929999999934807,777311.479999999981374,780472.219999999972060,797574.319999999948777,775848.400000000023283,768459.510000000009313,785624.040000000037253,781210.670000000158325,10124790.770000001415610
20141110,775141.260000000009313,790179.949999999953434,767567.339999999967404,775298.000000000000000,790605.800000000046566,764972.110000000102445,778597.169999999925494,780554.280000000027940,801014.959999999962747,785610.539999999920838,775650.750000000000000,788444.520000000135042,785941.890000000013970,10159588.570000000298023
20141111,781337.400000000023283,784536.289999999920838,772001.099999999976717,777725.200000000069849,790605.800000000046566,764083.100000000093132,780801.209999999846332,780800.459999999962747,800687.279999999911524,784948.699999999953434,778732.710000000079162,790383.600000000093132,785560.340000000083819,10172213.190000001341105
20141112,792376.500000000000000,782911.599999999860302,775141.680000000051223,781214.299999999930151,789348.400000000023283,757626.079999999958090,784474.609999999986030,782359.599999999976717,799212.719999999972060,792725.319999999948777,781301.010000000009313,788708.940000000176951,786476.060000000055879,10193886.820000000298023
20141113,803558.039999999920838,778807.119999999878928,791521.959999999962747,766954.500000000000000,807266.350000000093132,761696.809999999939464,785943.969999999855645,783590.500000000000000,812811.439999999944121,795207.219999999972060,781301.010000000009313,780952.619999999995343,787773.330000000074506,10237394.869999999180436
20141114,813243.960000000079162,775386.719999999972060,793554.100000000093132,768699.050000000046566,827384.750000000000000,768107.040000000037253,784841.949999999837019,789580.879999999888241,812319.919999999925494,790077.959999999962747,779246.369999999995343,776633.760000000125729,781668.530000000144355,10260754.989999998360872
20141117,811890.779999999911524,770769.179999999934807,790844.579999999841675,771429.650000000023283,832100.000000000000000,768107.040000000037253,788331.679999999934807,787611.439999999944121,810353.839999999967404,794710.839999999967404,778732.710000000079162,774253.980000000097789,784110.450000000069849,10263256.169999999925494
20141118,822431.339999999967404,774617.129999999888241,804638.500000000000000,774008.550000000046566,836186.550000000046566,757485.709999999962747,799535.549999999930151,791222.079999999958090,798557.359999999986030,798185.500000000000000,785667.119999999995343,775223.520000000135042,784873.550000000046566,10302642.459999999031425
20141119,816733.739999999990687,773933.049999999930151,810488.600000000093132,768395.650000000023283,835872.200000000069849,755333.370000000111759,812208.779999999911524,792452.979999999981374,790037.679999999934807,802156.539999999920838,781814.670000000041910,782098.440000000176951,786247.130000000121072,10307782.830000001937151
20141120,828413.820000000065193,774959.169999999925494,811042.819999999948777,774387.800000000046566,842787.900000000023283,751636.959999999962747,812759.789999999920838,793109.459999999962747,797902.000000000000000,804969.359999999986030,781814.670000000041910,779806.800000000046566,789528.460000000079162,10343129.010000003501773
20141121,829553.339999999967404,772992.439999999944121,817693.459999999962747,807458.400000000023283,844988.349999999976717,752947.079999999958090,817351.539999999920838,793437.700000000069849,786105.519999999902211,805962.119999999995343,782071.500000000000000,780952.619999999995343,792199.310000000055879,10383723.379999998956919
20141124,844936.859999999986030,778550.589999999967404,828962.600000000093132,803741.750000000000000,849703.600000000093132,758702.250000000000000,813127.130000000004657,797458.640000000013970,779715.760000000009313,810429.539999999920838,776164.410000000032596,776633.760000000125729,792046.690000000060536,10410183.579999998211861
20141125,837601.199999999953434,781628.949999999953434,830194.199999999953434,805865.549999999930151,857562.350000000093132,756877.439999999944121,816065.849999999860302,796063.619999999995343,777749.679999999934807,804969.359999999986030,782585.160000000032596,782715.420000000041910,789299.530000000144355,10419188.309999998658895
20141126,847572.000000000000000,782056.500000000000000,830009.459999999962747,802452.300000000046566,862277.600000000093132,757766.449999999953434,813494.469999999855645,789662.939999999944121,782337.199999999953434,809105.859999999986030,798765.450000000069849,783420.540000000037253,796472.670000000158325,10455403.439999999478459
20141128,847073.460000000079162,790350.969999999972060,827423.100000000093132,763086.150000000023283,868878.950000000069849,758795.829999999958090,823412.649999999906868,794504.479999999981374,783320.239999999990687,821515.359999999986030,800049.599999999976717,797082.240000000107102,797083.150000000139698,10472586.180000001564622
