代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10880411.149999998509884
真實報酬,880411.149999998509884

夏普值報酬,0.079341115000000
夏普值風險,0.024636494449861
夏普值,3.220470962760992

預期報酬,50665.303453441250895
風險,47616.088576730486238
趨勢值,1.064037491693530
找到最佳解世代,3350
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,5
AAPL[0](3),BA[2](16),JPM[13](2),NKE[19](24),WBA[27](10),
Stock#,AAPL[0](3),BA[2](16),JPM[13](2),NKE[19](24),WBA[27](10),
張數,17070,13757,36778,43355,27118,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,78.800000000046566,144.909999999916181,12.359999999869615,33.849999999860302,47.500000000000000,
20150202,2025092.899999999906868,2012243.729999999748543,2040088.019999999785796,1992629.649999999906868,2030914.520000000018626,10100968.819999998435378
20150203,2025434.300000000046566,2027101.290000000037253,2086060.519999999785796,2023845.249999999767169,2028202.720000000204891,10190644.080000000074506
20150204,2040968.000000000000000,2025450.449999999953434,2073556.000000000000000,2006069.699999999953434,2024948.560000000055879,10170992.710000000894070
20150205,2047454.600000000093132,2044435.109999999869615,2087899.419999999925494,2023411.699999999953434,2028202.720000000204891,10231403.550000000745058
20150206,2030213.900000000139698,2036180.909999999916181,2129090.779999999795109,1990028.349999999860302,2065083.200000000186265,10250597.140000000596046
20150209,2043699.199999999953434,2030402.969999999972060,2126516.319999999832362,1976588.300000000046566,2071862.700000000186265,10249069.490000000223517
20150210,2082960.199999999953434,2036731.189999999711290,2150054.239999999757856,2010838.750000000000000,2079726.919999999925494,10360311.299999998882413
20150211,2131780.400000000372529,2035080.349999999860302,2146744.219999999739230,1979623.149999999674037,2156742.040000000037253,10449970.160000000149012
20150212,2158751.000000000000000,2037419.040000000037253,2190877.819999999832362,1994363.849999999860302,2168402.779999999795109,10549814.489999998360872
20150213,2169334.400000000372529,2059980.519999999785796,2194555.620000000111759,1995230.949999999953434,2135047.640000000130385,10554149.130000000819564
20150217,2182136.900000000372529,2062594.349999999860302,2210370.160000000149012,1991328.999999999767169,2115251.500000000000000,10561681.910000000149012
20150218,2197329.200000000186265,2079790.599999999860302,2183522.219999999739230,2029481.399999999906868,2109556.720000000204891,10599680.140000000596046
20150219,2192720.299999999813735,2115283.660000000149012,2178373.299999999813735,2031215.599999999860302,2090845.299999999813735,10608438.160000000149012
20150220,2210643.799999999813735,2178015.580000000074506,2199336.759999999776483,2058095.699999999720603,2091658.839999999850988,10737750.679999999701977
20150223,2270388.799999999813735,2128903.089999999850988,2182786.660000000149012,2059829.899999999674037,2131251.120000000111759,10773159.570000000298023
20150224,2256220.700000000186265,2123950.570000000298023,2236850.319999999832362,2068500.899999999906868,2180063.520000000018626,10865586.009999999776483
20150225,2198524.099999999627471,2105103.479999999515712,2248619.279999999795109,2098849.399999999441206,2169758.680000000167638,10820854.939999997615814
20150226,2226348.200000000186265,2087494.519999999785796,2264801.599999999627471,2102751.349999999627471,2214232.200000000186265,10895627.869999997317791
20150227,2192891.000000000000000,2075388.359999999869615,2253768.199999999720603,2105352.650000000372529,2253010.939999999944121,10880411.149999998509884
