代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10410098.640000000596046
真實報酬,410098.640000000596046

夏普值報酬,0.032309864000000
夏普值風險,0.022824034076925
夏普值,1.415607069771446

預期報酬,23106.441549407172715
風險,157450.942015115142567
趨勢值,0.146753275996208
找到最佳解世代,1823
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
UNH[23](1),
Stock#,UNH[23](1),
張數,88004,
分配資金,10000000.000000000000000,
剩餘資金,105.480000000447035,
20150302,10067763.080000000074506,10067763.080000000074506
20150303,9932236.919999999925494,9932236.919999999925494
20150304,10016720.759999999776483,10016720.759999999776483
20150305,10102084.640000000596046,10102084.640000000596046
20150306,9933997.000000000000000,9933997.000000000000000
20150309,10111765.080000000074506,10111765.080000000074506
20150310,9897035.320000000298023,9897035.320000000298023
20150311,9919916.360000001266599,9919916.360000001266599
20150312,10110005.000000000000000,10110005.000000000000000
20150313,10142566.480000000447035,10142566.480000000447035
20150316,10430339.560000000521541,10430339.560000000521541
20150317,10349375.880000000819564,10349375.880000000819564
20150318,10557065.320000000298023,10557065.320000000298023
20150319,10627468.520000001415610,10627468.520000001415610
20150320,10484902.040000000968575,10484902.040000000968575
20150323,10476101.640000000596046,10476101.640000000596046
20150324,10395137.960000000894070,10395137.960000000894070
20150325,10256091.640000000596046,10256091.640000000596046
20150326,10230570.480000000447035,10230570.480000000447035
20150327,10385457.520000001415610,10385457.520000001415610
20150330,10648589.480000000447035,10648589.480000000447035
20150331,10410098.640000000596046,10410098.640000000596046
