代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10509873.730000000447035
真實報酬,509873.730000000447035

夏普值報酬,0.042287373000000
夏普值風險,0.013616126368751
夏普值,3.105683059541029

預期報酬,23223.893393939371890
風險,30439.005508000627742
趨勢值,0.762964919725619
找到最佳解世代,1916
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
AAPL[0](6),JNJ[12](7),KO[14](3),MCD[15](1),TRV[22](13),WMT[28](5),
Stock#,AAPL[0](6),JNJ[12](7),KO[14](3),MCD[15](1),TRV[22](13),WMT[28](5),
張數,11602,13498,38624,11910,13699,22169,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,38.699999999953434,67.939999999944121,40.400000000139698,99.699999999953434,45.660000000149012,0.579999999841675,
20170501,1700659.860000000102445,1664911.260000000009313,1669369.680000000167638,1681196.199999999953434,1660090.480000000214204,1667774.449999999953434,10044005.930000001564622
20170502,1711449.719999999739230,1669770.540000000037253,1675935.760000000242144,1682148.999999999767169,1648857.300000000046566,1674203.459999999729916,10062369.779999999329448
20170503,1706228.820000000065193,1664776.280000000027940,1673232.080000000074506,1698703.899999999906868,1655021.850000000093132,1679524.020000000018626,10077490.949999999254942
20170504,1700079.760000000009313,1673145.040000000037253,1686364.239999999990687,1708589.199999999720603,1655021.850000000093132,1692382.039999999804422,10115586.129999998956919
20170505,1728272.620000000111759,1667205.919999999925494,1687522.959999999962747,1714663.300000000046566,1661734.360000000102445,1695929.079999999841675,10155332.240000000223517
20170508,1775260.719999999739230,1663696.439999999944121,1695247.760000000242144,1717998.100000000093132,1657761.650000000139698,1687504.859999999869615,10197473.529999999329448
20170509,1786630.680000000167638,1663156.519999999785796,1680570.640000000130385,1719427.300000000046566,1643240.710000000195578,1700806.259999999776483,10193836.109999999403954
20170510,1778161.219999999739230,1657757.320000000065193,1682888.080000000074506,1721332.900000000139698,1653377.970000000204891,1700362.879999999888241,10193884.370000001043081
20170511,1786166.599999999860302,1663021.540000000037253,1686750.480000000214204,1717640.800000000046566,1651323.120000000344589,1687726.549999999813735,10192633.089999999850988
20170512,1811110.899999999906868,1668960.659999999916181,1683660.560000000288710,1731337.300000000046566,1652008.070000000298023,1678415.569999999599531,10225497.060000000521541
20170515,1806470.099999999860302,1714178.959999999962747,1689067.919999999925494,1742294.500000000000000,1647350.410000000149012,1691273.590000000083819,10290639.480000000447035
20170516,1803801.639999999897555,1724707.399999999906868,1693702.800000000279397,1754323.599999999860302,1642966.730000000214204,1665114.169999999925494,10284620.339999999850988
20170517,1743239.199999999953434,1709859.599999999860302,1696792.720000000204891,1743842.799999999813735,1647350.410000000149012,1665335.859999999869615,10206424.589999999850988
20170518,1769807.779999999795109,1713909.000000000000000,1691771.600000000093132,1750988.799999999813735,1655980.780000000027940,1718984.840000000083819,10301446.799999998882413
20170519,1775840.820000000065193,1714313.939999999944121,1695634.000000000000000,1764566.199999999953434,1654747.870000000344589,1746252.709999999729916,10351359.539999999105930
20170522,1786630.680000000167638,1717823.419999999925494,1706448.720000000204891,1765042.599999999860302,1666529.010000000242144,1741375.529999999795109,10383853.959999999031425
20170523,1784426.300000000046566,1721332.899999999906868,1714559.760000000242144,1760635.899999999906868,1666666.000000000000000,1740045.389999999664724,10387670.250000000000000
20170524,1779089.379999999888241,1721197.919999999925494,1739279.120000000111759,1780644.699999999953434,1672008.610000000102445,1732507.929999999934807,10424731.660000000149012
20170525,1785238.439999999944121,1721467.879999999888241,1753956.239999999990687,1783979.500000000000000,1694885.940000000176951,1736054.969999999972060,10475586.970000000670552
20170526,1782221.920000000158325,1713234.099999999860302,1753183.760000000242144,1784932.300000000046566,1694064.000000000000000,1732064.549999999813735,10459704.629999998956919
20170530,1782918.039999999804422,1715798.719999999972060,1754728.720000000204891,1785766.000000000000000,1695022.930000000167638,1732507.929999999934807,10466746.339999999850988
20170531,1772360.219999999739230,1731186.439999999944121,1756273.680000000167638,1797199.599999999860302,1710365.810000000055879,1742483.979999999748543,10509873.730000000447035
