代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10529310.839999999850988
真實報酬,529310.839999999850988

夏普值報酬,0.044231084000000
夏普值風險,0.013913857780497
夏普值,3.178923106573612

預期報酬,24987.565999999980704
風險,30390.399862865771865
趨勢值,0.822219059727886
找到最佳解世代,1992
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CVX[5](5),KO[14](10),MMM[16](7),
Stock#,CVX[5](5),KO[14](10),MMM[16](7),
張數,35113,106055,37913,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,55.909999999683350,24.350000000093132,22.040000000037253,
20110201,3378628.769999999552965,3343938.500000000000000,3328404.310000000055879,10050972.580000000074506
20110202,3387758.149999999906868,3333333.000000000000000,3326887.790000000037253,10047979.940000001341105
20110203,3416901.939999999944121,3318485.299999999813735,3334470.390000000130385,10069858.630000000819564
20110204,3409879.339999999850988,3317424.750000000000000,3347360.810000000055879,10074665.900000000372529
20110207,3429191.489999999757856,3315303.650000000372529,3366317.310000000055879,10110813.450000001117587
20110208,3432000.529999999329448,3334393.550000000279397,3392098.149999999906868,10158493.230000000447035
20110209,3379331.029999999329448,3349241.250000000000000,3441764.180000000167638,10170337.459999999031425
20110210,3395483.009999999776483,3369391.700000000186265,3429632.020000000018626,10194507.730000000447035
20110211,3386704.759999999776483,3371512.799999999813735,3480435.439999999944121,10238654.000000000000000
20110214,3404261.259999999776483,3348180.700000000186265,3484226.740000000223517,10236669.699999999254942
20110215,3382842.329999999608845,3351362.350000000093132,3488018.040000000037253,10222223.719999998807907
20110216,3394078.489999999757856,3361967.850000000093132,3500529.330000000074506,10256576.669999999925494
20110217,3411986.119999999646097,3423479.750000000000000,3515694.530000000260770,10351161.399999998509884
20110218,3466411.269999999552965,3423479.750000000000000,3524414.520000000018626,10414306.539999999105930
20110222,3522592.069999999366701,3381057.750000000000000,3488018.040000000037253,10391668.859999999403954
20110223,3591062.419999999459833,3389542.150000000372529,3422049.420000000391155,10402654.990000000223517
20110224,3582635.299999999813735,3387421.050000000279397,3413329.430000000167638,10383386.779999999329448
20110225,3585093.209999999497086,3410753.149999999906868,3421670.290000000037253,10417517.649999998509884
20110228,3643029.659999999683350,3389542.150000000372529,3496738.030000000260770,10529310.839999999850988
