代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11034503.640000000596046
真實報酬,1034503.640000000596046

夏普值報酬,0.094750364000000
夏普值風險,0.032340754770840
夏普值,2.929751166025114

預期報酬,52033.887858652989962
風險,81361.834038514542044
趨勢值,0.639536810760946
找到最佳解世代,1597
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
NKE[19](1),PG[21](4),WBA[27](3),WMT[28](2),
Stock#,NKE[19](1),PG[21](4),WBA[27](3),WMT[28](2),
張數,113895,40816,84516,35857,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,4.750000000000000,20.000000000000000,16.720000000204891,49.959999999962747,
20120702,2529612.700000000186265,2497551.040000000037253,2523664.479999999981374,2486732.909999999683350,10037561.130000000819564
20120703,2576309.649999999906868,2504489.759999999776483,2502535.479999999981374,2536932.709999999962747,10120267.600000001490116
20120705,2625284.500000000000000,2504081.600000000093132,2524509.640000000130385,2548765.520000000018626,10202641.259999999776483
20120706,2602505.500000000000000,2501224.479999999981374,2503380.640000000130385,2558805.479999999981374,10165916.100000001490116
20120709,2570614.899999999906868,2512244.799999999813735,2510141.919999999925494,2573148.280000000260770,10166149.899999998509884
20120710,2599088.649999999906868,2519591.679999999701977,2528735.440000000409782,2585698.229999999981374,10233114.000000000000000
20120711,2627562.399999999906868,2506122.399999999906868,2530425.760000000242144,2591076.780000000260770,10255187.339999999850988
20120712,2615033.950000000186265,2599999.200000000186265,2543948.320000000298023,2592869.629999999888241,10351851.100000001490116
20120713,2675398.299999999813735,2656733.439999999944121,2584516.000000000000000,2624065.220000000204891,10540712.960000000894070
20120716,2649202.450000000186265,2645304.959999999962747,2577754.720000000204891,2616893.820000000298023,10489155.950000001117587
20120717,2641229.800000000279397,2667345.599999999627471,2594657.919999999925494,2621196.659999999683350,10524429.980000000447035
20120718,2694760.450000000186265,2645713.119999999646097,2617477.240000000223517,2612232.409999999683350,10570183.220000000670552
20120719,2712983.649999999906868,2649794.720000000204891,2925960.640000000130385,2564901.169999999925494,10853640.179999999701977
20120720,2650341.399999999906868,2642039.680000000167638,2924270.320000000298023,2590718.209999999962747,10807369.609999999403954
20120723,2643507.700000000186265,2628162.240000000223517,2866799.440000000409782,2576375.409999999683350,10714844.790000000968575
20120724,2646924.549999999813735,2613060.319999999832362,2882857.479999999981374,2586773.939999999944121,10729616.289999999105930
20120725,2662869.850000000093132,2613060.319999999832362,2928496.120000000111759,2584622.520000000018626,10789048.810000000521541
20120726,2750569.000000000000000,2635100.959999999962747,2955541.240000000223517,2641635.149999999906868,10982846.349999999627471
20120727,2763097.450000000186265,2656733.439999999944121,3018928.240000000223517,2672113.599999999627471,11110872.730000000447035
20120730,2728928.950000000186265,2657141.599999999627471,3065412.040000000502914,2688607.820000000298023,11140090.410000000149012
20120731,2658314.049999999813735,2634284.640000000130385,3073018.479999999981374,2668886.470000000204891,11034503.640000000596046
