代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10565726.759999999776483
真實報酬,565726.759999999776483

夏普值報酬,0.047872676000000
夏普值風險,0.016210056863569
夏普值,2.953270084301129

預期報酬,27557.474361001313810
風險,22511.588897947978694
趨勢值,1.224146126953895
找到最佳解世代,2219
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
KO[14](5),UNH[23](1),UTX[24](23),WMT[28](21),
Stock#,KO[14](5),UNH[23](1),UTX[24](23),WMT[28](21),
張數,57964,20990,25874,37684,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,12.679999999701977,91.000000000000000,54.120000000111759,43.439999999944121,
20160301,2532459.839999999385327,2553944.299999999813735,2459377.819999999832362,2504522.079999999608845,10050304.039999999105930
20160302,2537096.959999999962747,2545548.299999999813735,2471797.340000000316650,2495101.079999999608845,10049543.679999999701977
20160303,2548110.119999999646097,2557092.799999999813735,2486804.260000000242144,2492463.200000000186265,10084470.379999998956919
20160304,2556804.719999999739230,2556673.000000000000000,2509832.120000000111759,2516580.959999999962747,10139890.800000000745058
20160307,2551008.319999999366701,2555833.399999999906868,2507762.200000000186265,2558410.200000000186265,10173014.119999999180436
20160308,2568977.159999999683350,2553734.399999999906868,2507244.720000000204891,2564062.800000000279397,10194019.080000000074506
20160309,2597379.520000000018626,2541980.000000000000000,2499482.520000000018626,2544843.959999999962747,10183686.000000000000000
20160310,2621724.399999999441206,2562760.100000000093132,2488615.440000000409782,2540321.879999999888241,10213421.820000000298023
20160311,2619985.479999999981374,2625940.000000000000000,2503363.620000000111759,2531277.720000000204891,10280566.820000000298023
20160314,2625202.239999999757856,2628458.799999999813735,2505433.540000000037253,2538437.679999999701977,10297532.259999997913837
20160315,2622304.040000000037253,2620692.500000000000000,2491461.580000000074506,2565947.000000000000000,10300405.120000001043081
20160316,2611290.879999999422580,2621742.000000000000000,2522510.379999999888241,2562178.599999999627471,10317721.859999999403954
20160317,2653024.959999999962747,2613975.700000000186265,2557440.280000000260770,2541829.240000000223517,10366270.179999999701977
20160318,2643171.079999999608845,2659943.799999999813735,2562873.819999999832362,2522987.240000000223517,10388975.939999999478459
20160321,2647228.559999999590218,2660363.600000000093132,2565978.700000000186265,2561424.919999999925494,10434995.780000001192093
20160322,2637374.679999999701977,2687230.800000000279397,2552782.959999999962747,2557656.520000000018626,10435044.960000000894070
20160323,2635056.119999999646097,2724383.099999999627471,2564426.260000000242144,2542206.079999999608845,10466071.559999998658895
20160324,2642011.799999999813735,2699195.100000000093132,2563132.560000000055879,2562555.439999999944121,10466894.900000000372529
20160328,2654763.879999999422580,2706121.799999999813735,2559251.459999999962747,2567077.520000000018626,10487214.660000000149012
20160329,2694179.399999999441206,2725222.700000000186265,2590559.000000000000000,2563685.959999999962747,10573647.059999998658895
20160330,2699975.799999999813735,2722074.200000000186265,2593922.620000000111759,2592702.639999999664724,10608675.259999999776483
20160331,2688962.639999999664724,2705702.000000000000000,2590041.520000000018626,2581020.599999999627471,10565726.759999999776483
