代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10463886.730000000447035
真實報酬,463886.730000000447035

夏普值報酬,0.037688673000000
夏普值風險,0.014413222953926
夏普值,2.614867827999209

預期報酬,23898.260154032017454
風險,52488.892563765228260
趨勢值,0.455301283504879
找到最佳解世代,1840
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,6
AAPL[0](2),CVX[5](7),JNJ[12](10),KO[14](9),PG[21](1),VZ[26](8),
Stock#,AAPL[0](2),CVX[5](7),JNJ[12](10),KO[14](9),PG[21](1),VZ[26](8),
張數,9625,13937,12197,36759,16911,29280,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,97.250000000000000,79.540000000037253,67.920000000158325,12.939999999944121,86.949999999953434,48.399999999906868,
20190301,1684183.500000000000000,1700811.650000000139698,1687522.870000000111759,1668136.360000000102445,1664805.789999999804422,1667837.199999999953434,10073301.369999999180436
20190304,1692653.500000000000000,1702065.980000000214204,1689108.479999999981374,1678061.289999999804422,1672077.520000000018626,1646755.599999999860302,10080726.370000001043081
20190305,1689573.500000000000000,1718372.270000000018626,1692645.610000000335276,1676223.340000000083819,1675797.939999999944121,1642070.799999999813735,10094687.460000000894070
20190306,1679852.250000000000000,1721717.150000000139698,1696548.650000000139698,1670709.489999999990687,1673092.180000000167638,1630358.799999999813735,10072282.519999999552965
20190307,1660409.750000000000000,1699557.320000000065193,1686181.200000000186265,1664460.459999999962747,1666666.000000000000000,1648512.399999999906868,10025791.130000000819564
20190308,1664356.000000000000000,1695097.480000000214204,1683985.740000000223517,1648286.500000000000000,1664298.459999999962747,1655246.800000000046566,10011274.980000000447035
20190311,1722009.750000000000000,1722971.480000000214204,1690084.240000000223517,1697543.559999999823049,1684084.329999999841675,1685990.799999999813735,10202688.160000000149012
20190312,1741356.000000000000000,1726873.840000000083819,1697646.380000000353903,1692764.889999999897555,1692032.500000000000000,1681598.799999999813735,10232276.410000000149012
20190313,1749056.000000000000000,1737605.330000000074506,1700451.690000000176951,1699013.919999999925494,1711141.930000000167638,1688333.199999999720603,10285606.070000000298023
20190314,1768498.500000000000000,1736629.739999999990687,1683497.860000000335276,1679899.239999999990687,1713509.469999999739230,1696824.399999999906868,10278863.210000000894070
20190315,1791502.250000000000000,1746525.010000000009313,1678375.120000000111759,1665195.639999999897555,1732449.789999999804422,1709707.599999999860302,10323759.409999998286366
20190318,1809789.750000000000000,1754469.099999999860302,1673130.409999999916181,1669239.129999999888241,1716722.560000000055879,1700338.000000000000000,10323692.949999999254942
20190319,1795448.500000000000000,1746106.900000000139698,1688620.600000000093132,1674752.979999999981374,1723317.850000000093132,1683648.399999999906868,10311899.230000000447035
20190320,1811137.250000000000000,1737884.070000000065193,1674594.050000000046566,1673650.209999999962747,1720273.869999999878928,1688626.000000000000000,10306169.449999999254942
20190321,1877838.500000000000000,1754190.360000000102445,1684473.620000000111759,1672915.029999999795109,1733295.339999999850988,1706779.599999999860302,10429496.449999999254942
20190322,1838953.500000000000000,1715584.870000000111759,1669959.190000000176951,1688353.809999999823049,1719259.209999999962747,1749821.199999999953434,10381935.779999999329448
20190325,1816719.750000000000000,1712797.469999999972060,1666300.090000000316650,1692029.709999999962747,1724332.509999999776483,1759190.799999999813735,10371374.330000001937151
20190326,1797951.000000000000000,1730079.349999999860302,1690206.209999999962747,1714452.699999999953434,1742258.169999999925494,1775294.800000000046566,10450246.230000000447035
20190327,1814121.000000000000000,1711403.770000000018626,1691791.820000000065193,1713349.929999999934807,1740228.850000000093132,1782614.800000000046566,10453514.169999999925494
20190328,1816527.250000000000000,1714609.280000000027940,1693987.280000000027940,1712247.159999999916181,1751221.000000000000000,1729910.799999999813735,10418506.769999999552965
20190329,1828366.000000000000000,1716839.200000000186265,1705086.550000000046566,1722539.679999999934807,1759676.500000000000000,1731374.800000000046566,10463886.730000000447035
