代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11081611.289999999105930
真實報酬,1081611.289999999105930

夏普值報酬,0.099461129000000
夏普值風險,0.030178028897501
夏普值,3.295812636995477

預期報酬,15930.403588418628715
風險,123759.199085706961341
趨勢值,0.128720965440204
找到最佳解世代,2560
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MCD[15](1),
Stock#,MCD[15](1),
張數,131423,
分配資金,10000000.000000000000000,
剩餘資金,23.929999999701977,
20110401,9986857.699999999254942,9986857.699999999254942
20110404,10039426.900000000372529,10039426.900000000372529
20110405,10067025.729999998584390,10067025.729999998584390
20110406,10082796.490000000223517,10082796.490000000223517
20110407,9989486.160000000149012,9989486.160000000149012
20110408,9993428.849999999627471,9993428.849999999627471
20110411,10021027.679999999701977,10021027.679999999701977
20110412,10074911.109999999403954,10074911.109999999403954
20110413,10105138.400000000372529,10105138.400000000372529
20110414,10128794.539999999105930,10128794.539999999105930
20110415,10169535.669999999925494,10169535.669999999925494
20110418,10119594.929999999701977,10119594.929999999701977
20110419,10067025.729999998584390,10067025.729999998584390
20110420,10303587.130000000819564,10303587.130000000819564
20110421,10107766.859999999403954,10107766.859999999403954
20110425,10136679.919999999925494,10136679.919999999925494
20110426,10111709.549999998882413,10111709.549999998882413
20110427,10233932.939999999478459,10233932.939999999478459
20110428,10254960.619999999180436,10254960.619999999180436
20110429,10291759.060000000521541,10291759.060000000521541
20110502,10335128.650000000372529,10335128.650000000372529
20110503,10374555.549999998882413,10374555.549999998882413
20110504,10391640.539999999105930,10391640.539999999105930
20110505,10329871.729999998584390,10329871.729999998584390
20110506,10343014.029999999329448,10343014.029999999329448
20110509,10423182.060000000521541,10423182.060000000521541
20110510,10475751.259999999776483,10475751.259999999776483
20110511,10449466.660000000149012,10449466.660000000149012
20110512,10600603.109999999403954,10600603.109999999403954
20110513,10611116.949999999254942,10611116.949999999254942
20110516,10663686.150000000372529,10663686.150000000372529
20110517,10636087.320000000298023,10636087.320000000298023
20110518,10710998.429999999701977,10710998.429999999701977
20110519,10843735.660000000149012,10843735.660000000149012
20110520,10820079.519999999552965,10820079.519999999552965
20110523,10842421.429999999701977,10842421.429999999701977
20110524,10860820.650000000372529,10860820.650000000372529
20110525,10871334.490000000223517,10871334.490000000223517
20110526,10833221.820000000298023,10833221.820000000298023
20110527,10726769.189999999478459,10726769.189999999478459
20110531,10716255.349999999627471,10716255.349999999627471
20110601,10642658.470000000670552,10642658.470000000670552
20110602,10612431.179999999701977,10612431.179999999701977
20110603,10584832.349999999627471,10584832.349999999627471
20110606,10605860.029999999329448,10605860.029999999329448
20110607,10663686.150000000372529,10663686.150000000372529
20110608,10665000.380000000819564,10665000.380000000819564
20110609,10679456.910000000149012,10679456.910000000149012
20110610,10561176.209999999031425,10561176.209999999031425
20110613,10609802.720000000670552,10609802.720000000670552
20110614,10707055.740000000223517,10707055.740000000223517
20110615,10676828.449999999254942,10676828.449999999254942
20110616,10751739.560000000521541,10751739.560000000521541
20110617,10845049.889999998733401,10845049.889999998733401
20110620,10867391.799999998882413,10867391.799999998882413
20110621,10881848.330000000074506,10881848.330000000074506
20110622,10862134.880000000819564,10862134.880000000819564
20110623,10814822.599999999627471,10814822.599999999627471
20110624,10755682.250000000000000,10755682.250000000000000
20110627,10818765.289999999105930,10818765.289999999105930
20110628,11085553.979999998584390,11085553.979999998584390
20110629,11114467.039999999105930,11114467.039999999105930
20110630,11081611.289999999105930,11081611.289999999105930
