代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12143298.609999999403954
真實報酬,2143298.609999999403954

夏普值報酬,0.205629861000000
夏普值風險,0.060609923580567
夏普值,3.392676460425836

預期報酬,37637.136192819642019
風險,89947.835397200804437
趨勢值,0.418432928670465
找到最佳解世代,2108
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](4),CAT[3](2),CSCO[4](7),DIS[6](1),HD[9](3),MCD[15](6),WMT[28](24),
Stock#,AAPL[0](4),CAT[3](2),CSCO[4](7),DIS[6](1),HD[9](3),MCD[15](6),WMT[28](24),
張數,52061,27346,63576,48344,51002,22882,26737,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,17.159999999916181,15.959999999962747,18.280000000027940,5.800000000046566,4.979999999981374,47.739999999990687,13.090000000083819,
20100201,1448354.179999999934807,1447713.199999999953434,1445100.760000000009313,1427120.679999999934807,1447951.760000000009313,1461978.719999999972060,1429907.850000000093132,10108130.149999998509884
20100202,1456683.939999999944121,1464394.259999999776483,1463537.800000000046566,1449358.920000000158325,1480593.040000000037253,1465182.199999999953434,1430175.220000000204891,10209928.380000000819564
20100203,1481673.219999999972060,1460018.899999999906868,1466716.600000000093132,1486583.800000000046566,1452031.919999999925494,1492182.959999999962747,1451030.080000000074506,10290240.480000000447035
20100204,1428571.000000000000000,1405600.359999999869615,1472438.439999999944121,1434372.280000000027940,1424490.839999999850988,1465868.660000000149012,1416271.979999999981374,10047616.560000000521541
20100205,1453560.280000000027940,1415171.459999999962747,1506769.479999999981374,1428087.560000000055879,1427040.939999999944121,1450080.079999999841675,1429105.740000000223517,10109818.540000000968575
20100208,1443668.689999999944121,1388645.840000000083819,1494054.280000000027940,1425186.920000000158325,1458152.159999999916181,1439783.179999999934807,1415202.500000000000000,10064696.570000000298023
