代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12484362.100000001490116
真實報酬,2484362.100000001490116

夏普值報酬,0.239736210000000
夏普值風險,0.078919956431378
夏普值,3.037713410402785

預期報酬,44266.837503280825331
風險,188974.521806350996485
趨勢值,0.234247649260585
找到最佳解世代,1933
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),GS[8](2),MSFT[18](5),
Stock#,BA[2](1),GS[8](2),MSFT[18](5),
張數,25302,20669,57870,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,47.519999999552965,43.369999999646097,21.000000000000000,
20161003,3349526.279999999329448,3329199.199999999720603,3322916.399999999906868,10001642.879999998956919
20161004,3346237.019999999552965,3354002.000000000000000,3312499.800000000279397,10012739.820000000298023
20161005,3407214.839999999385327,3439364.969999999739230,3335647.799999999813735,10182228.609999999403954
20161006,3401142.359999999403954,3454866.719999999739230,3341434.800000000279397,10197444.879999998956919
20161007,3386720.219999999273568,3510259.640000000130385,3344907.000000000000000,10241887.859999999403954
20161010,3437071.199999999720603,3535269.129999999422580,3358795.799999999813735,10331137.129999998956919
20161011,3383937.000000000000000,3493931.129999999422580,3309606.299999999813735,10187475.429999999701977
20161012,3369261.839999999385327,3499305.069999999832362,3304976.700000000186265,10173544.609999999403954
20161013,3374828.279999999329448,3460447.349999999161810,3293981.399999999906868,10129258.029999999329448
20161014,3377864.519999999552965,3524521.250000000000000,3322916.399999999906868,10225303.169999999925494
20161017,3390515.519999999552965,3493104.369999999646097,3311342.399999999906868,10194963.289999999105930
20161018,3418347.719999999273568,3568132.839999999385327,3336805.199999999720603,10323286.759999997913837
20161019,3445673.879999999888241,3606990.559999999590218,3329282.100000000093132,10381947.539999999105930
20161020,3437071.199999999720603,3606990.559999999590218,3313078.500000000000000,10357141.259999999776483
20161021,3431757.779999999329448,3610297.599999999161810,3452545.199999999720603,10494601.579999998211861
20161024,3477807.419999999459833,3619598.649999999906868,3530091.000000000000000,10627498.070000000298023
20161025,3517531.559999999590218,3628486.319999999832362,3529512.300000000279397,10675531.179999999701977
20161026,3682500.599999999161810,3659903.199999999720603,3508679.100000000093132,10851083.899999998509884
20161027,3626077.139999999664724,3673958.119999999646097,3478008.000000000000000,10778044.259999999776483
20161028,3618486.539999999105930,3661350.029999999329448,3464697.899999999906868,10744535.469999998807907
20161031,3603811.379999999888241,3684085.929999999701977,3467591.399999999906868,10755489.709999999031425
20161101,3603305.339999999385327,3680365.509999999776483,3460647.000000000000000,10744318.849999999627471
20161102,3561304.019999999552965,3649775.390000000130385,3439235.100000000093132,10650315.509999999776483
20161103,3542833.559999999590218,3642127.859999999869615,3426503.700000000186265,10611466.120000001043081
20161104,3530688.599999999161810,3636133.849999999161810,3397568.700000000186265,10564392.149999998509884
20161107,3618992.579999999608845,3751053.489999999292195,3496526.399999999906868,10866573.469999998807907
20161108,3597991.919999999459833,3760147.849999999161810,3499419.899999999906868,10857560.669999998062849
20161109,3671114.699999999720603,3981512.839999999385327,3482058.899999999906868,11134687.439999999478459
20161110,3736899.899999999441206,4151825.399999999906868,3396990.000000000000000,11285716.299999998882413
20161111,3757900.559999999590218,4215279.230000000447035,3415508.400000000372529,11388689.190000001341105
20161114,3795094.500000000000000,4323584.789999999105930,3363425.399999999906868,11482105.689999999478459
20161115,3747526.739999999757856,4365129.480000000447035,3406827.899999999906868,11519485.120000001043081
20161116,3705272.399999999441206,4263231.309999998658895,3451966.500000000000000,11420471.209999997168779
20161117,3677187.179999999701977,4332885.839999999850988,3509257.799999999813735,11519331.820000000298023
20161118,3702995.219999999273568,4347767.519999999552965,3492475.500000000000000,11543239.239999998360872
20161121,3719947.559999999590218,4362855.890000000596046,3521989.200000000186265,11604793.650000000372529
20161122,3783202.559999999590218,4363475.959999999031425,3537035.399999999906868,11683714.919999998062849
20161123,3788769.000000000000000,4388278.759999999776483,3495369.000000000000000,11672417.759999999776483
20161125,3796359.599999999161810,4369056.589999999850988,3502892.100000000093132,11668309.289999999105930
20161128,3789528.059999999590218,4347767.519999999552965,3507521.700000000186265,11644818.279999999329448
20161129,3836842.799999999348074,4376704.119999999180436,3535299.300000000279397,11748847.219999998807907
20161130,3809516.639999999664724,4532548.379999998956919,3487267.199999999720603,11829333.219999998807907
20161201,3855819.299999999348074,4684258.839999999850988,3425925.000000000000000,11966004.139999998733401
20161202,3852277.019999999552965,4616671.209999999031425,3428818.500000000000000,11897767.729999998584390
20161205,3849999.839999999385327,4723943.320000000298023,3484952.399999999906868,12058896.560000000521541
20161206,3852024.000000000000000,4782436.589999999850988,3469327.500000000000000,12103789.089999999850988
