代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10673577.890000000596046
真實報酬,673577.890000000596046

夏普值報酬,0.058657789000000
夏普值風險,0.017545711251887
夏普值,3.343141133346193

預期報酬,9873.683048524138940
風險,40113.416469905241684
趨勢值,0.246144156181057
找到最佳解世代,1806
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),DIS[6](15),JNJ[12](11),KO[14](4),WMT[28](8),
Stock#,AAPL[0](1),DIS[6](15),JNJ[12](11),KO[14](4),WMT[28](8),
張數,14599,18166,16365,47664,28196,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,82.989999999757856,105.059999999823049,33.350000000093132,18.560000000055879,57.719999999739230,
20170301,2040877.199999999720603,2017257.699999999953434,2027002.250000000000000,2009532.799999999813735,1986465.919999999925494,10081135.869999999180436
20170302,2028760.029999999795109,2009083.000000000000000,2023238.300000000046566,2024308.639999999897555,1995206.679999999934807,10080596.650000000372529
20170303,2040731.209999999729916,2020890.899999999674037,2025856.700000000186265,2024785.279999999795109,1974623.599999999860302,10086887.689999999478459
20170306,2034307.649999999906868,2010536.279999999795109,2024547.500000000000000,2010486.080000000074506,1970394.199999999720603,10050271.709999999031425
20170307,2036935.469999999972060,2013987.819999999832362,2026511.300000000046566,2001429.920000000158325,1970112.239999999757856,10048976.750000000000000
20170308,2029343.989999999757856,2013624.500000000000000,2030929.850000000093132,2001429.920000000158325,1968138.519999999552965,10043466.779999999329448
20170309,2024672.309999999823049,2017076.039999999804422,2061205.100000000093132,2003336.480000000214204,1969830.279999999795109,10076120.209999999031425
20170310,2031387.849999999627471,2015077.779999999795109,2065460.000000000000000,2015729.120000000111759,1976597.319999999599531,10104252.069999998435378
20170313,2032263.789999999571592,2025977.379999999655411,2073151.550000000279397,2003336.480000000214204,1972367.919999999925494,10107097.119999999180436
20170314,2029198.000000000000000,2040328.519999999785796,2079206.600000000093132,2000476.639999999897555,1994078.839999999618158,10143288.599999997764826
20170315,2050658.529999999795109,2032335.479999999981374,2110463.750000000000000,2007626.239999999990687,1990131.399999999674037,10191215.400000000372529
20170316,2054016.299999999813735,2029428.919999999692664,2102281.250000000000000,2013822.560000000055879,1986183.959999999729916,10185732.989999998360872
20170317,2043797.000000000000000,2030337.219999999972060,2095735.250000000232831,2003336.480000000214204,1970676.159999999683350,10143882.109999999403954
20170320,2065257.529999999795109,2047594.919999999692664,2095898.899999999906868,2010486.080000000074506,1973213.799999999813735,10192451.230000000447035
20170321,2041607.149999999906868,2030155.559999999823049,2082479.600000000093132,2025738.560000000055879,1970958.119999999878928,10150938.990000000223517
20170322,2064673.569999999599531,2036150.339999999850988,2066278.250000000232831,2020018.880000000121072,1980826.719999999739230,10167947.759999997913837
20170323,2057374.069999999599531,2039056.899999999674037,2060386.850000000093132,2010009.440000000176951,1969830.279999999795109,10136657.539999999105930
20170324,2053286.349999999627471,2037240.299999999813735,2053513.550000000046566,2007626.239999999990687,1962781.279999999795109,10114447.719999998807907
20170327,2056790.109999999636784,2041600.139999999664724,2058750.350000000093132,2017159.040000000037253,1964191.079999999608845,10138490.719999998807907
20170328,2099419.189999999944121,2053771.359999999869615,2056459.250000000000000,2022402.080000000074506,1982800.439999999478459,10214852.320000000298023
20170329,2104090.869999999646097,2044325.039999999804422,2044349.150000000139698,2021925.440000000176951,1994642.759999999543652,10209333.259999999776483
20170330,2101317.060000000055879,2056132.939999999944121,2040094.250000000000000,2030504.960000000195578,2018609.359999999869615,10246658.570000000298023
20170331,2097375.329999999608845,2059947.799999999813735,2038294.100000000093132,2022878.719999999972060,2032425.399999999674037,10250921.349999999627471
20170403,2097959.289999999571592,2056496.259999999776483,2040585.199999999953434,2021448.799999999813735,2025376.399999999674037,10241865.949999999254942
20170404,2113580.219999999739230,2053589.699999999953434,2040421.550000000279397,2034318.080000000074506,2030451.679999999934807,10272361.230000000447035
20170405,2102630.969999999739230,2052863.059999999823049,2042385.350000000093132,2029075.040000000037253,2020301.119999999878928,10247255.539999999105930
20170406,2097375.329999999608845,2053771.359999999869615,2046476.600000000093132,2033841.440000000176951,2014098.000000000000000,10245562.730000000447035
20170407,2092703.649999999906868,2045233.339999999850988,2044349.150000000139698,2030981.600000000093132,2055546.119999999878928,10268813.859999999403954
20170410,2090221.819999999599531,2042508.439999999944121,2034857.450000000186265,2034794.719999999972060,2060057.479999999748543,10262439.910000000149012
20170411,2067739.359999999636784,2054134.679999999701977,2032893.650000000139698,2033364.799999999813735,2070490.000000000000000,10258622.489999998360872
20170412,2070221.189999999944121,2053589.699999999953434,2052204.350000000093132,2046710.719999999972060,2070771.959999999729916,10293497.919999999925494
20170413,2059271.939999999944121,2056496.259999999776483,2045494.699999999953434,2039561.120000000111759,2062595.119999999878928,10263419.139999998733401
20170417,2070659.159999999916181,2067032.539999999804422,2057441.150000000139698,2052907.040000000037253,2072181.759999999543652,10320221.649999998509884
20170418,2061461.789999999571592,2074480.599999999860302,1993617.649999999906868,2072449.279999999795109,2083460.159999999683350,10285469.479999998584390
20170419,2053870.309999999823049,2066124.239999999990687,1986253.400000000139698,2060533.279999999795109,2088535.439999999478459,10255316.669999999925494
20170420,2079564.549999999813735,2085380.199999999953434,1994435.900000000139698,2053860.320000000298023,2109118.519999999552965,10322359.490000000223517
20170421,2077082.719999999972060,2079022.099999999860302,1992635.750000000232831,2052907.040000000037253,2113065.959999999497086,10314713.570000000298023
20170424,2097083.349999999627471,2065579.259999999776483,2011128.200000000186265,2062916.480000000214204,2108554.599999999627471,10345261.890000000596046
20170425,2110076.459999999962747,2092464.939999999944121,2019965.300000000279397,2054813.600000000093132,2116167.519999999552965,10393487.820000000298023
20170426,2097667.310000000055879,2099731.339999999850988,2021274.500000000232831,2061009.920000000158325,2126882.000000000000000,10406565.070000000298023
20170427,2099273.199999999720603,2104454.500000000000000,2025038.449999999953434,2050047.199999999953434,2127163.959999999497086,10405977.309999998658895
20170428,2097229.339999999850988,2100094.660000000149012,2020619.900000000139698,2056720.159999999916181,2119833.000000000000000,10394497.060000000521541
20170501,2140004.410000000149012,2084290.239999999990687,2018492.450000000186265,2060056.639999999897555,2121242.799999999813735,10424086.539999999105930
20170502,2153581.479999999515712,2077750.479999999981374,2024383.850000000093132,2068159.520000000018626,2129419.639999999664724,10453294.969999998807907
