代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13270818.250000000000000
真實報酬,3270818.250000000000000

夏普值報酬,0.318381825000000
夏普值風險,0.089464001348343
夏普值,3.558770233854487

預期報酬,14590.682357250012501
風險,184290.588847593026003
趨勢值,0.079172151158063
找到最佳解世代,1730
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AXP[1](26),CVX[5](3),IBM[10](2),KO[14](6),MCD[15](15),PFE[20](4),UNH[23](1),
Stock#,AXP[1](26),CVX[5](3),IBM[10](2),KO[14](6),MCD[15](15),PFE[20](4),UNH[23](1),
張數,32002,18745,11125,51834,20487,95238,46915,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,1.719999999972060,14.550000000046566,121.000000000000000,25.959999999962747,12.489999999990687,1.000000000000000,9.250000000000000,
20100802,1439771.699999999953434,1458375.550000000046566,1454826.000000000000000,1462263.100000000093132,1439224.239999999990687,1474285.239999999990687,1475016.850000000093132,10203765.679999999701977
20100803,1427290.919999999925494,1474496.250000000000000,1450487.250000000000000,1461226.419999999925494,1443321.640000000130385,1556189.919999999925494,1520993.550000000046566,10334008.950000001117587
20100804,1411609.939999999944121,1481244.449999999953434,1460499.750000000000000,1465891.479999999981374,1448238.520000000018626,1565713.720000000204891,1543981.899999999906868,10377182.759999999776483
20100805,1383128.159999999916181,1482181.699999999953434,1466729.750000000232831,1461226.419999999925494,1443321.640000000130385,1541904.220000000204891,1567908.550000000046566,10346403.440000001341105
20100806,1392088.719999999972060,1475808.400000000139698,1447928.499999999767169,1471074.879999999888241,1469749.869999999878928,1546666.119999999878928,1569316.000000000232831,10372635.490000000223517
20100809,1400089.219999999972060,1486305.600000000093132,1468621.000000000000000,1480405.000000000000000,1493924.530000000027940,1563808.960000000195578,1571192.600000000093132,10464349.910000000149012
20100810,1410969.900000000139698,1481619.350000000093132,1466841.000000000000000,1476776.619999999878928,1492285.570000000065193,1578094.659999999916181,1563686.199999999953434,10470276.299999998882413
20100811,1374807.639999999897555,1445816.399999999906868,1444479.750000000232831,1452414.639999999897555,1466267.079999999841675,1523809.000000000000000,1500820.099999999860302,10208417.609999999403954
20100812,1348886.020000000018626,1444691.699999999953434,1427458.500000000232831,1443602.860000000102445,1476305.709999999962747,1542856.599999999860302,1507388.200000000186265,10191192.589999999850988
20100813,1335445.179999999934807,1450877.550000000046566,1422674.750000000000000,1444639.540000000037253,1472822.919999999925494,1531428.039999999804422,1502696.699999999953434,10160587.679999999701977
20100816,1329364.800000000046566,1456688.500000000000000,1421562.250000000000000,1448267.919999999925494,1470774.220000000204891,1526666.140000000130385,1496597.750000000000000,10149924.580000000074506
20100817,1335765.199999999953434,1457813.199999999953434,1429127.249999999767169,1454488.000000000000000,1500070.629999999888241,1549523.260000000009313,1517709.500000000000000,10244500.039999999105930
20100818,1334165.099999999860302,1444129.350000000093132,1439584.749999999767169,1447231.239999999990687,1500685.239999999990687,1533332.800000000046566,1526623.349999999860302,10225754.830000000074506
20100819,1310803.639999999897555,1421635.350000000093132,1434133.500000000000000,1432717.719999999972060,1494948.879999999888241,1526666.140000000130385,1491437.099999999860302,10112345.330000000074506
20100820,1304403.239999999990687,1406826.800000000046566,1418558.500000000000000,1433236.059999999823049,1497202.449999999953434,1516189.959999999962747,1482992.399999999906868,10059412.410000000149012
20100823,1286482.120000000111759,1406826.800000000046566,1407099.750000000000000,1441011.159999999916181,1502529.070000000065193,1533332.800000000046566,1477831.750000000000000,10055116.450000001117587
20100824,1266320.859999999869615,1383020.650000000139698,1389633.500000000000000,1442566.179999999934807,1489827.129999999888241,1506666.159999999916181,1456250.849999999860302,9934288.329999998211861
20100825,1273681.319999999832362,1388456.699999999953434,1393749.750000000000000,1435827.760000000009313,1499456.020000000018626,1522856.620000000111759,1499412.650000000139698,10013443.819999998435378
20100826,1271441.179999999934807,1374585.399999999906868,1366048.500000000000000,1429607.679999999934807,1498841.409999999916181,1514285.199999999953434,1494252.000000000000000,9949064.369999999180436
20100827,1309203.539999999804422,1404577.400000000139698,1387742.250000000000000,1455524.679999999934807,1515845.619999999878928,1532380.419999999925494,1518647.799999999813735,10123924.710000000894070
20100830,1276561.500000000000000,1383020.650000000139698,1372946.000000000000000,1439974.479999999981374,1490236.869999999878928,1510475.679999999934807,1497066.899999999906868,9970285.080000001937151
20100831,1275921.459999999962747,1388644.149999999906868,1369942.250000000000000,1448267.919999999925494,1496792.709999999962747,1515237.580000000074506,1488153.050000000046566,9982962.120000001043081
20100901,1314323.859999999869615,1439068.199999999953434,1399312.250000000000000,1485588.399999999906868,1527113.470000000204891,1550475.640000000130385,1528969.100000000093132,10244853.919999999925494
