代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12043896.179999999701977
真實報酬,2043896.179999999701977

夏普值報酬,0.195689618000000
夏普值風險,0.054060717617085
夏普值,3.619811697396996

預期報酬,7507.707252661488383
風險,194524.330254398169927
趨勢值,0.038595209364520
找到最佳解世代,2282
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,3
IBM[10](1),KO[14](5),MCD[15](8),
Stock#,IBM[10](1),KO[14](5),MCD[15](8),
張數,23563,105518,42571,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,111.020000000018626,19.379999999888241,23.700000000186265,
20101201,3402843.850000000093132,3413526.680000000167638,3375478.290000000502914,10191849.820000000298023
20101202,3420987.360000000335276,3424078.479999999981374,3379309.680000000167638,10224376.519999999552965
20101203,3425699.959999999962747,3402974.879999999888241,3395486.660000000614673,10224162.500000000000000
20101206,3416510.390000000130385,3376595.379999999888241,3387823.879999999888241,10180930.649999998509884
20101207,3393654.280000000260770,3383981.640000000130385,3420177.840000000316650,10197814.759999999776483
20101208,3416274.759999999776483,3397698.979999999981374,3352064.239999999757856,10166038.980000000447035
20101209,3400251.920000000391155,3420912.939999999944121,3303959.010000000242144,10125124.870000001043081
20101210,3412504.679999999701977,3411416.319999999832362,3301830.460000000428408,10125752.460000000894070
20101213,3399780.660000000149012,3420912.939999999944121,3282673.510000000242144,10103368.109999999403954
20101214,3436067.679999999701977,3371319.479999999981374,3282673.510000000242144,10090061.669999999925494
20101215,3410148.379999999888241,3415637.039999999571592,3277139.280000000260770,10102925.699999999254942
20101216,3406142.670000000391155,3447292.439999999944121,3265645.109999999869615,10119081.220000000670552
20101217,3416746.020000000018626,3466285.680000000167638,3269902.210000000428408,10152934.910000000149012
20101220,3405200.149999999906868,3446237.259999999310821,3274585.020000000484288,10126023.429999999701977
20101221,3434182.640000000130385,3454678.700000000186265,3272030.760000000242144,10160893.099999999627471
20101222,3439130.869999999646097,3461009.779999999795109,3278416.410000000614673,10178558.060000000521541
20101223,3437717.089999999850988,3459954.599999999627471,3276287.859999999869615,10173960.549999998882413
20101227,3424757.439999999944121,3432519.919999999925494,3253725.230000000447035,10111003.589999999850988
20101228,3433475.750000000000000,3448347.619999999646097,3253725.230000000447035,10135549.599999999627471
20101229,3452561.780000000260770,3453623.519999999552965,3277564.989999999757856,10183751.289999999105930
20101230,3456096.229999999515712,3455733.879999999888241,3267773.660000000614673,10179604.769999999552965
20101231,3458216.899999999906868,3470506.399999999906868,3267773.660000000614673,10196497.960000000894070
20110103,3475182.259999999776483,3440961.359999999869615,3260962.299999999813735,10177106.919999998062849
20110104,3478952.339999999850988,3370264.299999999813735,3163474.710000000428408,10012692.349999999627471
20110105,3465050.170000000391155,3350215.879999999888241,3178374.560000000055879,9993641.610000001266599
20110106,3502986.600000000093132,3325946.739999999757856,3159217.609999999869615,9988151.949999999254942
20110107,3485785.610000000335276,3319615.660000000149012,3166028.970000000204891,9971431.240000000223517
20110110,3478952.339999999850988,3327001.919999999925494,3131546.460000000428408,9937501.720000000670552
