代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13613860.759999999776483
真實報酬,3613860.759999999776483

夏普值報酬,0.352686076000000
夏普值風險,0.082801816253396
夏普值,4.259400239732487

預期報酬,12827.057391875547182
風險,175689.268680294539081
趨勢值,0.073009908278560
找到最佳解世代,3025
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
TRV[22](1),V[25](2),WMT[28](8),
Stock#,TRV[22](1),V[25](2),WMT[28](8),
張數,56306,112994,54466,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,17.799999999813735,10.000000000000000,13.799999999813735,
20120402,3340652.779999999795109,3361581.500000000000000,3342047.559999999590218,10044282.839999999850988
20120403,3337837.479999999981374,3399999.459999999962747,3303376.699999999720603,10041214.639999998733401
20120404,3334459.119999999646097,3361581.500000000000000,3282134.959999999497086,9978176.579999998211861
20120405,3315315.080000000074506,3418078.500000000000000,3304466.020000000018626,10037860.599999999627471
20120409,3268581.099999999627471,3376270.719999999739230,3275054.379999999888241,9919907.199999999254942
20120410,3251689.299999999813735,3298304.860000000335276,3264161.179999999701977,9814156.339999999850988
20120411,3275337.819999999832362,3316383.900000000372529,3257080.599999999627471,9848803.320000000298023
20120412,3327702.399999999906868,3419208.439999999944121,3275599.040000000037253,10022510.879999998956919
20120413,3272522.519999999552965,3479095.259999999776483,3255446.620000000111759,10007065.399999998509884
20120416,3331080.759999999776483,3413558.740000000223517,3299564.079999999608845,10044204.580000000074506
20120417,3377814.739999999757856,3448586.879999999888241,3369825.219999999739230,10196227.839999999850988
20120418,3348535.619999999646097,3440677.299999999813735,3380173.759999999776483,10169387.679999999701977
20120419,3474098.000000000000000,3423728.200000000186265,3363289.299999999813735,10261116.500000000000000
20120420,3533219.299999999813735,3418078.500000000000000,3401415.500000000000000,10352714.300000000745058
20120423,3542228.259999999776483,3336722.820000000298023,3242919.439999999944121,10121871.519999999552965
20120424,3568129.019999999552965,3359321.620000000111759,3146514.620000000111759,10073966.259999999776483
20120425,3591214.479999999981374,3440677.299999999813735,3124183.559999999590218,10156076.339999999850988
20120426,3646957.419999999459833,3480225.200000000186265,3210784.500000000000000,10337968.119999999180436
20120427,3604164.859999999869615,3489264.719999999739230,3215141.779999999795109,10308572.359999999403954
20120430,3621619.719999999273568,3474575.500000000000000,3208605.859999999403954,10304802.079999998211861
20120501,3637385.399999999441206,3476835.379999999888241,3217320.419999999925494,10331542.199999999254942
20120502,3645268.239999999757856,3451976.700000000186265,3214052.459999999497086,10311298.399999998509884
20120503,3645831.299999999813735,3288135.400000000372529,3212963.140000000130385,10146930.839999999850988
20120504,3631754.799999999813735,3327683.299999999813735,3197168.000000000000000,10156607.099999999627471
20120507,3636822.339999999850988,3348022.219999999739230,3223856.339999999850988,10208701.899999998509884
20120508,3625561.139999999664724,3337852.759999999776483,3216231.099999999627471,10179646.000000000000000
20120509,3599097.319999999832362,3317513.839999999850988,3215141.779999999795109,10131753.939999999478459
20120510,3639637.639999999664724,3337852.759999999776483,3223856.339999999850988,10201347.739999998360872
20120511,3638511.520000000018626,3331073.120000000111759,3236383.520000000018626,10205969.160000000149012
20120514,3630628.680000000167638,3297174.919999999925494,3217320.419999999925494,10145125.019999999552965
20120515,3612047.700000000186265,3293785.099999999627471,3232570.899999999906868,10138404.699999999254942
20120516,3581642.459999999962747,3319773.719999999739230,3223856.339999999850988,10125273.519999999552965
20120517,3530404.000000000000000,3248587.500000000000000,3359476.679999999701977,10138469.179999999701977
20120518,3501124.879999999888241,3181921.040000000037253,3400326.179999999701977,10083373.099999999627471
20120521,3530404.000000000000000,3283615.639999999664724,3433550.439999999944121,10247571.080000000074506
20120522,3537160.719999999739230,3344632.400000000372529,3471131.979999999515712,10352926.099999999627471
20120523,3537160.719999999739230,3344632.400000000372529,3471131.979999999515712,10352926.099999999627471
20120524,3557993.939999999478459,3383050.360000000335276,3544116.419999999459833,10485161.719999998807907
20120525,3524773.399999999906868,3371750.959999999962747,3557188.259999999776483,10453713.619999999180436
20120529,3540539.080000000074506,3397739.580000000074506,3577340.680000000167638,10515620.339999999850988
20120530,3484796.139999999664724,3318643.780000000260770,3564268.839999999850988,10367709.759999999776483
20120531,3518579.739999999757856,3254237.200000000186265,3584965.919999999459833,10357783.859999999403954
20120601,3411035.279999999795109,3170621.639999999664724,3570260.099999999627471,10151918.019999999552965
20120604,3399774.080000000074506,3224858.759999999776483,3594225.139999999664724,10218858.980000000447035
20120605,3423422.599999999627471,3214689.299999999813735,3567536.799999999813735,10205649.699999999254942
20120606,3470719.639999999664724,3287005.459999999962747,3590957.180000000167638,10348683.279999999329448
20120607,3485922.259999999776483,3299434.799999999813735,3587689.220000000204891,10373047.279999999329448
20120608,3498872.639999999664724,3293785.099999999627471,3715684.319999999832362,10508343.059999998658895
20120611,3466215.160000000149012,3287005.459999999962747,3678102.779999999795109,10431324.400000000372529
20120612,3487611.439999999478459,3309604.259999999776483,3688451.319999999832362,10485668.019999999552965
20120613,3471282.699999999720603,3246327.620000000111759,3653048.419999999459833,10370659.740000000223517
20120614,3554052.519999999552965,3290395.280000000260770,3683549.379999999422580,10527998.179999999701977
20120615,3570381.259999999776483,3344632.400000000372529,3690085.299999999813735,10605099.960000000894070
20120618,3551237.219999999739230,3393219.820000000298023,3710237.720000000204891,10654695.759999999776483
20120619,3572633.500000000000000,3428247.959999999962747,3693353.259999999776483,10694235.719999998807907
