代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13970289.489999998360872
真實報酬,3970289.489999998360872

夏普值報酬,0.388328949000000
夏普值風險,0.093804164458749
夏普值,4.139783678482320

預期報酬,14595.459399751773162
風險,150746.768408607080346
趨勢值,0.096821043355238
找到最佳解世代,3553
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](4),CAT[3](5),DD[7](7),MSFT[18](2),UNH[23](1),
Stock#,AAPL[0](4),CAT[3](5),DD[7](7),MSFT[18](2),UNH[23](1),
張數,18850,24405,26181,34806,14700,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,15.000000000000000,10.250000000000000,33.409999999916181,47.239999999990687,64.999999999767169,
20160901,2011875.500000000000000,1987797.500000000000000,2006021.630000000121072,2004524.780000000027940,1995443.000000000000000,10005662.410000000149012
20160902,2030725.500000000000000,1993654.699999999953434,2020159.369999999878928,2007309.260000000009313,2008232.000000000000000,10060080.830000000074506
20160906,2030160.000000000000000,2003172.649999999906868,2009686.969999999972060,2005220.899999999906868,1998823.999999999767169,10047064.519999999552965
20160907,2042601.000000000000000,2043196.849999999860302,2009686.969999999972060,2006961.199999999953434,1984418.000000000000000,10086864.019999999552965
20160908,1989067.000000000000000,2038803.950000000186265,2024086.520000000018626,1998955.820000000065193,1991032.999999999767169,10041946.290000000968575
20160909,1944015.500000000000000,1971690.200000000186265,1991360.270000000018626,1956492.500000000000000,1964278.999999999767169,9827837.470000000670552
20160912,1987559.000000000000000,1999267.850000000093132,1972771.759999999776483,1985729.539999999804422,1992355.999999999767169,9937684.149999998509884
20160913,2034872.500000000000000,1958023.400000000139698,1940307.319999999832362,1967630.419999999925494,1969129.999999999534339,9869963.640000000596046
20160914,2106879.500000000000000,1977303.349999999860302,1952874.199999999953434,1958232.799999999813735,1965307.999999999767169,9960597.849999999627471
20160915,2178509.500000000000000,2001952.400000000139698,1970415.469999999972060,1990602.379999999888241,1993532.000000000000000,10135011.750000000000000
20160916,2166257.000000000000000,2002440.500000000000000,1965702.889999999897555,1992690.739999999990687,2035573.999999999767169,10162665.129999998956919
20160919,2140998.000000000000000,1998291.649999999906868,1976437.099999999860302,1981552.820000000065193,2023960.999999999767169,10121240.570000000298023
20160920,2140809.500000000000000,1993898.750000000000000,1959943.069999999832362,1977376.100000000093132,2020873.999999999767169,10092901.419999999925494
20160921,2140432.500000000000000,2037095.599999999860302,1966488.319999999832362,2010441.799999999813735,2056741.999999999767169,10211200.219999998807907
20160922,2160602.000000000000000,2037827.750000000000000,1959681.259999999776483,2012530.159999999916181,2073352.999999999534339,10243994.169999999925494
20160923,2124598.500000000000000,2011958.449999999953434,1947638.000000000000000,1998955.820000000065193,2065561.999999999534339,10148712.769999999552965
20160926,2127803.000000000000000,2010250.100000000093132,1943710.849999999860302,1980508.639999999897555,2053948.999999999767169,10116221.589999999850988
20160927,2131761.500000000000000,2022696.649999999906868,1959943.069999999832362,2017054.940000000176951,2069677.999999999534339,10201134.160000000149012
20160928,2147972.500000000000000,2113239.200000000186265,1951041.529999999795109,2019839.419999999925494,2064091.999999999767169,10296184.650000000372529
20160929,2114608.000000000000000,2134715.600000000093132,1928787.679999999934807,1997911.639999999897555,2033368.999999999767169,10209391.919999998062849
20160930,2131007.500000000000000,2166442.100000000093132,1932453.020000000018626,2004872.840000000083819,2058064.999999999767169,10292840.459999999031425
20161003,2121017.000000000000000,2154483.649999999906868,1954445.060000000055879,1998607.760000000009313,2035868.000000000000000,10264421.470000000670552
20161004,2130065.000000000000000,2135691.800000000279397,1933500.259999999776483,1992342.680000000167638,2031016.999999999767169,10222616.740000000223517
20161005,2131007.500000000000000,2182305.350000000093132,1964917.459999999729916,2006265.080000000074506,2022784.999999999767169,10307280.389999998733401
20161006,2146841.500000000000000,2179132.700000000186265,1998167.329999999841675,2009745.680000000167638,2006173.999999999767169,10340061.210000000894070
20161007,2150046.000000000000000,2159120.600000000093132,1975651.669999999692664,2011834.039999999804422,2008966.999999999767169,10305619.309999998658895
20161010,2187557.500000000000000,2153019.350000000093132,1996334.659999999916181,2020187.479999999981374,2029841.000000000000000,10386939.990000000223517
