代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13361121.640000000596046
真實報酬,3361121.640000000596046

夏普值報酬,0.327412164000000
夏普值風險,0.082100679697970
夏普值,3.987934877086007

預期報酬,13355.550920877805765
風險,110173.315674880825100
趨勢值,0.121223100521816
找到最佳解世代,2707
找到最佳解實驗#,1
找到最佳解次數,42

stock[index](rank)
投資組合檔數,4
AXP[1](7),KO[14](11),MCD[15](2),V[25](1),
Stock#,AXP[1](7),KO[14](11),MCD[15](2),V[25](1),
張數,32731,60139,20396,30226,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,6.220000000204891,21.770000000018626,62.280000000260770,7.540000000037253,
20170201,2512437.780000000260770,2481356.909999999683350,2496940.600000000093132,2491838.979999999981374,9982574.269999999552965
20170202,2504255.030000000260770,2489776.370000000111759,2513257.400000000372529,2487607.339999999850988,9994896.140000000596046
20170203,2554333.460000000428408,2498195.830000000074506,2534061.320000000298023,2601861.620000000111759,10188452.230000000447035
20170206,2547132.640000000130385,2499398.610000000335276,2538344.480000000447035,2594305.120000000111759,10179180.850000001490116
20170207,2543859.540000000037253,2519845.870000000111759,2541199.920000000391155,2592793.820000000298023,10197699.150000000372529
20170208,2546478.020000000018626,2527062.550000000279397,2542831.600000000093132,2571937.880000000353903,10188310.050000000745058
20170209,2558915.800000000279397,2480755.520000000018626,2538956.360000000335276,2586748.620000000111759,10165376.300000000745058
20170210,2568735.100000000558794,2440462.390000000130385,2566287.000000000000000,2596420.940000000409782,10171905.429999999701977
20170213,2582809.430000000167638,2442867.949999999720603,2560576.120000000577420,2612742.979999999981374,10198996.480000000447035
20170214,2599174.930000000167638,2437455.439999999944121,2566083.040000000502914,2625135.639999999664724,10227849.050000000745058
20170215,2605393.819999999832362,2432042.929999999701977,2579748.360000000335276,2645991.580000000074506,10263176.690000001341105
20170216,2602448.030000000260770,2477748.570000000298023,2584235.480000000447035,2642062.199999999720603,10306494.280000001192093
20170217,2608994.229999999981374,2479552.739999999757856,2606671.080000000074506,2643573.500000000000000,10338791.550000000745058
20170221,2617504.290000000037253,2493384.709999999962747,2611566.120000000111759,2657477.459999999962747,10379932.580000000074506
20170222,2613903.880000000353903,2501804.169999999925494,2607690.880000000353903,2653850.339999999850988,10377249.270000001415610
20170223,2620122.770000000018626,2505412.509999999776483,2616257.200000000651926,2665336.220000000204891,10407128.700000001117587
20170224,2610630.780000000260770,2512629.189999999944121,2624007.680000000167638,2672892.720000000204891,10420160.370000001043081
20170227,2624050.490000000223517,2506013.899999999906868,2590150.320000000298023,2659895.540000000037253,10380110.250000000000000
20170228,2620450.080000000074506,2523454.209999999962747,2603611.680000000167638,2658081.979999999981374,10405597.950000001117587
20170301,2681329.740000000223517,2535482.009999999776483,2632166.080000000540167,2689819.279999999795109,10538797.109999999403954
20170302,2621759.319999999832362,2554125.100000000093132,2615441.359999999869615,2675915.320000000298023,10467241.099999999627471
20170303,2614558.500000000000000,2554726.489999999757856,2608710.680000000167638,2683774.080000000074506,10461769.750000000000000
20170306,2602120.720000000204891,2536684.790000000037253,2611362.160000000149012,2688307.979999999981374,10438475.650000000372529
20170307,2604739.200000000186265,2525258.380000000353903,2612178.000000000000000,2691935.100000000093132,10434110.679999999701977
20170308,2587064.460000000428408,2525258.380000000353903,2612585.920000000391155,2688912.500000000000000,10413821.260000001639128
20170309,2595574.520000000018626,2527663.939999999944121,2613605.720000000204891,2693446.399999999906868,10430290.580000000074506
20170310,2598193.000000000000000,2543300.080000000074506,2610342.360000000335276,2712186.520000000018626,10464021.960000000894070
20170313,2592628.729999999981374,2527663.939999999944121,2602795.840000000316650,2723672.399999999906868,10446760.910000000149012
20170314,2608339.610000000335276,2524055.600000000093132,2606671.080000000074506,2706745.839999999850988,10445812.130000000819564
20170315,2593283.350000000558794,2533076.449999999720603,2608302.760000000242144,2717929.459999999962747,10452592.019999999552965
20170316,2610958.089999999850988,2540894.520000000018626,2610342.360000000335276,2721556.580000000074506,10483751.550000000745058
20170317,2593937.970000000204891,2527663.939999999944121,2623803.720000000204891,2727601.779999999795109,10473007.410000000149012
20170320,2580845.569999999832362,2536684.790000000037253,2626659.160000000149012,2695562.220000000204891,10439751.740000000223517
20170321,2537640.650000000372529,2555929.270000000018626,2621356.200000000651926,2661709.100000000093132,10376635.220000000670552
20170322,2542222.990000000223517,2548712.590000000316650,2633185.880000000353903,2675613.060000000055879,10399734.520000001415610
20170323,2547787.260000000242144,2536083.399999999906868,2631146.280000000260770,2685889.899999999906868,10400906.839999999850988
20170324,2559570.420000000391155,2533076.449999999720603,2638080.920000000391155,2695864.479999999981374,10426592.270000001415610
20170327,2539931.819999999832362,2545104.250000000000000,2641140.320000000298023,2688610.240000000223517,10414786.630000000819564
20170328,2573972.060000000055879,2551719.540000000037253,2640324.479999999981374,2693748.660000000149012,10459764.740000000223517
20170329,2561206.970000000204891,2551118.149999999906868,2627882.920000000391155,2695562.220000000204891,10435770.260000001639128
20170330,2592628.729999999981374,2561943.169999999925494,2637673.000000000000000,2690423.800000000279397,10482668.700000001117587
20170331,2589355.630000000353903,2552320.929999999701977,2643587.840000000316650,2686192.160000000149012,10471456.560000000521541
20170403,2572335.510000000242144,2550516.759999999776483,2643587.840000000316650,2701002.899999999906868,10467443.009999999776483
20170404,2561534.280000000260770,2566754.290000000037253,2637061.120000000111759,2683471.820000000298023,10448821.510000001639128
20170405,2545168.780000000260770,2560139.000000000000000,2659904.640000000130385,2691028.320000000298023,10456240.740000000223517
20170406,2550405.740000000223517,2566152.899999999906868,2654601.680000000167638,2692841.880000000353903,10464002.200000001117587
20170407,2545496.089999999850988,2562544.560000000055879,2650726.440000000409782,2682262.779999999795109,10441029.870000001043081
20170410,2536331.410000000149012,2567355.679999999701977,2651134.359999999869615,2685889.899999999906868,10440711.349999999627471
20170411,2528803.280000000260770,2565551.509999999776483,2676017.479999999981374,2685587.639999999664724,10455959.910000000149012
20170412,2509819.300000000279397,2582390.429999999701977,2677241.240000000223517,2680449.220000000204891,10449900.190000001341105
20170413,2481016.020000000018626,2573369.580000000074506,2667043.240000000223517,2686192.160000000149012,10407621.000000000000000
20170417,2509491.990000000223517,2590208.500000000000000,2679076.880000000353903,2714604.600000000093132,10493381.970000000670552
20170418,2480688.710000000428408,2614865.489999999757856,2698453.080000000540167,2712186.520000000018626,10506193.800000000745058
20170419,2472833.270000000018626,2599830.739999999757856,2705387.720000000204891,2712791.040000000037253,10490842.769999999552965
20170420,2619140.839999999850988,2591411.280000000260770,2718237.200000000651926,2755107.440000000409782,10683896.760000001639128
20170421,2605066.510000000242144,2590208.500000000000000,2721092.640000000130385,2755107.440000000409782,10671475.089999999850988
20170424,2633215.170000000391155,2602837.689999999944121,2737817.359999999869615,2776265.639999999664724,10750135.859999999403954
20170425,2639106.750000000000000,2592614.060000000055879,2890175.479999999981374,2784124.399999999906868,10906020.690000001341105
20170426,2635506.339999999850988,2600432.130000000353903,2872634.920000000391155,2775358.859999999869615,10883932.250000000000000
20170427,2629287.450000000186265,2586600.159999999683350,2873246.800000000279397,2768709.139999999664724,10857843.550000000745058
20170428,2593937.970000000204891,2595019.620000000111759,2854074.560000000521541,2757223.259999999776483,10800255.410000000149012
20170501,2593283.350000000558794,2599229.350000000093132,2878957.680000000167638,2758432.300000000279397,10829902.680000001564622
20170502,2603429.960000000428408,2609452.979999999981374,2880589.359999999869615,2797121.580000000074506,10890593.880000000819564
20170503,2580190.950000000186265,2605243.250000000000000,2908939.800000000279397,2794098.979999999981374,10888472.980000000447035
