代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14028258.589999997988343
真實報酬,4028258.589999997988343

夏普值報酬,0.394125859000000
夏普值風險,0.114369540512091
夏普值,3.446073641944321

預期報酬,19256.112387379387656
風險,290880.608471346844453
趨勢值,0.066199367804459
找到最佳解世代,2497
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CSCO[4](6),INTC[11](3),MSFT[18](1),UNH[23](5),V[25](2),
Stock#,CSCO[4](6),INTC[11](3),MSFT[18](1),UNH[23](5),V[25](2),
張數,63897,59276,29014,10786,21326,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,23.899999999906868,27.759999999776483,64.979999999748543,59.880000000121072,47.719999999972060,
20170703,2001916.909999999683350,1983402.719999999739230,1977949.359999999869615,2013266.780000000260770,1990829.819999999832362,9967365.589999999850988
20170705,1987859.569999999832362,2035565.600000000093132,2004352.099999999627471,2030524.380000000121072,2004904.979999999981374,10063206.629999998956919
20170706,1962939.739999999757856,1993479.639999999897555,1989554.959999999497086,2016394.720000000204891,1988697.219999999972060,9951066.280000001192093
20170707,1974441.199999999720603,2008298.639999999897555,2015377.419999999459833,2027396.440000000176951,2002985.639999999897555,10028499.339999999850988
20170710,1979552.959999999962747,1994665.159999999683350,2030464.699999999953434,2016502.580000000074506,2027937.060000000055879,10049122.459999999031425
20170711,1986581.629999999888241,2010669.679999999934807,2030754.839999999618158,2005716.580000000074506,2034761.379999999888241,10068484.109999999403954
20170712,1991054.419999999925494,2030230.759999999776483,2064411.079999999841675,2013698.220000000204891,2051182.400000000139698,10150576.880000000819564
20170713,1998083.089999999850988,2029638.000000000000000,2082399.759999999543652,2000647.159999999916181,2046064.159999999916181,10156832.169999999925494
20170714,2007667.640000000130385,2055719.439999999711290,2111703.899999999441206,2015963.280000000260770,2067176.900000000139698,10258231.160000000149012
20170717,2012779.399999999906868,2043271.479999999748543,2128241.879999999888241,2010030.979999999981374,2065044.300000000046566,10259368.040000000968575
20170718,2013418.370000000111759,2046828.039999999804422,2126791.179999999701977,2015423.979999999981374,2081038.800000000046566,10283500.370000001043081
20170719,2038338.199999999720603,2048606.319999999832362,2143039.019999999552965,2040663.220000000204891,2095327.219999999972060,10365973.980000000447035
20170720,2035782.319999999832362,2059868.759999999776483,2153484.059999999590218,2065578.880000000121072,2092341.580000000074506,10407055.599999997764826
20170721,2034504.379999999888241,2058683.239999999525025,2141008.040000000037253,2068598.960000000195578,2124117.320000000298023,10426911.939999999478459
20170724,2035782.319999999832362,2045049.759999999776483,2135495.379999999888241,2058999.419999999925494,2140538.339999999850988,10415865.219999998807907
20170725,2052395.539999999804422,2055126.679999999934807,2152613.639999999664724,2053714.280000000260770,2132434.459999999962747,10446284.599999999627471
20170726,2023002.919999999925494,2059868.759999999776483,2148551.679999999701977,2057489.380000000121072,2150774.820000000298023,10439687.559999998658895
20170727,2017252.189999999944121,2072909.479999999748543,2122729.219999999739230,2037858.860000000102445,2123477.540000000037253,10374227.289999999105930
20170728,2014057.339999999850988,2093063.319999999832362,2119247.540000000037253,2061803.780000000260770,2114520.620000000111759,10402692.599999999627471
20170731,2009584.549999999813735,2102547.479999999515712,2109382.780000000260770,2068922.540000000037253,2123264.280000000260770,10413701.629999998956919
20170801,2022363.949999999720603,2154710.359999999869615,2105901.099999999627471,2073452.659999999916181,2151201.339999999850988,10507629.410000000149012
20170802,2014057.339999999850988,2171900.399999999906868,2096616.619999999878928,2081757.880000000121072,2159945.000000000000000,10524277.239999998360872
20170803,2016613.219999999739230,2163009.000000000000000,2093425.079999999841675,2100849.100000000558794,2145230.059999999590218,10519126.460000000894070
20170804,2031948.500000000000000,2151746.559999999590218,2108802.500000000000000,2102035.560000000521541,2151627.860000000335276,10546160.980000000447035
20170807,2034504.379999999888241,2159452.439999999944121,2100678.580000000074506,2100956.959999999962747,2164423.459999999962747,10560015.820000000298023
20170808,2023641.890000000130385,2158266.919999999459833,2111994.040000000037253,2102251.280000000260770,2159945.000000000000000,10556099.129999998956919
20170809,2020447.040000000037253,2168936.600000000093132,2102709.559999999590218,2101496.260000000707805,2153333.940000000409782,10546923.400000002235174
20170810,1980830.899999999906868,2142262.399999999906868,2071954.719999999739230,2077119.900000000139698,2121771.459999999962747,10393939.379999998956919
20170811,2010862.489999999757856,2126257.879999999422580,2103579.979999999515712,2081973.600000000325963,2134567.059999999590218,10457241.009999997913837
20170814,2034504.379999999888241,2154117.600000000093132,2135205.240000000223517,2089415.940000000176951,2172527.339999999850988,10585770.500000000000000
20170815,2050478.630000000121072,2133963.759999999776483,2124470.059999999590218,2097936.879999999888241,2188735.099999999627471,10595584.429999997839332
20170816,2066452.880000000121072,2122701.319999999832362,2136946.080000000074506,2090063.100000000325963,2203450.040000000037253,10619613.420000001788139
20170817,1983386.779999999795109,2084764.679999999934807,2100678.580000000074506,2078522.080000000074506,2178711.879999999888241,10426064.000000000000000
20170818,1940575.790000000037253,2075280.519999999552965,2103289.839999999850988,2058244.400000000139698,2186175.980000000447035,10363566.530000001192093
20170821,1960383.859999999869615,2069945.679999999934807,2093425.079999999841675,2071295.460000000195578,2201317.440000000409782,10396367.519999999552965
20170822,1998083.089999999850988,2053941.159999999683350,2122729.219999999739230,2101064.820000000298023,2219444.540000000037253,10495262.829999998211861
20170823,1975719.140000000130385,2054533.919999999459833,2109963.059999999590218,2095132.520000000251457,2200464.400000000372529,10435813.039999999105930
20170824,1996166.179999999701977,2057497.719999999739230,2109092.639999999664724,2100633.379999999888241,2201317.440000000409782,10464707.359999999403954
