代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15268946.900000000372529
真實報酬,5268946.900000000372529

夏普值報酬,0.518194690000000
夏普值風險,0.113044128128142
夏普值,4.584003597361527

預期報酬,21217.307922191757825
風險,363706.245475582953077
趨勢值,0.058336385987675
找到最佳解世代,2941
找到最佳解實驗#,1
找到最佳解次數,25

stock[index](rank)
投資組合檔數,1
MRK[17](1),
Stock#,MRK[17](1),
張數,183587,
分配資金,10000000.000000000000000,
剩餘資金,16.109999999403954,
20180402,9779695.599999999627471,9779695.599999999627471
20180403,9930236.939999999478459,9930236.939999999478459
20180404,10012851.089999999850988,10012851.089999999850988
20180405,10011015.219999998807907,10011015.219999998807907
20180406,9796218.429999999701977,9796218.429999999701977
20180409,10310262.029999999329448,10310262.029999999329448
20180410,10370845.740000000223517,10370845.740000000223517
20180411,10317605.509999999776483,10317605.509999999776483
20180412,10416742.490000000223517,10416742.490000000223517
20180413,10495684.900000000372529,10495684.900000000372529
20180416,10767393.659999998286366,10767393.659999998286366
20180417,10881217.599999999627471,10881217.599999999627471
20180418,10816962.150000000372529,10816962.150000000372529
20180419,10765557.789999999105930,10765557.789999999105930
20180420,10800439.319999998435378,10800439.319999998435378
20180423,11061132.859999999403954,11061132.859999999403954
20180424,11031758.939999999478459,11031758.939999999478459
20180425,10947308.919999999925494,10947308.919999999925494
20180426,10906919.779999999329448,10906919.779999999329448
20180427,10917935.000000000000000,10917935.000000000000000
20180430,10807782.799999998882413,10807782.799999998882413
20180501,10644390.369999999180436,10644390.369999999180436
20180502,10519551.209999999031425,10519551.209999999031425
20180503,10561776.219999998807907,10561776.219999998807907
20180504,10602165.359999999403954,10602165.359999999403954
20180507,10534238.169999999925494,10534238.169999999925494
20180508,10420414.229999998584390,10420414.229999998584390
20180509,10638882.759999999776483,10638882.759999999776483
20180510,10659077.330000000074506,10659077.330000000074506
20180511,10958324.139999998733401,10958324.139999998733401
20180514,10956488.269999999552965,10956488.269999999552965
20180515,10868366.509999999776483,10868366.509999999776483
20180516,10969339.359999999403954,10969339.359999999403954
20180517,10844500.199999999254942,10844500.199999999254942
20180518,10857351.289999999105930,10857351.289999999105930
20180521,10752706.699999999254942,10752706.699999999254942
20180522,10730676.259999999776483,10730676.259999999776483
20180523,10862858.900000000372529,10862858.900000000372529
20180524,10855515.419999999925494,10855515.419999999925494
20180525,10848171.939999999478459,10848171.939999999478459
20180529,10721496.909999998286366,10721496.909999998286366
20180530,10963831.750000000000000,10963831.750000000000000
20180531,10928950.219999998807907,10928950.219999998807907
20180601,11118044.830000000074506,11118044.830000000074506
20180604,11386081.849999999627471,11386081.849999999627471
20180605,11270422.039999999105930,11270422.039999999105930
20180606,11369559.019999999552965,11369559.019999999552965
20180607,11380574.240000000223517,11380574.240000000223517
20180608,11488890.569999998435378,11488890.569999998435378
20180611,11442993.819999998435378,11442993.819999998435378
20180612,11463188.389999998733401,11463188.389999998733401
20180613,11490726.439999999478459,11490726.439999999478459
20180614,11301631.830000000074506,11301631.830000000074506
20180615,11387917.719999998807907,11387917.719999998807907
20180618,11196987.240000000223517,11196987.240000000223517
20180619,11204330.719999998807907,11204330.719999998807907
20180620,11250227.469999998807907,11250227.469999998807907
20180621,11231868.769999999552965,11231868.769999999552965
20180622,11285109.000000000000000,11285109.000000000000000
20180625,11213510.069999998435378,11213510.069999998435378
20180626,11147418.750000000000000,11147418.750000000000000
20180627,10993205.669999999925494,10993205.669999999925494
20180628,11070312.209999999031425,11070312.209999999031425
20180629,11143747.009999999776483,11143747.009999999776483
20180702,11099686.129999998956919,11099686.129999998956919
20180703,11145582.879999998956919,11145582.879999998956919
20180705,11316318.789999999105930,11316318.789999999105930
20180706,11419127.509999999776483,11419127.509999999776483
20180709,11386081.849999999627471,11386081.849999999627471
20180710,11437486.209999999031425,11437486.209999999031425
20180711,11364051.409999998286366,11364051.409999998286366
20180712,11503577.529999999329448,11503577.529999999329448
20180713,11545802.539999999105930,11545802.539999999105930
20180716,11490726.439999999478459,11490726.439999999478459
20180717,11479711.219999998807907,11479711.219999998807907
20180718,11554981.889999998733401,11554981.889999998733401
20180719,11476039.479999998584390,11476039.479999998584390
20180720,11477875.349999999627471,11477875.349999999627471
20180723,11509085.139999998733401,11509085.139999998733401
20180724,11643103.650000000372529,11643103.650000000372529
20180725,11839541.739999998360872,11839541.739999998360872
20180726,11751419.980000000447035,11751419.980000000447035
20180727,11655954.740000000223517,11655954.740000000223517
20180730,11898289.580000000074506,11898289.580000000074506
20180731,12092891.800000000745058,12092891.800000000745058
20180801,12023128.739999998360872,12023128.739999998360872
20180802,11973560.250000000000000,11973560.250000000000000
20180803,12103907.020000001415610,12103907.020000001415610
20180806,12157147.250000000000000,12157147.250000000000000
20180807,12223238.569999998435378,12223238.569999998435378
20180808,12243433.139999998733401,12243433.139999998733401
20180809,12116758.109999999403954,12116758.109999999403954
20180810,12129609.199999997392297,12129609.199999997392297
20180813,12248940.750000000000000,12248940.750000000000000
20180814,12201208.129999998956919,12201208.129999998956919
20180815,12368272.300000000745058,12368272.300000000745058
20180816,12639981.059999998658895,12639981.059999998658895
20180817,12678534.330000000074506,12678534.330000000074506
20180820,12882315.900000000372529,12882315.900000000372529
20180821,12698728.900000000372529,12698728.900000000372529
20180822,12674862.589999999850988,12674862.589999999850988
20180823,12662011.500000000000000,12662011.500000000000000
20180824,12674862.589999999850988,12674862.589999999850988
20180827,12665683.239999998360872,12665683.239999998360872
20180828,12599591.919999998062849,12599591.919999998062849
20180829,12632637.580000000074506,12632637.580000000074506
20180830,12583069.089999999850988,12583069.089999999850988
20180831,12592248.439999999478459,12592248.439999999478459
20180904,12474752.759999999776483,12474752.759999999776483
20180905,12597756.050000000745058,12597756.050000000745058
20180906,12737282.169999998062849,12737282.169999998062849
20180907,12790522.400000000372529,12790522.400000000372529
20180910,12770327.830000000074506,12770327.830000000074506
20180911,12682206.069999998435378,12682206.069999998435378
20180912,12825403.929999999701977,12825403.929999999701977
20180913,13003483.319999998435378,13003483.319999998435378
20180914,12847434.370000001043081,12847434.370000001043081
20180917,12928212.650000000372529,12928212.650000000372529
20180918,12928212.650000000372529,12928212.650000000372529
20180919,12847434.370000001043081,12847434.370000001043081
20180920,12994303.969999998807907,12994303.969999998807907
20180921,13053051.809999998658895,13053051.809999998658895
20180924,12994303.969999998807907,12994303.969999998807907
20180925,12970437.660000000149012,12970437.660000000149012
20180926,12911689.819999998435378,12911689.819999998435378
20180927,12983288.750000000000000,12983288.750000000000000
20180928,13023677.889999998733401,13023677.889999998733401
20181001,13131994.219999998807907,13131994.219999998807907
20181002,13172383.359999999403954,13172383.359999999403954
20181003,13102620.300000000745058,13102620.300000000745058
20181004,13075082.250000000000000,13075082.250000000000000
20181005,13040200.719999998807907,13040200.719999998807907
20181008,13119143.129999998956919,13119143.129999998956919
20181009,13280699.689999999478459,13280699.689999999478459
20181010,12933720.259999999776483,12933720.259999999776483
20181011,12551859.300000000745058,12551859.300000000745058
20181012,12816224.580000000074506,12816224.580000000074506
20181015,12751969.129999998956919,12751969.129999998956919
20181016,13075082.250000000000000,13075082.250000000000000
20181017,13185234.449999997392297,13185234.449999997392297
20181018,13256833.379999998956919,13256833.379999998956919
20181019,13282535.559999998658895,13282535.559999998658895
20181022,13322924.699999997392297,13322924.699999997392297
20181023,13236638.809999998658895,13236638.809999998658895
20181024,12950243.089999999850988,12950243.089999999850988
20181025,12843762.629999998956919,12843762.629999998956919
20181026,12924540.910000000149012,12924540.910000000149012
20181029,13117307.259999999776483,13117307.259999999776483
20181030,13378000.800000000745058,13378000.800000000745058
20181031,13513855.179999999701977,13513855.179999999701977
20181101,13423897.550000000745058,13423897.550000000745058
20181102,13267848.599999997764826,13267848.599999997764826
20181105,13423897.550000000745058,13423897.550000000745058
20181106,13458779.080000000074506,13458779.080000000074506
20181107,13783728.069999998435378,13783728.069999998435378
20181108,13857162.870000001043081,13857162.870000001043081
20181109,13743338.929999999701977,13743338.929999999701977
20181112,13712129.139999998733401,13712129.139999998733401
20181113,13697442.179999999701977,13697442.179999999701977
20181114,13601976.939999999478459,13601976.939999999478459
20181115,13739667.189999999478459,13739667.189999999478459
20181116,13963643.330000000074506,13963643.330000000074506
20181119,14016883.559999998658895,14016883.559999998658895
20181120,13728651.969999998807907,13728651.969999998807907
20181121,13730487.839999999850988,13730487.839999999850988
20181123,13708457.400000000372529,13708457.400000000372529
20181126,13849819.389999998733401,13849819.389999998733401
20181127,14015047.689999999478459,14015047.689999999478459
20181128,14178440.120000001043081,14178440.120000001043081
20181129,14303279.279999999329448,14303279.279999999329448
20181130,14565808.689999999478459,14565808.689999999478459
20181203,14543778.250000000000000,14543778.250000000000000
20181204,14358355.379999998956919,14358355.379999998956919
20181206,14387729.300000000745058,14387729.300000000745058
20181207,14084810.750000000000000,14084810.750000000000000
