訓練日期,20110623 - 20110923
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11551537.730000000447035
真實報酬,1551537.730000000447035

夏普值報酬,0.146453773000000
夏普值風險,0.037644355734155
夏普值,3.890457683331257

預期報酬,28181.130921048399614
風險,375353.226995856559370
趨勢值,0.075078962678958
找到最佳解世代,2456
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),MCD[15](2),
Stock#,AAPL[0](1),MCD[15](2),
張數,108483,60496,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,18.529999999329448,5.599999999627471,
20110623,5133434.089999998919666,4978221.440000000409782,10111655.529999999329448
20110624,5057495.989999999292195,4950998.240000000223517,10008494.230000000447035
20110627,5145367.219999999739230,4980036.319999999366701,10125403.539999999105930
20110628,5195269.399999999441206,5102843.199999999254942,10298112.599999997764826
20110629,5176827.289999999105930,5116152.319999999366701,10292979.609999999403954
20110630,5201778.379999999888241,5101028.319999999366701,10302806.699999999254942
20110701,5320024.849999999627471,5181488.000000000000000,10501512.849999999627471
20110705,5415489.889999999664724,5180883.040000000037253,10596372.929999999701977
20110706,5451289.279999999329448,5194192.159999999217689,10645481.439999997615814
20110707,5535906.019999999552965,5206291.359999999403954,10742197.379999998956919
20110708,5574959.899999999441206,5178463.199999999254942,10753423.099999997764826
20110711,5486003.839999998919666,5163339.199999999254942,10649343.039999999105930
20110712,5482749.349999999627471,5141560.639999999664724,10624309.989999998360872
20110713,5548923.979999999515712,5139745.759999998845160,10688669.739999998360872
20110714,5544584.659999999217689,5191167.359999999403954,10735752.019999999552965
20110715,5655237.319999999366701,5171203.679999999701977,10826441.000000000000000
20110718,5793010.729999999515712,5166364.000000000000000,10959374.730000000447035
20110719,5840743.250000000000000,5215365.759999998845160,11056109.009999997913837
20110720,5995873.939999999478459,5218995.519999999552965,11214869.459999999031425
20110721,6002382.919999998994172,5235329.440000000409782,11237712.359999999403954
20110722,6095678.299999998882413,5357531.359999999403954,11453209.659999998286366
20110725,6175955.719999999739230,5330913.120000000111759,11506868.839999999850988
20110726,6251893.819999999366701,5324863.519999999552965,11576757.339999999850988
20110727,6083745.169999998994172,5268602.240000000223517,11352347.410000000149012
20110728,6071812.039999999105930,5249848.479999999515712,11321660.519999999552965
20110729,6051200.269999999552965,5231699.679999999701977,11282899.949999999254942
20110801,6148834.969999999739230,5226255.040000000037253,11375090.009999999776483
20110802,6027334.009999999776483,5145795.359999999403954,11173129.369999999180436
20110803,6083745.169999998994172,5174833.440000000409782,11258578.609999999403954
20110804,5848337.059999998658895,5098608.479999999515712,10946945.539999999105930
20110805,5789756.239999999292195,5147005.279999999329448,10936761.519999999552965
20110808,5474070.709999999031425,4967332.159999999217689,10441402.869999997317791
20110809,5796265.219999999739230,5200241.759999998845160,10996506.979999998584390
20110810,5636795.209999999031425,5086509.279999999329448,10723304.489999998360872
20110811,5791925.899999999441206,5219600.479999999515712,11011526.379999998956919
20110812,5842912.909999999217689,5232909.599999999627471,11075822.509999997913837
20110815,5941632.439999999478459,5252268.319999999366701,11193900.759999997913837
20110816,5896069.579999999143183,5243193.919999999925494,11139263.500000000000000
20110817,5896069.579999999143183,5293405.599999999627471,11189475.179999999701977
20110818,5672594.599999999627471,5179068.159999999217689,10851662.759999997913837
20110819,5517463.909999999217689,5277071.679999999701977,10794535.589999999850988
20110822,5523972.889999999664724,5309134.559999999590218,10833107.449999999254942
20110823,5789756.239999999292195,5416212.479999999515712,11205968.719999998807907
20110824,5829894.949999999254942,5452510.079999999143183,11282405.029999997466803
20110825,5791925.899999999441206,5366605.759999998845160,11158531.659999998286366
20110826,5944886.929999998770654,5440410.879999999888241,11385297.809999998658895
20110829,6043606.459999999031425,5492437.440000000409782,11536043.899999998509884
20110830,6043606.459999999031425,5491832.479999999515712,11535438.939999997615814
20110831,5964413.869999999180436,5469448.959999999031425,11433862.829999998211861
20110901,5904748.219999999739230,5448880.319999999366701,11353628.539999999105930
20110902,5797350.049999998882413,5389594.240000000223517,11186944.289999999105930
20110906,5885221.279999999329448,5373260.319999999366701,11258481.599999997764826
20110907,5950311.079999999143183,5401693.440000000409782,11352004.519999999552965
20110908,5953565.569999999366701,5360556.159999999217689,11314121.729999998584390
20110909,5850506.719999999739230,5143980.479999999515712,10994487.199999999254942
20110912,5888475.769999999552965,5214155.839999999850988,11102631.609999999403954
20110913,5961159.379999999888241,5209921.120000000111759,11171080.500000000000000
20110914,6032758.159999999217689,5248033.599999999627471,11280791.759999997913837
20110915,6090254.149999999441206,5327888.319999999366701,11418142.469999998807907
20110916,6206330.959999999031425,5341197.440000000409782,11547528.399999998509884
20110919,6378818.929999998770654,5372655.359999999403954,11751474.289999999105930
20110920,6407024.509999999776483,5402903.359999999403954,11809927.869999999180436
20110921,6387497.569999999366701,5294615.519999999552965,11682113.089999999850988
20110922,6226942.729999999515712,5202056.639999999664724,11428999.369999999180436
20110923,6265996.609999999403954,5285541.120000000111759,11551537.730000000447035
