訓練日期,20110923 - 20111223
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12190963.760000001639128
真實報酬,2190963.760000001639128

夏普值報酬,0.210396376000000
夏普值風險,0.054442263071562
夏普值,3.864578070963808

預期報酬,30337.136594992789469
風險,184103.569908792967908
趨勢值,0.164782989325096
找到最佳解世代,2115
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](2),MCD[15](1),
Stock#,HD[9](2),MCD[15](1),
張數,151285,58146,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,30.750000000000000,25.459999999962747,
20110923,5101360.950000000186265,5080241.480000000447035,10181602.429999999701977
20110926,5143720.750000000000000,5194789.100000000558794,10338509.850000001490116
20110927,5125566.550000000745058,5218047.500000000000000,10343614.050000000745058
20110928,5083206.750000000000000,5118617.839999999850988,10201824.589999999850988
20110929,5111950.899999999441206,5162227.339999999850988,10274178.239999998360872
20110930,4972768.699999999254942,5106407.179999999701977,10079175.879999998956919
20111003,4779123.900000000372529,5001744.379999999888241,9780868.280000001192093
20111004,4912254.700000000186265,5028491.540000000037253,9940746.240000000223517
20111005,4966717.299999999813735,4990696.639999999664724,9957413.939999999478459
20111006,5049924.050000000745058,5065123.519999999552965,10115047.570000000298023
20111007,5131617.950000000186265,5070356.660000000149012,10201974.609999999403954
20111010,5243568.849999999627471,5146527.919999999925494,10390096.769999999552965
20111011,5251133.100000000558794,5194789.100000000558794,10445922.200000001117587
20111012,5252645.950000000186265,5137806.019999999552965,10390451.969999998807907
20111013,5205747.599999999627471,5193044.719999999739230,10398792.320000000298023
20111014,5302570.000000000000000,5229676.700000000186265,10532246.699999999254942
20111017,5242056.000000000000000,5155249.819999999366701,10397305.820000000298023
20111018,5438726.500000000000000,5212232.900000000372529,10650959.400000000372529
20111019,5355519.750000000000000,5211069.980000000447035,10566589.730000000447035
20111020,5405443.799999999813735,5175600.919999999925494,10581044.719999998807907
20111021,5576395.849999999627471,5368064.179999999701977,10944460.029999999329448
20111024,5552190.250000000000000,5350038.919999999925494,10902229.169999999925494
20111025,5452342.149999999441206,5336083.879999999888241,10788426.029999999329448
20111026,5529497.500000000000000,5336665.339999999850988,10866162.839999999850988
20111027,5653551.199999999254942,5437257.919999999925494,11090809.119999999180436
20111028,5464444.949999999254942,5424465.800000000745058,10888910.750000000000000
20111031,5416033.750000000000000,5398881.559999999590218,10814915.309999998658895
20111101,5376699.649999999441206,5344224.319999999366701,10720923.969999998807907
20111102,5444777.900000000372529,5380274.839999999850988,10825052.740000000223517
20111103,5514369.000000000000000,5407603.459999999962747,10921972.460000000894070
20111104,5505291.900000000372529,5454701.719999999739230,10959993.620000001043081
20111107,5649012.650000000372529,5501799.980000000447035,11150812.630000000819564
20111108,5739783.649999999441206,5500637.059999999590218,11240420.709999999031425
20111109,5621781.349999999627471,5387252.360000000335276,11009033.710000000894070
20111110,5627832.750000000000000,5422721.419999999925494,11050554.169999999925494
20111111,5757937.850000000558794,5509940.419999999925494,11267878.269999999552965
20111114,5786682.000000000000000,5469238.219999999739230,11255920.219999998807907
20111115,5759450.700000000186265,5493078.080000000074506,11252528.780000001192093
20111116,5724655.150000000372529,5416325.360000000335276,11140980.510000001639128
20111117,5691372.449999999254942,5366319.800000000745058,11057692.250000000000000
20111118,5730706.550000000745058,5392485.500000000000000,11123192.050000000745058
20111121,5606652.850000000558794,5365738.339999999850988,10972391.190000001341105
20111122,5612704.250000000000000,5387252.360000000335276,10999956.609999999403954
20111123,5524958.950000000186265,5341898.480000000447035,10866857.429999999701977
20111125,5517394.700000000186265,5355272.059999999590218,10872666.759999999776483
20111128,5642961.250000000000000,5451794.419999999925494,11094755.669999999925494
20111129,5894094.350000000558794,5434350.619999999180436,11328444.969999998807907
20111130,5933428.450000000186265,5554131.379999999888241,11487559.830000000074506
20111201,5951582.650000000372529,5552968.459999999962747,11504551.109999999403954
20111202,6042353.649999999441206,5564597.660000000149012,11606951.309999998658895
20111205,6086226.299999999813735,5544246.559999999590218,11630472.859999999403954
20111206,6099841.950000000186265,5582622.919999999925494,11682464.870000001043081
20111207,6161868.799999999813735,5608207.160000000149012,11770075.960000000894070
20111208,6037815.099999999627471,5635535.780000000260770,11673350.879999998956919
20111209,6086226.299999999813735,5700077.839999999850988,11786304.140000000596046
20111212,6058995.000000000000000,5726243.540000000037253,11785238.539999999105930
20111213,5977301.099999999627471,5698333.459999999962747,11675634.559999998658895
20111214,5921325.650000000372529,5675656.519999999552965,11596982.169999999925494
20111215,5963685.450000000186265,5706473.900000000372529,11670159.350000001490116
20111216,6114970.450000000186265,5668679.000000000000000,11783649.449999999254942
20111219,6081687.750000000000000,5654142.500000000000000,11735830.250000000000000
20111220,6346436.500000000000000,5746013.179999999701977,12092449.679999999701977
20111221,6354000.750000000000000,5768108.660000000149012,12122109.410000000149012
20111222,6341897.950000000186265,5733221.059999999590218,12075119.009999999776483
20111223,6367616.400000000372529,5823347.360000000335276,12190963.760000001639128
