訓練日期,20130128 - 20130430
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11688408.790000000968575
真實報酬,1688408.790000000968575

夏普值報酬,0.160140879000000
夏普值風險,0.044658381082425
夏普值,3.585908739155374

預期報酬,24833.898070357117831
風險,56416.669172630405228
趨勢值,0.440187243142048
找到最佳解世代,2389
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](2),TRV[22](3),VZ[26](1),
Stock#,JNJ[12](2),TRV[22](3),VZ[26](1),
張數,45093,42544,78118,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,58.439999999944121,10.600000000093132,37.939999999944121,
20130128,3319805.100000000093132,3290789.000000000000000,3341144.800000000279397,9951739.900000000372529
20130129,3355428.569999999832362,3310359.240000000223517,3398170.939999999944121,10063959.750000000000000
20130130,3340998.810000000055879,3300574.120000000111759,3406763.919999999925494,10048337.849999999627471
20130131,3333333.000000000000000,3338012.839999999850988,3406763.919999999925494,10078110.759999999776483
20130201,3345057.180000000167638,3398850.760000000242144,3480976.020000000018626,10224884.960000000894070
20130204,3341900.669999999925494,3318442.600000000093132,3477851.300000000279397,10138195.570000000298023
20130205,3366701.819999999832362,3346096.200000000186265,3480976.020000000018626,10193775.039999999105930
20130206,3399619.709999999962747,3359284.839999999850988,3495818.439999999944121,10254723.990000000223517
20130207,3384739.020000000018626,3366091.880000000353903,3473164.220000000204891,10223996.120000001043081
20130208,3403678.080000000074506,3355030.439999999944121,3464571.240000000223517,10223280.759999999776483
20130211,3400521.569999999832362,3369920.839999999850988,3462227.700000000186265,10232671.109999999403954
20130212,3418107.839999999850988,3399276.200000000186265,3471601.859999999869615,10288986.900000000372529
20130213,3411794.819999999832362,3403105.159999999683350,3477851.300000000279397,10292752.279999999329448
20130214,3418558.770000000018626,3417995.560000000055879,3463008.879999999888241,10299564.210000000894070
20130215,3434341.319999999832362,3420122.760000000242144,3468477.139999999664724,10322942.219999998807907
20130219,3470415.719999999739230,3429057.000000000000000,3476288.939999999944121,10375762.660000000149012
20130220,3456436.890000000130385,3408210.439999999944121,3509098.500000000000000,10373746.830000000074506
20130221,3466357.350000000093132,3419697.319999999832362,3524722.099999999627471,10410777.769999999552965
20130222,3438399.689999999944121,3446500.040000000502914,3546595.139999999664724,10431495.870000001043081
20130225,3407736.449999999720603,3371622.600000000093132,3571592.899999999906868,10350952.949999999254942
20130226,3415853.189999999944121,3405232.360000000335276,3602840.099999999627471,10423926.650000000372529
20130227,3441556.199999999720603,3436714.919999999925494,3620807.240000000223517,10499079.359999999403954
20130228,3432086.669999999925494,3421399.080000000074506,3634868.479999999981374,10488355.230000000447035
20130301,3458691.540000000037253,3432885.959999999962747,3649710.899999999906868,10541289.400000000372529
20130304,3481238.040000000037253,3425653.479999999981374,3680176.919999999925494,10587069.439999999478459
20130305,3501980.819999999832362,3465644.839999999850988,3725485.359999999869615,10693112.019999999552965
20130306,3489805.709999999962747,3449052.679999999701977,3693456.979999999981374,10632316.369999999180436
20130307,3506039.189999999944121,3454583.400000000372529,3709080.579999999608845,10669704.169999999925494
20130308,3525880.109999999869615,3473728.200000000186265,3746577.220000000204891,10746186.530000001192093
20130311,3537153.359999999869615,3477982.600000000093132,3734859.520000000018626,10749996.480000000447035
20130312,3542564.520000000018626,3477557.159999999683350,3777824.419999999925494,10797947.099999999627471
20130313,3542113.589999999850988,3493723.880000000353903,3745014.859999999869615,10780853.330000000074506
20130314,3566914.739999999757856,3503934.439999999944121,3787198.579999999608845,10858048.759999999776483
20130315,3570973.109999999869615,3500530.919999999925494,3751264.300000000279397,10822769.330000000074506
20130318,3553837.770000000018626,3511166.919999999925494,3808290.439999999944121,10873296.129999998956919
20130319,3556092.419999999925494,3539245.959999999962747,3823914.040000000037253,10919253.419999999925494
20130320,3582697.290000000037253,3566899.560000000055879,3796572.740000000223517,10946170.589999999850988
20130321,3562856.370000000111759,3563070.600000000093132,3812196.339999999850988,10938124.310000000521541
20130322,3595774.259999999776483,3560517.959999999962747,3829382.300000000279397,10985675.519999999552965
20130325,3593068.680000000167638,3546903.880000000353903,3840318.819999999832362,10980292.380000000819564
20130326,3645827.489999999757856,3546478.439999999944121,3865316.579999999608845,11057623.509999999776483
20130327,3664766.549999999813735,3546903.880000000353903,3823132.859999999869615,11034804.289999999105930
20130328,3676490.729999999981374,3581789.959999999962747,3839537.639999999664724,11097819.329999998211861
20130401,3694527.930000000167638,3571579.400000000372529,3845005.899999999906868,11111114.230000000447035
20130402,3728798.609999999869615,3591149.640000000130385,3866878.939999999944121,11186828.189999999478459
20130403,3700840.949999999720603,3561794.280000000260770,3827038.760000000242144,11089674.990000000223517
20130404,3716172.569999999832362,3588171.560000000055879,3851255.339999999850988,11155600.469999998807907
20130405,3699488.160000000149012,3591149.640000000130385,3871566.020000000018626,11162204.820000000298023
20130408,3657551.669999999925494,3604763.720000000204891,3861410.679999999701977,11123727.070000000298023
20130409,3676039.799999999813735,3627737.479999999981374,3855942.419999999925494,11159720.699999999254942
20130410,3698586.299999999813735,3608167.240000000223517,3895001.419999999925494,11201755.960000000894070
20130411,3712114.199999999720603,3661347.240000000223517,3945778.119999999646097,11319240.559999998658895
20130412,3731053.259999999776483,3669856.040000000502914,3973119.419999999925494,11374029.720000000670552
20130415,3684607.469999999739230,3603912.839999999850988,3955933.459999999962747,11244454.769999999552965
20130416,3762618.359999999869615,3682193.799999999813735,3941872.220000000204891,11386685.380000000819564
20130417,3783361.140000000130385,3619228.679999999701977,3870003.659999999683350,11272594.480000000447035
20130418,3750894.180000000167638,3577961.000000000000000,3977025.319999999832362,11305881.500000000000000
20130419,3809966.009999999776483,3608167.240000000223517,4081703.439999999944121,11499837.689999999478459
20130422,3825297.629999999888241,3598382.120000000111759,4077016.359999999869615,11500697.109999999403954
20130423,3853255.290000000037253,3673685.000000000000000,4087171.700000000186265,11614112.990000000223517
20130424,3805456.709999999962747,3652838.439999999944121,4046550.339999999850988,11504846.490000000223517
20130425,3842883.899999999906868,3627737.479999999981374,4157477.899999999906868,11628100.279999999329448
20130426,3838374.600000000093132,3622632.200000000186265,4189506.280000000260770,11650514.080000001937151
20130429,3859117.379999999888241,3636671.720000000204891,4176226.220000000204891,11672016.320000000298023
20130430,3843334.830000000074506,3633693.640000000130385,4211379.320000000298023,11688408.790000000968575
