訓練日期,20130205 - 20130508
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11439757.909999998286366
真實報酬,1439757.909999998286366

夏普值報酬,0.135275791000000
夏普值風險,0.041143799364762
夏普值,3.287877957033225

預期報酬,23534.438801900392718
風險,59122.793070174724562
趨勢值,0.398060334767449
找到最佳解世代,3429
找到最佳解實驗#,1
找到最佳解次數,21

stock[index](rank)
投資組合檔數,7
AXP[1](9),JNJ[12](1),MCD[15](10),MRK[17](7),NKE[19](13),TRV[22](3),VZ[26](2),
Stock#,AXP[1](9),JNJ[12](1),MCD[15](10),MRK[17](7),NKE[19](13),TRV[22](3),VZ[26](2),
張數,24045,19276,15101,34971,53245,18315,32088,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,57.550000000046566,26.639999999897555,16.400000000139698,5.649999999906868,7.650000000139698,1.000000000000000,13.239999999990687,
20130205,1458627.250000000000000,1439172.799999999813735,1433252.310000000055879,1448854.179999999934807,1434960.400000000139698,1440475.750000000000000,1429854.520000000018626,10085200.209999999031425
20130206,1456222.750000000000000,1453244.279999999795109,1435668.469999999972060,1436964.040000000037253,1441882.250000000000000,1446153.399999999906868,1435951.239999999990687,10106089.429999999701977
20130207,1494213.850000000093132,1446883.199999999953434,1429024.030000000027940,1433816.649999999906868,1455725.950000000186265,1449083.800000000046566,1426645.719999999972060,10135396.200000001117587
20130208,1486038.550000000046566,1454979.119999999878928,1432648.270000000251457,1440111.429999999934807,1453596.150000000139698,1444321.899999999906868,1423116.040000000037253,10134814.460000000894070
20130211,1490366.649999999906868,1453629.799999999813735,1437178.570000000065193,1447105.629999999888241,1470102.100000000093132,1450732.149999999906868,1422153.399999999906868,10171271.300000000745058
20130212,1495656.550000000046566,1461147.439999999944121,1436121.500000000000000,1449553.600000000093132,1466907.400000000139698,1463369.500000000000000,1426003.959999999962747,10198762.949999999254942
20130213,1493252.050000000046566,1458448.799999999813735,1419510.400000000139698,1439062.299999999813735,1452531.250000000232831,1465017.849999999860302,1428571.000000000000000,10156396.650000000372529
20130214,1499022.850000000093132,1461340.199999999953434,1412865.960000000195578,1440461.139999999897555,1454128.600000000093132,1471428.100000000093132,1422474.280000000027940,10161724.129999998956919
20130215,1483393.600000000093132,1468086.799999999813735,1418000.300000000279397,1448504.469999999972060,1463180.250000000232831,1472343.850000000093132,1424720.439999999944121,10178232.709999999031425
20130219,1497580.150000000139698,1483507.599999999860302,1417245.250000000000000,1476481.269999999785796,1450401.449999999953434,1476190.000000000000000,1427929.239999999990687,10229337.959999999031425
20130220,1488683.500000000000000,1477532.040000000037253,1418151.310000000055879,1491868.509999999776483,1438155.100000000325963,1467215.649999999906868,1441406.199999999953434,10223015.309999998658895
20130221,1479786.850000000093132,1481772.760000000009313,1421624.540000000037253,1486273.149999999906868,1451998.800000000046566,1472160.699999999953434,1447823.799999999813735,10241443.600000001490116
20130222,1504553.199999999953434,1469821.639999999897555,1438386.650000000139698,1502709.519999999785796,1450401.449999999953434,1483699.150000000139698,1456808.439999999944121,10306383.049999998882413
20130225,1491328.450000000186265,1456713.959999999729916,1451826.540000000037253,1486972.570000000065193,1438687.550000000046566,1451464.750000000000000,1467076.599999999860302,10244073.419999999925494
20130226,1488923.950000000186265,1460183.639999999897555,1453034.620000000111759,1483475.469999999972060,1445076.950000000186265,1465933.600000000093132,1479911.799999999813735,10276543.030000001192093
20130227,1502870.050000000046566,1471170.959999999729916,1445635.130000000121072,1502709.519999999785796,1446674.300000000279397,1479486.699999999953434,1487292.040000000037253,10335841.699999999254942
20130228,1494454.300000000046566,1467123.000000000000000,1448202.300000000279397,1494316.479999999748543,1449869.000000000232831,1472893.300000000046566,1493067.880000000121072,10319929.259999999776483
20130301,1499744.199999999953434,1478495.839999999850988,1444880.080000000307336,1490819.379999999888241,1459453.100000000093132,1477838.349999999860302,1499164.599999999860302,10350398.549999998882413
20130304,1512247.600000000093132,1488133.839999999850988,1435668.469999999972060,1515648.790000000037253,1457323.300000000279397,1474724.799999999813735,1511678.919999999925494,10395428.720000000670552
20130305,1541822.950000000186265,1497000.799999999813735,1446843.210000000195578,1512501.399999999906868,1461582.900000000139698,1491940.899999999906868,1530289.959999999962747,10481985.120000001043081
20130306,1554566.800000000279397,1491796.279999999795109,1461944.210000000195578,1527538.929999999934807,1472231.900000000139698,1484798.049999999813735,1517133.880000000121072,10510013.050000000745058
20130307,1552402.750000000000000,1498735.639999999897555,1466172.490000000223517,1513200.820000000065193,1470102.100000000093132,1487179.000000000000000,1523551.479999999981374,10511347.280000001192093
20130308,1555769.050000000046566,1507217.079999999841675,1490636.110000000102445,1502709.519999999785796,1456258.400000000139698,1495420.750000000000000,1538953.719999999972060,10546967.630000000819564
20130311,1575005.050000000046566,1512036.079999999841675,1493354.290000000037253,1526839.509999999776483,1451998.800000000046566,1497252.250000000000000,1534140.520000000018626,10590629.500000000000000
20130312,1569955.600000000093132,1514349.199999999953434,1491391.160000000149012,1575099.489999999990687,1424311.400000000139698,1497069.099999999860302,1551788.919999999925494,10623967.870000001043081
20130313,1570196.050000000046566,1514156.439999999944121,1500753.780000000027940,1559362.540000000037253,1460518.000000000232831,1504028.800000000046566,1538311.959999999962747,10647330.570000000298023
20130314,1572119.649999999906868,1524758.239999999757856,1499696.710000000195578,1548171.820000000065193,1456258.400000000139698,1508424.399999999906868,1555639.479999999981374,10665071.700000001117587
20130315,1589191.600000000093132,1526493.079999999841675,1505133.070000000065193,1541877.040000000037253,1458388.200000000186265,1506959.199999999953434,1540879.000000000000000,10668924.189999999478459
20130318,1581737.650000000139698,1519168.199999999953434,1488521.969999999972060,1525790.379999999888241,1441882.250000000000000,1511537.949999999953434,1564303.239999999990687,10632944.640000000596046
20130319,1566108.399999999906868,1520132.000000000000000,1485954.800000000279397,1528238.350000000093132,1433363.050000000279397,1523625.849999999860302,1570720.840000000083819,10628146.290000000968575
20130320,1587027.550000000046566,1531504.839999999850988,1491542.170000000158325,1542926.169999999925494,1459985.550000000279397,1535530.600000000093132,1559490.040000000037253,10708009.919999998062849
20130321,1572841.000000000000000,1523023.399999999906868,1487917.930000000167638,1531385.739999999990687,1426973.650000000139698,1533882.250000000000000,1565907.639999999897555,10641934.610000001266599
20130322,1592317.449999999953434,1537094.879999999888241,1499092.670000000158325,1535232.549999999813735,1585111.300000000046566,1532783.349999999860302,1572967.000000000000000,10854602.199999999254942
20130325,1589432.049999999813735,1535938.320000000065193,1483538.640000000130385,1527888.639999999897555,1585643.750000000232831,1526922.550000000046566,1577459.319999999832362,10826826.269999999552965
20130326,1615160.200000000186265,1558491.239999999757856,1487464.900000000139698,1552368.339999999850988,1583513.949999999953434,1526739.399999999906868,1587727.479999999981374,10911468.509999999776483
20130327,1614679.300000000279397,1566587.159999999916181,1493505.300000000279397,1542226.750000000000000,1556359.000000000232831,1526922.550000000046566,1570399.959999999962747,10870683.019999999552965
20130328,1622133.250000000000000,1571598.919999999925494,1505435.090000000083819,1545723.850000000093132,1571267.600000000325963,1541940.849999999860302,1577138.439999999944121,10935241.000000000000000
20130401,1617324.250000000232831,1579309.320000000065193,1495770.450000000186265,1550969.500000000000000,1551034.500000000000000,1537545.250000000000000,1579384.599999999860302,10911340.869999999180436
20130402,1626461.350000000093132,1593959.079999999841675,1514042.660000000149012,1570553.259999999776483,1568072.900000000139698,1545970.149999999906868,1588369.239999999990687,11007431.640000000596046
20130403,1593038.800000000046566,1582007.959999999729916,1498790.650000000139698,1586290.209999999962747,1568605.350000000093132,1533332.800000000046566,1572004.360000000102445,10934073.130000000819564
20130404,1604580.400000000139698,1588561.799999999813735,1519630.030000000027940,1584891.369999999878928,1579786.800000000279397,1544688.100000000093132,1581951.639999999897555,11004093.140000000596046
20130405,1570196.050000000046566,1581429.679999999934807,1531559.820000000065193,1578246.879999999888241,1570202.699999999953434,1545970.149999999906868,1590294.520000000018626,10967902.799999998882413
20130408,1577409.549999999813735,1563503.000000000000000,1532767.900000000139698,1590486.729999999748543,1596292.750000000232831,1551830.950000000186265,1586123.080000000074506,10998416.959999999031425
20130409,1568272.449999999953434,1571406.159999999916181,1526123.460000000195578,1591535.859999999869615,1594695.400000000139698,1561721.049999999813735,1583876.919999999925494,10997634.299999998882413
20130410,1572600.550000000279397,1581044.159999999916181,1532616.890000000130385,1638047.290000000037253,1605344.400000000139698,1553296.150000000139698,1599920.919999999925494,11082873.359999999403954
20130411,1580775.849999999860302,1586826.959999999729916,1540167.390000000130385,1650986.559999999823049,1629304.650000000139698,1576189.900000000139698,1620778.119999999878928,11185032.429999997839332
20130412,1579333.150000000139698,1594922.879999999888241,1564328.990000000223517,1647489.459999999962747,1612798.700000000186265,1579852.900000000139698,1632008.919999999925494,11210738.000000000000000
20130415,1541342.049999999813735,1575068.599999999860302,1542583.550000000279397,1624758.309999999823049,1588838.450000000186265,1551464.649999999906868,1624949.560000000055879,11049008.169999999925494
20130416,1553124.100000000093132,1608416.079999999841675,1556023.440000000176951,1642243.809999999823049,1610668.900000000139698,1585164.250000000000000,1619173.719999999972060,11174817.300000000745058
20130417,1542063.399999999906868,1617283.040000000037253,1548472.940000000176951,1635249.609999999869615,1621317.900000000139698,1558058.049999999813735,1589652.760000000009313,11112100.700000001117587
20130418,1563944.350000000093132,1603404.320000000065193,1538959.310000000055879,1628255.409999999916181,1602149.700000000186265,1540292.500000000000000,1633613.319999999832362,11110621.910000000149012
20130419,1616843.349999999860302,1628655.879999999888241,1508908.320000000065193,1660778.439999999944121,1621850.350000000093132,1553296.150000000139698,1676611.239999999990687,11266946.730000000447035
20130422,1602897.250000000000000,1635209.719999999972060,1499847.719999999972060,1675815.969999999972060,1633564.250000000232831,1549083.699999999953434,1674685.959999999962747,11271107.570000000298023
20130423,1621892.800000000046566,1647160.839999999850988,1506492.160000000149012,1700645.379999999888241,1642083.450000000186265,1581501.250000000000000,1678857.399999999906868,11378636.279999999329448
20130424,1621171.450000000186265,1626728.279999999795109,1525519.420000000158325,1676865.100000000093132,1638356.300000000046566,1572526.899999999906868,1662171.639999999897555,11323342.089999999850988
20130425,1638243.399999999906868,1642727.359999999869615,1524311.340000000083819,1655882.500000000000000,1652732.450000000186265,1561721.049999999813735,1707736.599999999860302,11383357.699999999254942
20130426,1629106.300000000046566,1640799.760000000009313,1523556.290000000037253,1674067.419999999925494,1647940.400000000139698,1559523.250000000000000,1720892.680000000167638,11395889.099999999627471
20130429,1626220.899999999906868,1649666.719999999972060,1543036.580000000307336,1672318.869999999878928,1667641.050000000046566,1565567.200000000186265,1715437.719999999972060,11439892.040000000968575
20130430,1644976.000000000000000,1642920.119999999878928,1542432.540000000037253,1643642.649999999906868,1693198.650000000139698,1564285.149999999906868,1729877.319999999832362,11461335.430000001564622
20130501,1641850.150000000139698,1623644.119999999878928,1530955.780000000027940,1597830.639999999897555,1686809.250000000232831,1540292.500000000000000,1681424.439999999944121,11302809.879999998956919
20130502,1668299.649999999906868,1641570.799999999813735,1541224.460000000195578,1599229.479999999748543,1685744.350000000093132,1546153.300000000046566,1685595.880000000121072,11367820.920000001788139
20130503,1688737.900000000139698,1652943.639999999897555,1554211.320000000065193,1597131.219999999972060,1718756.250000000232831,1564285.149999999906868,1690409.080000000074506,11466477.560000000521541
20130506,1684650.250000000000000,1632318.320000000065193,1541375.469999999972060,1573001.229999999748543,1702782.750000000232831,1562453.650000000139698,1670193.639999999897555,11366778.310000000521541
20130507,1688978.349999999860302,1648702.919999999925494,1544697.690000000176951,1583142.820000000065193,1701717.850000000093132,1575457.299999999813735,1698110.199999999953434,11440810.129999998956919
20130508,1690661.500000000000000,1647353.599999999860302,1524462.350000000093132,1573350.939999999944121,1701185.400000000139698,1598534.199999999953434,1704206.919999999925494,11439757.909999998286366
