訓練日期,20140409 - 20140711
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11047724.229999998584390
真實報酬,1047724.229999998584390

夏普值報酬,0.096072423000000
夏普值風險,0.030757885069735
夏普值,3.123505494028028

預期報酬,16941.072622964820766
風險,42572.691682998105534
趨勢值,0.397932852099423
找到最佳解世代,1677
找到最佳解實驗#,2
找到最佳解次數,37

stock[index](rank)
投資組合檔數,8
AAPL[0](1),CSCO[4](7),INTC[11](22),KO[14](8),MCD[15](20),TRV[22](4),UNH[23](27),XOM[29](16),
Stock#,AAPL[0](1),CSCO[4](7),INTC[11](22),KO[14](8),MCD[15](20),TRV[22](4),UNH[23](27),XOM[29](16),
張數,16715,54489,46451,32133,12744,14752,15497,12827,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,52.300000000046566,22.339999999850988,3.590000000083819,26.300000000046566,68.479999999981374,63.040000000037253,11.979999999981374,8.849999999860302,
20140409,1266380.700000000186265,1259808.020000000018626,1253251.570000000065193,1252891.970000000204891,1253440.879999999888241,1266079.679999999934807,1261312.810000000055879,1248460.759999999776483,10061626.389999998733401
20140410,1250000.000000000000000,1234198.189999999711290,1227703.520000000018626,1249678.670000000158325,1267204.400000000139698,1253835.520000000018626,1239617.010000000009313,1241405.909999999916181,9963643.220000000670552
20140411,1240806.750000000000000,1223845.279999999795109,1216090.770000000018626,1241324.090000000083819,1265420.239999999990687,1258408.639999999897555,1223500.130000000121072,1240636.289999999804422,9910032.189999999478459
20140414,1245821.250000000000000,1245095.989999999990687,1233742.150000000139698,1244537.389999999897555,1275870.320000000065193,1261359.040000000037253,1227064.440000000176951,1255259.069999999832362,9988749.650000000372529
20140415,1236795.149999999906868,1247275.549999999813735,1243496.860000000102445,1291130.239999999990687,1285046.000000000000000,1267112.320000000065193,1232178.449999999953434,1265777.209999999962747,10068811.780000001192093
20140416,1239302.400000000139698,1254904.010000000009313,1250929.020000000018626,1304304.770000000251457,1285046.000000000000000,1280241.600000000093132,1211722.409999999916181,1281939.229999999748543,10108389.440000001341105
20140417,1253510.149999999906868,1264712.029999999795109,1256038.630000000121072,1308482.060000000055879,1277654.479999999981374,1278766.400000000139698,1174374.639999999897555,1288096.189999999944121,10101634.580000000074506
