訓練日期,20140812 - 20141111
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11678713.519999999552965
真實報酬,1678713.519999999552965

夏普值報酬,0.159171352000000
夏普值風險,0.037767946250037
夏普值,4.214456114352407

預期報酬,25059.560827630375570
風險,159783.300424673594534
趨勢值,0.156834667709497
找到最佳解世代,2350
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](9),NKE[19](1),UNH[23](3),
Stock#,KO[14](9),NKE[19](1),UNH[23](3),
張數,84238,86512,41734,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,35.339999999850988,25.640000000130385,38.419999999925494,
20140812,3342599.179999999701977,3319491.080000000074506,3347939.899999999906868,10010031.160000000149012
20140813,3364501.059999999590218,3341984.200000000186265,3401776.760000000242144,10108263.019999999552965
20140814,3384718.179999999701977,3343714.439999999944121,3414714.299999999813735,10143147.919999998062849
20140815,3443684.780000000260770,3336793.479999999981374,3400107.399999999906868,10180586.660000000149012
20140818,3483276.640000000130385,3398217.000000000000000,3436415.979999999981374,10317910.620000001043081
20140819,3475695.219999999739230,3396486.759999999776483,3483575.399999999906868,10355758.379999998956919
20140820,3474852.839999999850988,3413789.160000000149012,3481906.040000000037253,10370549.039999999105930
20140821,3488330.919999999459833,3414654.280000000260770,3496095.599999999627471,10399081.799999998882413
20140822,3463901.899999999441206,3430226.439999999944121,3496512.939999999944121,10390642.279999999329448
20140825,3488330.919999999459833,3461370.759999999776483,3515710.579999999608845,10465413.259999999776483
20140826,3504336.140000000130385,3438012.520000000484288,3552436.500000000000000,10494786.160000000149012
20140827,3504336.140000000130385,3448393.959999999962747,3605021.339999999850988,10557752.439999999478459
20140828,3506863.280000000260770,3409463.560000000055879,3603351.979999999981374,10519679.820000000298023
20140829,3514444.699999999720603,3398217.000000000000000,3617541.540000000037253,10530204.239999998360872
20140902,3507705.659999999683350,3429361.320000000298023,3605438.680000000167638,10542506.660000000149012
20140903,3519498.979999999981374,3409463.560000000055879,3622132.280000000260770,10551095.820000000298023
20140904,3527080.399999999441206,3457045.160000000149012,3633400.459999999962747,10617527.019999999552965
20140905,3524553.260000000242144,3548747.880000000353903,3662196.919999999925494,10735499.060000000521541
20140908,3519498.979999999981374,3564320.040000000502914,3668874.359999999869615,10752694.380000000819564
20140909,3532977.059999999590218,3540096.680000000167638,3696001.459999999962747,10769076.199999999254942
