訓練日期,20150709 - 20151008
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11168745.259999999776483
真實報酬,1168745.259999999776483

夏普值報酬,0.108174526000000
夏普值風險,0.026638543244811
夏普值,4.060827388564943

預期報酬,12614.106738589654924
風險,267371.696955158782657
趨勢值,0.047178167630455
找到最佳解世代,2173
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),NKE[19](2),
Stock#,HD[9](1),NKE[19](2),
張數,45045,91508,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,5.000000000000000,2.879999999888241,
20150709,5017117.099999999627471,5007320.639999999664724,10024437.739999998360872
20150710,5094594.500000000000000,5056734.959999999962747,10151329.460000000894070
20150713,5175675.500000000000000,5143667.559999999590218,10319343.059999998658895
20150714,5196396.200000000186265,5140007.240000000223517,10336403.440000001341105
20150715,5206306.099999999627471,5119875.480000000447035,10326181.580000000074506
20150716,5168017.850000000558794,5140007.240000000223517,10308025.089999999850988
20150717,5156306.150000000372529,5161054.080000000074506,10317360.230000000447035
20150720,5108558.450000000186265,5176610.439999999478459,10285168.890000000596046
20150721,5128828.700000000186265,5170204.879999999888241,10299033.580000000074506
20150722,5175675.500000000000000,5220534.279999999329448,10396209.779999999329448
20150723,5161711.549999999813735,5215958.879999999888241,10377670.429999999701977
20150724,5116666.549999999813735,5170204.879999999888241,10286871.429999999701977
20150727,5093243.149999999441206,5112554.839999999850988,10205797.989999998360872
20150728,5172972.799999999813735,5192166.799999999813735,10365139.599999999627471
20150729,5241891.650000000372529,5258052.559999999590218,10499944.210000000894070
20150730,5245945.699999999254942,5262627.959999999962747,10508573.660000000149012
20150731,5271621.349999999627471,5271778.759999999776483,10543400.109999999403954
20150803,5265315.049999999813735,5254392.240000000223517,10519707.289999999105930
20150804,5294143.849999999627471,5297401.000000000000000,10591544.849999999627471
20150805,5315315.000000000000000,5342239.919999999925494,10657554.919999999925494
20150806,5250450.200000000186265,5267203.360000000335276,10517653.560000000521541
20150807,5267116.850000000558794,5239750.959999999962747,10506867.810000000521541
20150810,5297297.000000000000000,5278184.320000000298023,10575481.320000000298023
20150811,5301351.049999999813735,5237005.719999999739230,10538356.769999999552965
20150812,5301351.049999999813735,5172950.120000000111759,10474301.169999999925494
20150813,5361260.899999999441206,5197657.279999999329448,10558918.179999999701977
20150814,5394143.750000000000000,5232430.320000000298023,10626574.070000000298023
20150817,5391891.500000000000000,5260797.799999999813735,10652689.300000000745058
20150818,5531531.000000000000000,5253477.159999999217689,10785008.160000000149012
20150819,5529729.200000000186265,5259882.719999999739230,10789611.919999999925494
20150820,5429729.300000000745058,5138177.080000000074506,10567906.380000000819564
20150821,5232432.200000000186265,4890190.399999999441206,10122622.599999999627471
20150824,5069369.300000000745058,4752928.399999999441206,9822297.699999999254942
20150825,4998648.650000000372529,4737372.040000000037253,9736020.690000001341105
20150826,5222071.850000000558794,4976207.919999999925494,10198279.769999999552965
20150827,5299999.700000000186265,5152818.360000000335276,10452818.060000000521541
20150828,5293693.399999999441206,5147327.879999999888241,10441021.279999999329448
20150831,5245945.699999999254942,5113469.919999999925494,10359415.619999999180436
20150901,5093243.149999999441206,4970717.439999999478459,10063960.589999999850988
20150902,5246846.600000000558794,5064970.679999999701977,10311817.280000001192093
20150903,5252252.000000000000000,5072291.320000000298023,10324543.320000000298023
20150904,5154053.900000000372529,5019216.679999999701977,10173270.580000000074506
20150908,5244594.350000000558794,5113469.919999999925494,10358064.269999999552965
20150909,5133783.650000000372529,5026537.320000000298023,10160320.970000000670552
20150910,5157207.049999999813735,5050329.399999999441206,10207536.449999999254942
20150911,5199999.799999999813735,5116215.159999999217689,10316214.959999999031425
20150914,5168017.850000000558794,5119875.480000000447035,10287893.330000001937151
20150915,5233333.100000000558794,5208638.240000000223517,10441971.339999999850988
20150916,5307206.899999999441206,5288250.200000000186265,10595457.099999999627471
20150917,5311260.950000000186265,5274524.000000000000000,10585784.949999999254942
20150918,5185585.400000000372529,5264458.120000000111759,10450043.519999999552965
20150921,5251351.099999999627471,5333089.120000000111759,10584440.219999998807907
20150922,5216216.000000000000000,5306551.799999999813735,10522767.800000000745058
20150923,5232882.650000000372529,5281844.639999999664724,10514727.289999999105930
20150924,5240540.299999999813735,5252562.080000000074506,10493102.379999998956919
20150925,5258558.299999999813735,5719252.879999999888241,10977811.179999999701977
20150928,5139639.500000000000000,5588396.439999999478459,10728035.939999999478459
20150929,5086035.950000000186265,5475841.600000000558794,10561877.550000000745058
20150930,5202252.049999999813735,5626829.799999999813735,10829081.849999999627471
20151001,5271621.349999999627471,5666178.240000000223517,10937799.589999999850988
20151002,5306756.450000000186265,5729318.759999999776483,11036075.210000000894070
20151005,5369369.000000000000000,5686310.000000000000000,11055679.000000000000000
20151006,5345945.600000000558794,5636895.679999999701977,10982841.280000001192093
20151007,5389639.250000000000000,5586566.279999999329448,10976205.529999999329448
20151008,5453152.700000000186265,5715592.559999999590218,11168745.259999999776483
