訓練日期,20160404 - 20160705
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11199991.629999998956919
真實報酬,1199991.629999998956919

夏普值報酬,0.111299163000000
夏普值風險,0.025175896282804
夏普值,4.420861992350260

預期報酬,15055.416546201902747
風險,97950.769897004443919
趨勢值,0.153703912302402
找到最佳解世代,2713
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,3
PFE[20](3),VZ[26](25),XOM[29](1),
Stock#,PFE[20](3),VZ[26](25),XOM[29](1),
張數,110963,61716,40180,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,4.479999999981374,51.840000000316650,0.200000000186265,
20160404,3408787.839999999850988,3358636.560000000521541,3341369.000000000000000,10108794.400000000372529
20160405,3479804.160000000149012,3338270.280000000726432,3303198.000000000000000,10121273.440000001341105
20160406,3654016.069999999832362,3303092.160000000614673,3347396.000000000465661,10304505.230000000447035
20160407,3635152.359999999869615,3209283.840000000316650,3309626.800000000279397,10154064.000000000000000
20160408,3606301.979999999981374,3220392.720000000204891,3343378.000000000000000,10170073.699999999254942
20160411,3538614.549999999813735,3185214.600000000093132,3347797.799999999813735,10071627.949999999254942
20160412,3546381.959999999962747,3206198.040000000502914,3389183.200000000186265,10141764.199999999254942
20160413,3610740.500000000000000,3165465.480000000447035,3408469.600000000093132,10184676.580000000074506
20160414,3622946.429999999701977,3169785.600000000093132,3432577.600000000558794,10225310.629999998956919
20160415,3606301.979999999981374,3169168.440000000409782,3414094.800000000279397,10189566.220000000670552
20160418,3618507.910000000149012,3192620.520000000018626,3446640.600000000093132,10257770.029999999329448
20160419,3649577.549999999813735,3214221.120000000111759,3463918.000000000000000,10327717.669999999925494
20160420,3687304.969999999739230,3193854.840000000316650,3487624.200000000186265,10368785.010000001639128
20160421,3688414.600000000093132,3087703.320000000298023,3487222.400000000372529,10263341.320000000298023
20160422,3691743.490000000223517,3119795.640000000130385,3516955.600000000093132,10328495.730000000447035
20160425,3685085.709999999962747,3132756.000000000000000,3508919.600000000093132,10326762.310000000521541
20160426,3667331.629999999888241,3113006.880000000353903,3520973.600000000093132,10301313.109999999403954
20160427,3661783.479999999981374,3190151.880000000353903,3554323.000000000000000,10406259.359999999403954
20160428,3651796.809999999590218,3148802.160000000614673,3537045.600000000093132,10337645.570000000298023
20160429,3629604.209999999962747,3143864.880000000353903,3551912.200000000186265,10325382.289999999105930
20160502,3639590.879999999888241,3167316.960000000428408,3581243.600000000093132,10388152.439999999478459
20160503,3739457.580000000074506,3127818.720000000204891,3540260.000000000000000,10407537.300000000745058
20160504,3706168.679999999701977,3137693.280000000726432,3533429.399999999906868,10377292.360000001266599
