訓練日期,20160711 - 20161010
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11111526.769999999552965
真實報酬,1111526.769999999552965

夏普值報酬,0.102452677000000
夏普值風險,0.027851220147512
夏普值,3.678570506332144

預期報酬,17269.410095980358165
風險,90451.833212498109788
趨勢值,0.190923826335387
找到最佳解世代,1972
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),INTC[11](3),PG[21](6),V[25](1),
Stock#,AAPL[0](2),INTC[11](3),PG[21](6),V[25](1),
張數,25858,73529,29147,32713,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,48.560000000055879,14.000000000000000,61.810000000055879,72.540000000037253,
20160711,2507757.400000000372529,2527941.020000000018626,2499417.060000000055879,2503271.299999999813735,10038386.780000001192093
20160712,2519134.919999999925494,2569117.259999999776483,2499417.060000000055879,2534675.780000000260770,10122345.019999999552965
20160713,2504913.020000000018626,2574264.290000000037253,2503497.640000000130385,2534021.520000000018626,10116696.470000000670552
20160714,2554560.380000000353903,2588234.800000000279397,2502914.700000000186265,2556266.359999999869615,10201976.240000000223517
20160715,2554301.800000000279397,2578676.029999999795109,2506995.280000000260770,2561500.439999999944121,10201473.550000000745058
20160718,2581452.700000000186265,2577205.449999999720603,2504663.520000000484288,2561827.570000000298023,10225149.240000002086163
20160719,2582487.020000000018626,2584558.350000000093132,2511658.800000000279397,2575239.899999999906868,10253944.070000000298023
20160720,2584814.239999999757856,2624264.009999999776483,2486883.849999999627471,2596176.220000000204891,10292138.320000000298023
20160721,2571109.500000000000000,2519852.830000000074506,2485135.030000000260770,2577529.810000000055879,10153627.169999999925494
20160722,2551198.839999999850988,2548529.139999999664724,2498542.649999999906868,2614168.370000000111759,10212439.000000000000000
20160725,2517066.280000000260770,2550735.009999999776483,2500874.410000000149012,2582436.759999999776483,10151112.460000000894070
20160726,2499741.419999999925494,2580146.610000000335276,2485426.500000000000000,2567715.909999999683350,10133030.439999999478459
20160727,2662129.660000000149012,2561029.069999999832362,2461817.429999999701977,2569024.430000000167638,10254000.589999999850988
20160728,2698072.280000000260770,2556617.330000000074506,2472018.880000000353903,2590615.009999999776483,10317323.500000000000000
20160729,2694710.739999999757856,2563234.939999999944121,2494753.540000000037253,2553322.189999999944121,10306021.410000000149012
20160801,2742289.459999999962747,2562499.649999999906868,2518654.080000000074506,2560191.920000000391155,10383635.109999999403954
20160802,2701692.400000000372529,2541176.240000000223517,2528855.530000000260770,2560846.180000000167638,10332570.350000001490116
20160803,2735566.380000000353903,2518382.250000000000000,2505829.399999999906868,2574912.770000000018626,10334690.800000000745058
20160804,2737635.020000000018626,2542646.819999999832362,2508161.160000000149012,2600101.780000000260770,10388544.780000001192093
20160805,2779266.400000000372529,2572058.419999999925494,2500291.470000000204891,2621692.359999999869615,10473308.650000000372529
20160808,2802280.020000000018626,2576470.160000000149012,2499708.530000000260770,2615476.890000000130385,10493935.599999999627471
20160809,2813657.540000000037253,2567646.680000000167638,2506412.339999999850988,2619075.320000000298023,10506791.880000000819564
20160810,2792712.560000000055879,2538970.370000000111759,2515739.380000000353903,2606644.380000000353903,10454066.690000001341105
20160811,2790902.500000000000000,2549999.720000000204891,2527981.120000000111759,2621038.100000000093132,10489921.440000001341105
20160812,2797367.000000000000000,2541911.529999999795109,2537016.690000000409782,2617766.799999999813735,10494062.019999999552965
20160815,2830982.400000000372529,2566911.389999999664724,2536433.750000000000000,2646881.370000000111759,10581208.910000000149012
20160816,2828396.600000000093132,2588970.089999999850988,2523609.069999999832362,2643610.070000000298023,10584585.830000000074506
20160817,2824259.319999999832362,2574999.580000000074506,2534684.929999999701977,2644591.459999999962747,10578535.289999999105930
20160818,2820639.200000000186265,2571323.129999999888241,2548675.489999999757856,2625945.049999999813735,10566582.870000001043081
20160819,2827879.439999999944121,2591175.959999999962747,2544886.380000000353903,2632487.649999999906868,10596429.430000001564622
20160822,2805900.140000000130385,2599999.439999999944121,2531478.759999999776483,2651788.320000000298023,10589166.660000000149012
20160823,2814691.859999999869615,2602940.600000000093132,2547509.610000000335276,2643282.939999999944121,10608425.009999999776483
20160824,2793488.300000000279397,2584558.350000000093132,2544886.380000000353903,2626599.310000000055879,10549532.340000001713634
20160825,2781593.620000000111759,2580146.610000000335276,2562083.110000000335276,2627580.699999999720603,10551404.040000000968575
20160826,2765303.080000000074506,2592646.540000000037253,2552756.069999999832362,2635758.949999999720603,10546464.639999998733401
20160829,2762200.120000000111759,2613969.949999999720603,2573741.910000000149012,2645572.850000000093132,10595484.830000000074506
20160830,2740996.560000000055879,2624999.300000000279397,2551590.190000000409782,2655386.750000000000000,10572972.800000000745058
20160831,2743582.359999999869615,2638969.810000000055879,2544886.380000000353903,2646554.240000000223517,10573992.790000000968575
20160901,2759872.900000000372529,2648528.580000000074506,2574033.380000000353903,2659639.439999999944121,10642074.300000000745058
20160902,2785730.900000000372529,2652940.319999999832362,2570827.209999999962747,2682538.540000000037253,10692036.970000000670552
20160906,2784955.160000000149012,2688969.529999999795109,2583651.890000000130385,2699876.430000000167638,10757453.009999999776483
20160907,2802021.439999999944121,2680881.339999999850988,2563540.459999999962747,2723102.659999999683350,10769545.899999998509884
20160908,2728584.719999999739230,2679410.759999999776483,2558585.470000000204891,2714270.149999999906868,10680851.099999999627471
20160909,2666784.100000000093132,2605881.759999999776483,2513699.089999999850988,2660620.830000000074506,10446985.779999999329448
20160912,2726516.080000000074506,2652940.319999999832362,2572284.560000000055879,2714270.149999999906868,10666011.110000001266599
20160913,2791419.660000000149012,2618381.689999999944121,2537308.160000000149012,2678940.109999999869615,10626049.619999999180436
20160914,2890197.219999999739230,2619116.979999999981374,2536142.280000000260770,2665854.909999999683350,10711311.389999998733401
20160915,2988457.620000000111759,2688234.240000000223517,2566746.630000000353903,2682865.670000000391155,10926304.160000000149012
20160916,2971649.919999999925494,2769851.430000000167638,2566455.160000000149012,2684828.449999999720603,10992784.959999999031425
20160919,2937000.200000000186265,2732351.639999999664724,2575782.200000000186265,2699222.170000000391155,10944356.210000000894070
20160920,2936741.620000000111759,2730881.060000000055879,2581903.069999999832362,2698240.780000000260770,10947766.530000001192093
20160921,2936224.459999999962747,2753675.050000000279397,2559168.410000000149012,2722448.399999999906868,10971516.320000000298023
20160922,2963892.520000000018626,2761027.949999999720603,2593853.339999999850988,2727028.220000000204891,11045802.029999999329448
20160923,2914503.739999999757856,2734557.509999999776483,2558002.530000000260770,2700203.560000000055879,10907267.339999999850988
20160926,2918899.600000000093132,2694851.850000000093132,2560625.759999999776483,2676323.070000000298023,10850700.280000001192093
20160927,2924329.780000000260770,2733822.220000000204891,2575490.729999999981374,2687772.620000000111759,10921415.350000001490116
20160928,2946567.660000000149012,2752939.759999999776483,2607552.429999999701977,2714270.149999999906868,11021330.000000000000000
20160929,2900799.000000000000000,2744116.279999999795109,2571701.620000000111759,2679921.500000000000000,10896538.399999998509884
20160930,2923295.459999999962747,2775733.750000000000000,2616005.060000000055879,2705437.640000000130385,11020471.910000000149012
20161003,2909590.719999999739230,2769116.139999999664724,2584234.830000000074506,2710671.720000000204891,10973613.410000000149012
20161004,2922002.560000000055879,2760292.660000000149012,2575199.259999999776483,2706419.030000000260770,10963913.510000001639128
20161005,2923295.459999999962747,2793380.709999999962747,2589772.759999999776483,2726701.089999999850988,11033150.019999999552965
20161006,2945016.180000000167638,2799263.029999999795109,2600557.149999999906868,2727028.220000000204891,11071864.580000000074506
20161007,2949412.040000000037253,2801468.899999999906868,2623291.810000000055879,2711325.979999999981374,11085498.730000000447035
20161010,3000869.459999999962747,2795586.580000000074506,2595893.630000000353903,2719177.100000000093132,11111526.769999999552965
