訓練日期,20161125 - 20170301
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11455838.190000001341105
真實報酬,1455838.190000001341105

夏普值報酬,0.136883819000000
夏普值風險,0.036051580593838
夏普值,3.796888145963789

預期報酬,20097.795295254360099
風險,79668.923990894079907
趨勢值,0.252266433240036
找到最佳解世代,2123
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](6),AXP[1](1),DIS[6](2),IBM[10](3),UNH[23](14),
Stock#,AAPL[0](6),AXP[1](1),DIS[6](2),IBM[10](3),UNH[23](14),
張數,17980,27442,20354,12347,13025,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,84.599999999860302,27.040000000037253,15.959999999962747,32.940000000176951,141.500000000000000,
20161125,2010068.800000000046566,1999451.159999999916181,2011398.239999999757856,2014322.520000000018626,1990491.750000000000000,10025732.469999998807907
20161128,2006113.199999999720603,1979418.500000000000000,2014451.339999999850988,2031361.380000000353903,1981374.250000000232831,10012718.669999999925494
20161129,2004135.399999999674037,1961855.619999999878928,2028699.139999999897555,2019137.850000000093132,2052751.250000000000000,10066579.259999999776483
20161130,1987234.199999999720603,1976948.720000000204891,2017504.439999999944121,2002963.280000000260770,2062259.500000000000000,10046910.140000000596046
20161201,1968714.799999999813735,1990395.300000000046566,2013840.719999999972060,1973330.479999999981374,2096385.000000000000000,10042666.299999998882413
20161202,1976086.599999999860302,1972009.159999999916181,2004884.959999999962747,1975799.880000000353903,2093649.749999999767169,10022430.349999999627471
20161205,1961882.399999999906868,1976674.300000000046566,2034601.799999999813735,1973577.420000000158325,2053272.250000000000000,10000008.169999999925494
20161206,1976985.599999999860302,1984358.060000000055879,2048849.599999999860302,1979874.390000000130385,2049234.500000000000000,10039302.150000000372529
20161207,1996403.999999999767169,2038693.220000000204891,2075920.419999999925494,2034695.070000000065193,2076326.500000000000000,10222039.210000000894070
20161208,2016002.199999999953434,2055707.260000000009313,2104212.479999999981374,2041732.860000000335276,2075284.500000000000000,10292939.300000000745058
20161209,2048905.599999999860302,2051865.379999999888241,2134336.399999999906868,2056055.380000000353903,2085704.500000000000000,10376867.259999999776483
20161212,2037218.599999999860302,2019209.399999999906868,2118053.200000000186265,2043461.440000000176951,2077498.750000000232831,10295441.390000000596046
20161213,2071200.799999999813735,2026344.320000000065193,2113778.859999999869615,2077909.570000000065193,2091175.000000000000000,10380408.550000000745058
20161214,2071200.799999999813735,2032655.979999999748543,2117849.659999999683350,2080625.910000000149012,2082318.000000000232831,10384650.349999999627471
20161215,2082528.199999999720603,2056530.520000000018626,2124770.020000000018626,2074575.880000000353903,2092217.000000000000000,10430621.620000001043081
20161216,2085225.199999999953434,2058177.040000000037253,2115000.100000000093132,2058648.250000000000000,2135460.000000000000000,10452510.589999999850988
20161219,2097271.799999999813735,2045828.139999999897555,2143292.159999999683350,2058030.900000000372529,2104200.000000000000000,10448623.000000000000000
20161220,2102845.599999999627471,2059823.560000000055879,2146548.799999999813735,2069390.140000000130385,2104851.250000000000000,10483459.349999999627471
20161221,2104823.399999999441206,2066958.479999999748543,2148584.200000000186265,2066056.450000000419095,2101464.750000000000000,10487887.279999999329448
20161222,2090978.800000000046566,2046651.399999999906868,2145734.640000000130385,2062722.760000000242144,2104721.000000000000000,10450808.599999999627471
20161223,2095114.199999999720603,2057353.780000000027940,2140239.060000000055879,2058401.310000000288710,2123607.250000000000000,10474715.599999999627471
20161227,2108419.400000000372529,2057628.200000000186265,2140646.140000000130385,2063710.520000000018626,2118527.500000000000000,10488931.759999999776483
20161228,2099429.400000000372529,2040888.580000000074506,2122938.159999999683350,2051980.870000000111759,2102897.500000000000000,10418134.510000001639128
20161229,2098890.000000000000000,2028539.680000000167638,2128230.200000000186265,2057043.140000000130385,2097687.500000000000000,10410390.520000001415610
20161230,2082528.199999999720603,2032930.399999999906868,2121309.839999999850988,2049511.470000000204891,2084662.500000000000000,10370942.410000000149012
20170103,2088461.599999999860302,2067781.739999999990687,2159168.279999999795109,2064327.870000000111759,2103027.750000000000000,10482767.239999998360872
20170104,2086124.199999999720603,2092753.960000000195578,2186849.719999999739230,2089886.160000000149012,2109019.250000000000000,10564633.289999999105930
20170105,2096732.399999999906868,2066958.479999999748543,2185628.479999999981374,2082971.840000000083819,2112536.000000000000000,10544827.199999999254942
20170106,2120106.399999999441206,2071074.780000000027940,2218194.879999999888241,2093219.850000000093132,2115531.750000000000000,10618127.660000000149012
20170109,2139524.799999999813735,2081777.159999999916181,2205575.399999999906868,2070007.490000000223517,2109540.250000000000000,10606425.099999999627471
20170110,2141682.399999999441206,2103456.340000000316650,2205982.479999999981374,2043708.380000000353903,2104721.000000000000000,10599550.600000001490116
20170111,2153189.599999999627471,2110591.259999999776483,2227557.719999999739230,2071242.190000000176951,2108758.750000000000000,10671339.519999999552965
