訓練日期,20170424 - 20170725
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11134094.540000000968575
真實報酬,1134094.540000000968575

夏普值報酬,0.104709454000000
夏普值風險,0.029493221718028
夏普值,3.550288774860963

預期報酬,16507.834837986436469
風險,58939.665466413767717
趨勢值,0.280080226233949
找到最佳解世代,2530
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,5
BA[2](3),JNJ[12](2),KO[14](11),MCD[15](5),NKE[19](24),
Stock#,BA[2](3),JNJ[12](2),KO[14](11),MCD[15](5),NKE[19](24),
張數,11087,16425,46436,14991,35810,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,126.939999999944121,92.000000000000000,1.479999999981374,50.689999999944121,11.500000000000000,
20170424,2018626.159999999916181,2018560.250000000000000,2009751.560000000055879,2012292.619999999878928,1986392.199999999953434,10045622.790000000968575
20170425,2034702.309999999823049,2027429.750000000000000,2001857.439999999944121,2124275.389999999664724,1985676.000000000000000,10173940.890000000596046
20170426,2014745.709999999962747,2028743.750000000000000,2007894.120000000111759,2111383.129999999888241,1975291.099999999860302,10138057.810000000521541
20170427,2031487.079999999841675,2032521.500000000000000,1997213.839999999850988,2111832.859999999869615,1986392.199999999953434,10159447.479999998584390
20170428,2049337.150000000139698,2028086.750000000000000,2003714.879999999888241,2097741.319999999832362,1984243.599999999860302,10163123.699999999254942
20170501,2022284.869999999878928,2025951.500000000000000,2006965.399999999906868,2116030.339999999850988,1969203.400000000139698,10140435.509999999776483
20170502,2033926.219999999972060,2031864.500000000000000,2014859.520000000018626,2117229.619999999646097,1972068.199999999953434,10169948.059999998658895
20170503,2033371.869999999878928,2025787.250000000000000,2011609.000000000000000,2138067.109999999869615,1952730.800000000046566,10161566.030000001192093
20170504,2029824.029999999795109,2035970.750000000000000,2027397.239999999757856,2150509.639999999664724,1950582.199999999953434,10194283.859999999403954
20170505,2051332.809999999823049,2028743.750000000000000,2028790.319999999832362,2158155.050000000279397,1931961.000000000000000,10198982.929999999701977
20170508,2062530.680000000167638,2024473.250000000000000,2038077.520000000018626,2162352.530000000260770,1944494.500000000000000,10231928.480000000447035
20170509,2072398.109999999869615,2023816.250000000000000,2020431.839999999850988,2164151.450000000186265,1965622.399999999906868,10246420.049999998882413
20170510,2031043.600000000093132,2017246.250000000000000,2023218.000000000000000,2166550.010000000242144,1953805.100000000093132,10191862.959999999031425
