訓練日期,20170714 - 20171013
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11015573.679999999701977
真實報酬,1015573.679999999701977

夏普值報酬,0.092857368000000
夏普值風險,0.026487801100150
夏普值,3.505665406082886

預期報酬,14994.780242139540860
風險,56104.419236321562494
趨勢值,0.267265581682237
找到最佳解世代,3067
找到最佳解實驗#,1
找到最佳解次數,29

stock[index](rank)
投資組合檔數,6
AXP[1](15),CAT[3](1),HD[9](19),PG[21](6),UNH[23](7),V[25](2),
Stock#,AXP[1](15),CAT[3](1),HD[9](19),PG[21](6),UNH[23](7),V[25](2),
張數,19522,15365,10872,19223,8985,17371,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,72.859999999869615,24.449999999953434,97.120000000111759,31.899999999906868,128.200000000186265,92.260000000009313,
20170714,1664909.019999999785796,1671275.500000000000000,1662208.479999999981374,1674355.199999999720603,1679424.700000000186265,1683863.290000000037253,10036040.189999999478459
20170717,1663737.699999999953434,1672351.050000000046566,1673189.199999999953434,1683005.549999999813735,1674482.950000000186265,1682126.189999999944121,10048896.640000000596046
20170718,1669594.299999999813735,1645154.999999999767169,1654489.359999999869615,1703958.619999999878928,1678975.450000000186265,1695154.439999999944121,10047331.169999999925494
20170719,1677598.320000000065193,1657139.699999999953434,1666774.720000000204891,1698383.949999999720603,1700000.350000000093132,1706793.010000000009313,10106694.049999998882413
20170720,1666275.559999999823049,1648996.249999999767169,1598607.280000000027940,1703189.699999999720603,1720755.700000000186265,1704361.070000000065193,10042189.559999998658895
20170721,1670960.839999999850988,1637779.800000000046566,1594475.920000000158325,1703381.929999999934807,1723271.500000000232831,1730243.859999999869615,10060117.849999999627471
20170724,1659442.859999999869615,1662210.150000000139698,1571970.880000000353903,1695116.040000000037253,1715274.850000000093132,1743619.530000000027940,10047638.310000000521541
20170725,1667446.879999999888241,1759931.550000000046566,1597954.960000000195578,1713570.119999999878928,1710872.200000000186265,1737018.549999999813735,10186798.260000001639128
20170726,1665299.459999999729916,1744259.250000000000000,1594910.800000000046566,1716645.799999999813735,1714016.950000000186265,1751957.609999999869615,10187093.869999999180436
20170727,1636992.559999999823049,1757319.500000000000000,1606217.679999999934807,1743173.540000000037253,1697664.250000000232831,1729722.729999999981374,10171094.259999999776483
20170728,1655538.459999999729916,1753170.949999999953434,1610022.880000000353903,1734138.729999999748543,1717610.950000000186265,1722426.910000000149012,10192912.879999998956919
20170731,1663932.919999999925494,1750866.199999999953434,1626548.320000000065193,1745864.759999999776483,1723541.050000000279397,1729549.020000000018626,10240306.269999999552965
20170801,1664128.139999999664724,1737805.949999999953434,1629266.320000000065193,1751247.199999999720603,1727314.750000000000000,1752305.030000000027940,10262071.389999998733401
20170802,1665299.459999999729916,1737652.300000000046566,1636333.120000000111759,1750093.820000000065193,1734233.200000000186265,1759427.140000000130385,10283043.040000000968575
20170803,1669984.739999999990687,1744873.850000000093132,1639486.000000000000000,1746633.679999999934807,1750136.650000000372529,1747441.150000000139698,10298560.070000000298023
20170804,1678379.199999999953434,1757012.199999999953434,1660795.120000000111759,1742981.310000000055879,1751125.000000000232831,1752652.449999999953434,10342949.279999999329448
20170807,1676036.559999999823049,1762543.599999999860302,1667318.320000000065193,1757783.019999999785796,1750226.500000000232831,1763075.049999999813735,10376987.050000000745058
20170808,1677793.539999999804422,1757934.099999999860302,1667318.320000000065193,1760474.239999999757856,1751304.700000000186265,1759427.140000000130385,10374256.039999999105930
20170809,1672913.039999999804422,1756858.550000000046566,1688083.840000000083819,1767010.060000000055879,1750675.750000000232831,1754042.129999999888241,10389587.370000001043081
20170810,1650853.179999999934807,1738574.199999999953434,1673080.479999999981374,1763549.919999999692664,1730369.650000000139698,1728333.049999999813735,10284764.480000000447035
20170811,1645582.239999999990687,1733964.699999999953434,1683952.479999999981374,1755860.719999999972060,1734412.900000000372529,1738755.650000000139698,10292532.689999999478459
20170814,1668618.199999999953434,1747178.599999999860302,1677211.840000000083819,1761819.850000000093132,1740612.550000000279397,1769676.030000000027940,10365121.070000000298023
20170815,1694387.239999999990687,1746256.699999999953434,1632745.359999999869615,1772392.500000000000000,1747710.700000000186265,1782877.989999999990687,10376374.490000000223517
20170816,1706100.439999999944121,1753478.250000000000000,1655359.120000000111759,1777006.019999999785796,1741151.650000000372529,1794863.979999999981374,10427963.460000000894070
20170817,1680721.839999999850988,1738420.550000000046566,1627309.359999999869615,1769893.509999999776483,1731537.700000000186265,1774713.619999999878928,10322600.580000000074506
20170818,1666861.219999999739230,1750405.250000000000000,1603608.400000000139698,1777582.709999999962747,1714645.900000000139698,1780793.470000000204891,10293900.950000001117587
20170821,1665299.459999999729916,1745488.449999999953434,1622199.520000000018626,1785079.679999999934807,1725517.750000000232831,1793126.879999999888241,10336715.739999998360872
20170822,1665299.459999999729916,1779598.749999999767169,1629918.640000000130385,1783734.070000000065193,1750316.350000000093132,1807892.229999999981374,10416763.500000000000000
20170823,1664909.019999999785796,1763158.199999999953434,1621112.320000000065193,1777006.019999999785796,1745374.600000000325963,1792432.040000000037253,10363996.199999999254942
20170824,1666470.779999999795109,1763619.149999999906868,1611871.120000000111759,1773738.109999999869615,1749956.950000000186265,1793126.879999999888241,10358786.989999998360872
20170825,1668618.199999999953434,1772377.199999999953434,1627091.920000000158325,1778351.630000000121072,1746452.800000000279397,1795385.109999999869615,10388280.859999999403954
20170828,1667446.879999999888241,1768074.999999999767169,1646009.199999999953434,1777582.709999999962747,1753011.850000000325963,1802854.640000000130385,10414984.280000001192093
20170829,1667642.099999999860302,1782518.100000000093132,1629157.600000000093132,1774699.259999999776483,1767747.250000000000000,1802680.929999999934807,10424449.240000000223517
20170830,1672913.039999999804422,1806180.199999999953434,1630897.120000000111759,1766048.909999999916181,1760110.000000000232831,1801986.090000000083819,10438139.359999999403954
20170831,1680917.059999999823049,1805258.299999999813735,1629483.760000000242144,1773738.109999999869615,1787244.700000000186265,1798338.179999999934807,10474984.109999999403954
20170901,1681697.939999999944121,1817396.649999999906868,1639377.280000000027940,1778736.089999999850988,1794881.950000000186265,1804939.160000000149012,10517033.070000000298023
20170905,1665494.679999999934807,1817703.949999999953434,1662752.080000000074506,1782388.459999999962747,1790928.550000000279397,1789478.970000000204891,10508750.690000001341105
20170906,1663932.919999999925494,1797422.149999999906868,1702217.440000000176951,1782388.459999999962747,1782572.500000000232831,1792432.040000000037253,10520969.510000001639128
20170907,1647924.879999999888241,1809560.500000000000000,1717112.080000000074506,1787194.209999999962747,1780685.650000000139698,1816404.020000000018626,10558885.339999999850988
20170908,1644801.359999999869615,1810328.749999999767169,1735920.640000000130385,1784695.219999999972060,1776911.950000000186265,1814145.790000000037253,10566807.710000000894070
20170911,1672913.039999999804422,1826462.000000000000000,1721895.760000000242144,1806801.669999999692664,1793354.500000000232831,1844023.910000000149012,10665454.880000000819564
20170912,1689701.959999999729916,1858267.549999999813735,1738638.640000000130385,1797574.630000000121072,1774396.150000000139698,1845066.169999999925494,10703649.099999999627471
20170913,1691458.939999999944121,1838139.399999999906868,1739834.560000000288710,1798343.549999999813735,1782123.250000000232831,1838465.189999999944121,10688368.890000000596046
20170914,1682674.039999999804422,1851199.649999999906868,1732876.479999999981374,1798343.549999999813735,1776732.250000000000000,1842807.939999999944121,10684637.909999998286366
20170915,1698291.639999999664724,1864874.500000000000000,1722221.920000000158325,1792961.109999999869615,1780775.500000000232831,1829258.560000000055879,10688387.230000000447035
20170918,1715471.000000000000000,1902672.399999999906868,1715807.440000000176951,1790654.350000000093132,1780865.350000000093132,1821094.189999999944121,10726568.729999998584390
20170919,1737530.859999999869615,1916654.549999999813735,1714176.640000000130385,1810261.810000000055879,1749058.450000000186265,1831169.369999999878928,10758855.679999997839332
20170920,1726403.320000000065193,1918344.699999999953434,1725266.080000000074506,1814683.100000000093132,1758941.950000000186265,1831169.369999999878928,10774812.519999997690320
20170921,1726208.099999999860302,1917422.800000000046566,1730810.800000000046566,1780850.619999999878928,1754090.050000000279397,1829432.270000000018626,10738818.640000000596046
20170922,1725817.659999999916181,1911891.400000000139698,1739290.960000000195578,1773161.419999999692664,1734502.750000000232831,1833775.020000000018626,10718443.210000000894070
20170925,1722108.479999999748543,1910201.249999999767169,1751576.320000000065193,1782388.459999999962747,1723001.950000000186265,1789652.679999999934807,10678933.140000000596046
20170926,1731479.039999999804422,1913120.600000000093132,1753315.840000000083819,1781042.850000000093132,1731537.700000000186265,1788263.000000000000000,10698763.030000001192093
20170927,1747096.639999999664724,1913274.250000000000000,1749619.359999999869615,1746825.909999999916181,1747620.850000000325963,1804765.449999999953434,10709206.459999999031425
20170928,1759785.939999999944121,1924183.399999999906868,1765275.040000000270084,1747210.369999999878928,1762086.700000000186265,1816751.439999999944121,10775296.889999998733401
20170929,1766032.979999999748543,1916193.599999999860302,1778321.440000000176951,1748940.439999999944121,1759840.450000000186265,1816751.439999999944121,10786084.349999999627471
20171002,1767594.739999999990687,1916347.250000000000000,1783322.560000000288710,1764126.609999999869615,1774126.600000000093132,1831690.500000000000000,10837212.259999999776483
20171003,1784969.320000000065193,1928485.600000000093132,1795825.359999999869615,1770854.659999999916181,1784818.750000000232831,1834296.150000000139698,10899253.839999999850988
20171004,1776770.080000000074506,1947384.549999999813735,1797130.000000000000000,1776621.560000000055879,1801441.000000000000000,1829432.270000000018626,10928783.459999999031425
20171005,1779698.379999999888241,1942160.449999999953434,1806153.760000000242144,1769124.589999999850988,1778259.700000000186265,1845587.299999999813735,10920988.179999999701977
20171006,1787311.959999999729916,1950303.900000000139698,1803218.320000000065193,1774891.489999999757856,1779697.300000000279397,1854099.090000000083819,10949526.060000000521541
20171009,1790045.039999999804422,1949535.649999999906868,1801696.240000000223517,1770854.659999999916181,1763883.700000000186265,1858962.970000000204891,10934982.259999999776483
20171010,1793949.439999999944121,1969663.799999999813735,1795716.640000000130385,1761243.159999999916181,1749328.000000000232831,1864174.270000000018626,10934079.310000000521541
20171011,1795315.979999999748543,1975963.449999999953434,1796695.120000000111759,1758167.479999999748543,1754539.300000000046566,1883803.500000000000000,10964488.830000000074506
20171012,1788483.279999999795109,1997320.800000000046566,1789519.600000000093132,1771431.350000000093132,1733514.400000000139698,1878071.070000000065193,10958344.500000000000000
20171013,1812885.779999999795109,2008383.600000000093132,1788214.960000000195578,1788539.820000000065193,1729920.400000000372529,1887625.119999999878928,11015573.679999999701977
