訓練日期,20170831 - 20171201
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11559241.040000000968575
真實報酬,1559241.040000000968575

夏普值報酬,0.147224104000000
夏普值風險,0.040002847953946
夏普值,3.680340563989219

預期報酬,22753.548270858911565
風險,39136.550104443296732
趨勢值,0.581388707234970
找到最佳解世代,1985
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,8
CAT[3](1),CSCO[4](8),CVX[5](19),DIS[6](28),HD[9](7),INTC[11](3),KO[14](23),WMT[28](9),
Stock#,CAT[3](1),CSCO[4](8),CVX[5](19),DIS[6](28),HD[9](7),INTC[11](3),KO[14](23),WMT[28](9),
張數,10633,39074,11603,12151,8333,35826,27539,15915,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,90.850000000093132,22.739999999990687,8.810000000055879,26.629999999888241,50.000000000000000,30.859999999869615,4.790000000037253,35.899999999906868,
20170831,1249362.020000000018626,1258596.280000000027940,1248723.670000000158325,1229707.829999999841675,1248916.709999999962747,1256448.679999999934807,1254406.239999999990687,1242519.949999999720603,9988681.379999998956919
20170901,1257762.090000000083819,1262112.939999999944121,1261951.090000000083819,1233353.129999999888241,1256499.739999999990687,1257165.199999999953434,1260740.209999999962747,1247294.449999999953434,10036878.849999999627471
20170905,1257974.750000000000000,1235542.620000000111759,1269841.130000000121072,1234568.229999999748543,1274415.689999999944121,1254657.379999999888241,1264595.670000000158325,1270052.899999999906868,10061648.370000001043081
20170906,1243939.190000000176951,1245311.120000000111759,1297108.180000000167638,1233353.129999999888241,1304664.479999999981374,1281168.619999999878928,1265697.229999999981374,1274509.099999999860302,10145751.050000000745058
20170907,1252339.260000000009313,1241012.979999999981374,1297224.209999999962747,1179402.689999999944121,1316080.689999999944121,1273286.899999999906868,1274509.709999999962747,1275145.699999999953434,10109002.140000000596046
20170908,1252870.909999999916181,1230072.260000000009313,1285389.150000000139698,1179524.199999999720603,1330496.780000000027940,1260747.799999999813735,1275060.489999999990687,1255411.099999999860302,10069572.689999999478459
20170911,1264035.560000000055879,1257814.799999999813735,1305578.370000000111759,1179767.219999999972060,1319747.209999999962747,1281526.879999999888241,1281119.070000000065193,1258594.099999999860302,10148183.209999999031425
20170912,1286045.870000000111759,1266411.079999999841675,1305230.280000000027940,1189488.019999999785796,1332580.030000000027940,1292991.199999999953434,1286626.870000000111759,1267029.049999999813735,10226402.400000002235174
20170913,1272116.640000000130385,1257424.060000000055879,1324839.350000000093132,1200788.449999999720603,1333496.660000000149012,1301589.439999999711290,1290757.719999999972060,1271007.799999999813735,10252020.120000001043081
20170914,1281154.690000000176951,1257814.799999999813735,1327972.160000000149012,1189609.530000000027940,1328163.540000000037253,1306963.339999999850988,1269828.080000000074506,1268143.100000000093132,10229649.240000000223517
20170915,1290618.060000000055879,1267583.299999999813735,1330060.699999999953434,1197143.149999999906868,1319997.199999999953434,1325592.859999999869615,1271755.810000000055879,1279283.599999999860302,10282034.679999999701977
20170918,1316775.239999999990687,1270709.220000000204891,1336558.380000000121072,1192039.729999999748543,1315080.729999999981374,1325592.859999999869615,1269828.080000000074506,1273235.899999999906868,10299820.139999998733401
20170919,1326451.270000000018626,1269537.000000000000000,1349901.830000000074506,1196049.560000000055879,1313830.780000000027940,1333832.839999999850988,1266248.010000000009313,1274031.649999999906868,10329882.940000001341105
20170920,1327620.900000000139698,1273835.140000000130385,1350249.920000000158325,1205527.339999999850988,1322330.439999999944121,1328100.679999999934807,1260740.209999999962747,1281193.399999999906868,10349598.029999999329448
20170921,1326982.920000000158325,1277742.540000000037253,1351410.219999999972060,1201639.019999999785796,1326580.270000000018626,1332758.060000000055879,1250275.389999999897555,1273395.050000000046566,10340783.470000000670552
20170922,1323155.040000000270084,1303922.119999999878928,1360924.680000000167638,1198115.229999999748543,1333080.010000000009313,1332041.539999999804422,1252753.900000000139698,1265755.849999999860302,10369748.369999999180436
20170925,1321985.409999999916181,1317598.020000000018626,1369046.780000000027940,1209901.699999999720603,1342496.300000000046566,1331325.019999999785796,1258261.699999999953434,1259708.149999999906868,10410323.080000000074506
20170926,1324005.680000000167638,1319160.979999999981374,1363593.370000000111759,1198479.759999999776483,1343829.579999999841675,1342431.079999999841675,1254957.020000000018626,1263527.750000000000000,10409985.220000000670552
20170927,1324112.010000000009313,1308220.259999999776483,1362781.160000000149012,1205891.869999999878928,1340996.359999999869615,1344938.899999999906868,1229345.750000000000000,1261936.250000000000000,10378222.560000000521541
20170928,1331661.440000000176951,1303140.640000000130385,1364753.670000000158325,1191432.179999999934807,1352995.880000000121072,1355328.439999999711290,1236781.280000000027940,1256525.149999999906868,10392618.679999999701977
