訓練日期,20170901 - 20171204
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11712567.580000000074506
真實報酬,1712567.580000000074506

夏普值報酬,0.162556758000000
夏普值風險,0.042826333713746
夏普值,3.795719687016370

預期報酬,25019.964617413126689
風險,45937.754862179215706
趨勢值,0.544649269266143
找到最佳解世代,1891
找到最佳解實驗#,1
找到最佳解次數,33

stock[index](rank)
投資組合檔數,8
CAT[3](1),CSCO[4](10),CVX[5](17),DIS[6](25),HD[9](8),INTC[11](3),V[25](7),WMT[28](6),
Stock#,CAT[3](1),CSCO[4](10),CVX[5](17),DIS[6](25),HD[9](8),INTC[11](3),V[25](7),WMT[28](6),
張數,10639,38807,11614,12351,8340,35642,12074,16011,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,23.890000000130385,26.530000000027940,101.319999999832362,78.800000000046566,84.199999999953434,35.060000000055879,99.520000000018626,21.230000000214204,
20170901,1258404.810000000055879,1253492.629999999888241,1263239.959999999962747,1253705.300000000046566,1257589.399999999906868,1250712.840000000083819,1254588.120000000111759,1254803.300000000279397,10046536.359999999403954
20170905,1258617.590000000083819,1227103.870000000111759,1271137.479999999748543,1254940.399999999906868,1275520.399999999906868,1248217.900000000139698,1243842.260000000009313,1277699.030000000260770,10057078.929999999701977
20170906,1244574.110000000102445,1236805.620000000111759,1298430.379999999888241,1253705.300000000046566,1305794.599999999860302,1274592.979999999981374,1245894.840000000083819,1282182.110000000102445,10141979.939999999478459
20170907,1252978.920000000158325,1232536.850000000093132,1298546.519999999785796,1198866.860000000102445,1317220.399999999906868,1266751.739999999990687,1262556.959999999962747,1282822.550000000279397,10112280.800000000745058
20170908,1253510.870000000111759,1221670.890000000130385,1286700.239999999757856,1198990.369999999878928,1331648.599999999860302,1254277.040000000037253,1260987.340000000083819,1262968.910000000149012,10070754.259999999776483
20170911,1264681.820000000065193,1249223.859999999869615,1306908.599999999860302,1199237.390000000130385,1320890.000000000000000,1274949.400000000139698,1281754.620000000111759,1266171.110000000102445,10163816.800000000745058
20170912,1286704.550000000046566,1257761.399999999906868,1306560.179999999701977,1209118.189999999944121,1333733.599999999860302,1286354.840000000083819,1282479.060000000055879,1274656.940000000176951,10237368.759999999776483
20170913,1272767.460000000195578,1248835.790000000037253,1326187.839999999850988,1220604.619999999878928,1334651.000000000000000,1294908.919999999925494,1277890.939999999944121,1278659.690000000176951,10254506.259999999776483
20170914,1281810.610000000102445,1249223.859999999869615,1329323.619999999878928,1209241.700000000186265,1329313.399999999906868,1300255.219999999972060,1280909.439999999944121,1275777.710000000428408,10255855.560000000521541
20170915,1291279.320000000065193,1258925.609999999869615,1331414.139999999664724,1216899.320000000065193,1321140.199999999953434,1318789.060000000055879,1271491.719999999972060,1286985.410000000149012,10296924.780000001192093
20170918,1317451.260000000009313,1262030.170000000158325,1337917.979999999748543,1211711.899999999906868,1316219.599999999860302,1318789.060000000055879,1265816.939999999944121,1280901.230000000214204,10310838.140000000596046
20170919,1327132.750000000000000,1260865.960000000195578,1351274.079999999841675,1215787.730000000214204,1314968.599999999860302,1326986.719999999972060,1272819.859999999869615,1281701.780000000260770,10351537.480000000447035
20170920,1328303.040000000037253,1265134.729999999981374,1351622.500000000000000,1225421.510000000009313,1323475.399999999906868,1321284.000000000000000,1272819.859999999869615,1288906.730000000214204,10376967.769999999552965
20170921,1327664.700000000186265,1269015.430000000167638,1352783.899999999906868,1221469.189999999944121,1327728.800000000046566,1325917.460000000195578,1271612.459999999962747,1281061.340000000316650,10377253.280000001192093
20170922,1323834.660000000149012,1295016.119999999878928,1362307.379999999888241,1217887.399999999906868,1334234.000000000000000,1325204.620000000111759,1274630.959999999962747,1273376.060000000288710,10406491.200000001117587
20170925,1322664.370000000111759,1308598.570000000065193,1370437.179999999701977,1229867.869999999878928,1343658.199999999953434,1324491.780000000027940,1243963.000000000000000,1267291.880000000353903,10410972.850000001490116
20170926,1324685.780000000260770,1310150.849999999860302,1364978.599999999860302,1218257.929999999934807,1344992.599999999860302,1335540.800000000046566,1242997.080000000074506,1271134.520000000251457,10412738.159999998286366
20170927,1324792.170000000158325,1299284.889999999897555,1364165.619999999878928,1225792.040000000037253,1342156.999999999767169,1338035.739999999990687,1254467.380000000121072,1269533.420000000391155,10418228.259999999776483
20170928,1332345.860000000102445,1294239.979999999981374,1366140.000000000000000,1211094.350000000093132,1354166.600000000093132,1348371.919999999925494,1262798.439999999944121,1264089.680000000167638,10433246.829999998211861
20170929,1326813.580000000074506,1305105.940000000176951,1364746.319999999832362,1217516.869999999878928,1364174.599999999860302,1357282.419999999925494,1262798.439999999944121,1251120.770000000251457,10449558.939999999478459
20171002,1326919.970000000204891,1309762.780000000027940,1363933.339999999850988,1233449.660000000149012,1368011.000000000000000,1391498.739999999990687,1273182.080000000074506,1256084.180000000167638,10522841.750000000000000
20171003,1335324.780000000260770,1313643.479999999981374,1368462.799999999813735,1244936.090000000083819,1377601.999999999767169,1403617.020000000251457,1274993.180000000167638,1268412.650000000139698,10586992.000000001862645
20171004,1348410.750000000000000,1297732.609999999869615,1365675.439999999711290,1241971.850000000093132,1378602.799999999813735,1402191.340000000083819,1271612.459999999962747,1266331.220000000204891,10572528.470000000670552
20171005,1344793.490000000223517,1303553.660000000149012,1377289.439999999711290,1236537.410000000149012,1385525.000000000000000,1408963.320000000065193,1282841.280000000027940,1271454.740000000223517,10610958.339999999850988
20171006,1350432.160000000149012,1309762.780000000027940,1359287.739999999757856,1236043.369999999878928,1383273.199999999953434,1412527.520000000251457,1288757.540000000037253,1264890.230000000214204,10604974.540000000968575
20171009,1349900.210000000195578,1310150.849999999860302,1367185.259999999776483,1229867.869999999878928,1382105.600000000093132,1420725.179999999934807,1292138.260000000009313,1289387.060000000288710,10641460.289999999105930
20171010,1363837.300000000046566,1302001.379999999888241,1379844.519999999785796,1229991.380000000121072,1377518.599999999860302,1413240.360000000102445,1295760.459999999962747,1347026.660000000149012,10709220.660000000149012
20171011,1368199.290000000037253,1303553.660000000149012,1385999.939999999711290,1217269.850000000093132,1378269.199999999953434,1400765.659999999916181,1309404.080000000074506,1372644.260000000242144,10736105.939999999478459
20171012,1382987.500000000232831,1290747.349999999860302,1383793.279999999795109,1197261.230000000214204,1372764.800000000046566,1396845.040000000037253,1305419.659999999916181,1378568.330000000074506,10708387.189999999478459
20171013,1390647.580000000307336,1298896.820000000065193,1384025.559999999823049,1202819.179999999934807,1371764.000000000000000,1413953.200000000186265,1312060.359999999869615,1386894.050000000279397,10761060.750000000000000
20171016,1398733.220000000204891,1301613.310000000055879,1395291.139999999664724,1212082.429999999934807,1369679.000000000000000,1417160.979999999981374,1307713.719999999972060,1372804.370000000111759,10775078.170000001788139
