訓練日期,20180525 - 20180827
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11148350.910000000149012
真實報酬,1148350.910000000149012

夏普值報酬,0.106135091000000
夏普值風險,0.032613389615191
夏普值,3.254341000806699

預期報酬,17800.308049751780345
風險,72133.756665684122709
趨勢值,0.246768071878611
找到最佳解世代,2105
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
DIS[6](6),HD[9](13),KO[14](2),NKE[19](4),PG[21](1),VZ[26](8),WMT[28](9),
Stock#,DIS[6](6),HD[9](13),KO[14](2),NKE[19](4),PG[21](1),VZ[26](8),WMT[28](9),
張數,13990,7633,33756,19791,19365,29370,17242,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,52.100000000093132,55.050000000046566,17.080000000074506,56.619999999878928,14.950000000186265,14.199999999953434,71.300000000046566,
20180525,1429830.100000000093132,1426281.100000000093132,1431271.479999999981374,1429956.369999999878928,1439028.100000000325963,1425046.600000000093132,1421846.619999999878928,10003263.369999999180436
20180529,1394715.199999999953434,1412160.050000000046566,1440723.160000000149012,1403634.339999999850988,1433993.200000000186265,1415648.199999999953434,1420812.100000000093132,9921689.250000000000000
20180530,1398772.300000000046566,1428113.020000000018626,1455913.360000000102445,1429560.550000000046566,1450259.800000000279397,1427396.199999999953434,1450468.340000000083819,10040486.570000000298023
20180531,1391637.400000000139698,1423991.200000000186265,1451525.080000000074506,1421050.419999999925494,1416952.000000000232831,1400082.100000000093132,1423225.980000000214204,9928467.180000001564622
20180601,1390098.500000000000000,1430097.600000000093132,1455575.800000000046566,1440049.780000000027940,1422374.200000000186265,1404193.899999999906868,1430984.879999999888241,9973377.660000000149012
20180604,1402409.699999999953434,1460705.930000000167638,1468065.520000000251457,1461226.149999999906868,1436510.650000000372529,1404487.599999999860302,1472882.940000000176951,10106291.490000000223517
20180605,1398212.699999999953434,1465133.070000000065193,1455238.239999999990687,1465580.169999999925494,1432444.000000000232831,1408893.099999999860302,1459089.340000000083819,10084593.619999999180436
20180606,1425773.000000000000000,1477727.520000000018626,1467052.840000000083819,1479433.869999999878928,1439802.700000000186265,1421815.899999999906868,1458054.820000000065193,10169663.650000000372529
20180607,1433607.400000000139698,1497420.659999999916181,1466377.719999999972060,1479631.780000000027940,1467107.350000000325963,1439437.899999999906868,1464779.200000000186265,10248365.010000001639128
20180608,1454732.300000000046566,1513907.940000000176951,1483593.280000000260770,1482402.520000000018626,1494605.650000000372529,1444430.800000000046566,1454606.419999999925494,10328281.910000002011657
20180611,1459908.600000000093132,1523907.169999999925494,1489669.360000000102445,1476267.310000000055879,1501383.400000000139698,1447955.199999999953434,1453571.899999999906868,10352665.939999999478459
20180612,1459628.800000000046566,1536654.280000000027940,1499121.040000000037253,1470330.010000000009313,1495767.550000000046566,1433563.899999999906868,1450123.500000000000000,10345192.080000000074506
20180613,1487329.000000000232831,1529021.280000000027940,1491357.160000000149012,1466767.629999999888241,1480856.500000000232831,1392152.199999999953434,1449951.080000000074506,10297437.849999999627471
20180614,1521464.600000000093132,1524136.159999999916181,1471103.560000000055879,1478444.319999999832362,1471561.300000000046566,1404487.599999999860302,1444778.480000000214204,10315979.020000001415610
20180615,1522863.600000000093132,1530776.869999999878928,1489331.800000000046566,1501006.060000000055879,1498478.650000000139698,1411536.399999999906868,1443226.700000000186265,10397223.080000001937151
20180618,1497821.500000000232831,1531921.820000000065193,1470090.879999999888241,1496454.129999999888241,1468656.550000000279397,1393914.399999999906868,1431157.300000000046566,10290019.580000001937151
20180619,1484391.100000000093132,1520624.980000000214204,1471778.680000000167638,1469736.280000000027940,1478145.400000000139698,1424459.199999999953434,1441674.919999999925494,10290813.560000000521541
20180620,1499080.600000000093132,1519632.690000000176951,1460301.639999999897555,1478840.139999999897555,1468850.200000000186265,1412417.500000000000000,1441674.919999999925494,10280800.689999999478459
20180621,1481453.200000000186265,1529021.280000000027940,1454563.120000000111759,1463403.159999999916181,1480275.550000000046566,1428277.300000000046566,1452020.119999999878928,10289016.730000000447035
20180622,1487748.700000000186265,1506885.580000000074506,1459964.080000000074506,1453309.750000000000000,1499446.900000000372529,1461465.399999999906868,1462537.739999999990687,10331361.150000000372529
20180625,1461307.600000000093132,1499023.590000000083819,1471103.560000000055879,1431935.469999999739230,1506418.300000000279397,1456766.199999999953434,1490987.040000000037253,10317544.759999997913837
20180626,1458649.500000000232831,1498870.930000000167638,1462664.560000000055879,1436091.579999999841675,1510484.950000000186265,1447955.199999999953434,1482538.460000000195578,10297258.180000001564622
20180627,1454452.500000000000000,1488642.710000000195578,1453888.000000000000000,1412144.469999999739230,1504481.800000000046566,1448248.899999999906868,1498228.680000000167638,10260090.059999998658895
20180628,1465784.400000000139698,1490092.980000000214204,1467390.400000000139698,1419071.319999999832362,1511453.200000000186265,1493772.399999999906868,1480469.419999999925494,10328037.119999999180436
20180629,1466344.000000000232831,1489253.350000000093132,1480555.239999999990687,1577003.500000000000000,1511646.850000000325963,1477618.899999999906868,1476848.600000000093132,10479273.440000001341105
20180702,1473618.800000000046566,1481009.710000000195578,1476842.080000000074506,1550681.469999999739230,1513002.400000000139698,1480849.600000000093132,1448399.300000000046566,10424406.360000001266599
20180703,1455571.700000000186265,1477956.510000000009313,1484943.520000000251457,1509714.099999999860302,1508548.450000000186265,1489073.199999999953434,1455985.780000000027940,10381796.259999999776483
20180705,1473758.700000000186265,1483986.580000000074506,1507560.040000000037253,1515057.669999999925494,1533916.600000000093132,1506107.800000000046566,1458227.239999999990687,10478617.630000000819564
20180706,1465924.300000000046566,1484520.889999999897555,1506884.920000000158325,1513672.300000000046566,1535853.100000000325963,1511981.799999999813735,1457192.720000000204891,10476033.030000001192093
20180709,1483271.900000000139698,1496733.690000000176951,1498783.479999999981374,1529505.099999999860302,1507773.850000000093132,1490248.000000000000000,1481676.360000000102445,10487995.379999998956919
20180710,1483411.800000000046566,1508412.180000000167638,1518024.400000000139698,1535244.489999999757856,1545729.250000000000000,1507870.000000000000000,1503746.119999999878928,10602441.240000000223517
20180711,1511531.700000000186265,1503374.399999999906868,1511948.320000000065193,1531088.379999999888241,1532948.350000000093132,1507870.000000000000000,1492021.560000000055879,10590785.710000000894070
20180712,1514469.600000000093132,1511007.399999999906868,1507897.600000000093132,1531286.290000000037253,1527719.800000000279397,1504933.000000000000000,1491849.139999999897555,10589165.830000000074506
20180713,1538952.100000000093132,1516655.820000000065193,1510260.520000000251457,1531484.199999999720603,1535853.100000000325963,1509925.899999999906868,1512194.700000000186265,10655329.339999999850988
20180716,1541750.100000000093132,1518106.090000000083819,1509922.959999999962747,1538806.869999999878928,1540113.400000000139698,1515212.500000000000000,1511160.180000000167638,10675075.100000001490116
20180717,1543149.100000000093132,1535051.350000000093132,1527476.080000000074506,1533265.389999999897555,1549795.900000000139698,1510513.300000000046566,1520643.280000000027940,10719897.400000000372529
20180718,1548605.199999999953434,1534059.060000000055879,1523087.800000000046566,1515849.310000000055879,1543792.750000000232831,1501996.000000000000000,1518574.239999999990687,10685967.359999999403954
20180719,1568750.800000000046566,1546729.840000000083819,1522750.239999999990687,1522974.069999999832362,1524621.400000000372529,1490541.699999999953434,1512539.540000000037253,10688910.589999999850988
20180720,1559657.300000000046566,1545355.899999999906868,1528488.760000000009313,1523171.979999999748543,1523653.150000000372529,1486723.599999999860302,1518401.820000000065193,10685455.509999999776483
20180723,1554201.200000000186265,1543676.639999999897555,1517349.280000000260770,1515849.310000000055879,1520361.100000000325963,1490541.699999999953434,1510987.760000000009313,10652969.990000000223517
20180724,1548745.100000000093132,1541844.720000000204891,1527813.639999999897555,1494870.849999999860302,1529656.300000000046566,1512862.899999999906868,1516677.619999999878928,10672474.129999998956919
20180725,1555460.300000000279397,1534288.050000000046566,1555831.120000000111759,1527130.179999999701977,1538951.500000000232831,1495240.899999999906868,1515643.100000000093132,10722548.150000000372529
20180726,1588057.000000000232831,1522075.250000000000000,1560894.520000000251457,1546723.270000000018626,1550957.800000000279397,1503170.800000000046566,1521332.960000000195578,10793214.600000003352761
20180727,1575605.900000000139698,1504824.669999999925494,1559881.840000000083819,1521786.609999999869615,1560446.650000000139698,1527547.899999999906868,1519608.760000000009313,10769705.330000000074506
20180730,1575745.800000000046566,1505893.290000000037253,1560556.959999999962747,1503380.979999999748543,1553087.950000000186265,1541645.500000000000000,1532540.260000000009313,10772853.740000000223517
20180731,1588756.500000000232831,1507725.210000000195578,1574059.360000000102445,1522182.429999999701977,1566256.150000000139698,1516681.000000000000000,1538574.960000000195578,10814238.610000001266599
20180801,1580502.400000000139698,1498412.950000000186265,1565957.920000000158325,1534650.760000000009313,1561802.200000000186265,1519324.299999999813735,1521505.379999999888241,10782158.910000000149012
20180802,1577424.600000000093132,1493527.830000000074506,1558869.160000000149012,1556618.770000000018626,1587944.950000000186265,1526666.799999999813735,1530471.220000000204891,10831526.330000000074506
20180803,1596171.200000000186265,1493375.169999999925494,1573721.800000000046566,1558399.959999999729916,1594335.400000000139698,1535184.100000000093132,1544954.500000000000000,10896145.130000000819564
20180806,1622052.699999999953434,1493756.820000000065193,1574734.479999999981374,1573639.030000000027940,1598014.750000000000000,1541351.799999999813735,1546161.440000000176951,10949714.019999999552965
20180807,1630726.500000000232831,1504137.700000000186265,1569671.080000000074506,1593825.849999999860302,1600338.550000000279397,1540764.399999999906868,1547885.639999999897555,10987352.720000000670552
20180808,1594632.300000000046566,1511541.710000000195578,1557856.479999999981374,1593232.119999999878928,1594722.700000000186265,1547813.199999999953434,1552713.399999999906868,10952514.910000000149012
