訓練日期,20180927 - 20181231
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10952295.759999999776483
真實報酬,952295.759999999776483

夏普值報酬,0.086529576000000
夏普值風險,0.042904047179673
夏普值,2.016816167426621

預期報酬,18677.581986227516609
風險,275524.877507132012397
趨勢值,0.067789094600882
找到最佳解世代,2440
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](2),PG[21](1),
Stock#,MRK[17](2),PG[21](1),
張數,71093,60052,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,29.310000000521541,70.479999999515712,
20180927,5027726.270000000484288,4975979.199999999254942,10003705.469999998807907
20180928,5043366.730000000447035,4998198.439999999478459,10041565.169999999925494
20181001,5085311.600000000558794,5024621.319999999366701,10109932.919999999925494
20181002,5100952.060000000521541,5066057.199999999254942,10167009.259999999776483
20181003,5073936.720000000670552,4986188.040000000037253,10060124.760000001639128
20181004,5063272.770000000484288,4919530.319999999366701,9982803.089999999850988
20181005,5049765.100000000558794,4933342.280000000260770,9983107.380000000819564
20181008,5080335.089999999850988,4948355.280000000260770,10028690.370000001043081
20181009,5142896.930000000633299,4936344.879999999888241,10079241.810000000521541
20181010,5008531.160000001080334,4890705.359999999403954,9899236.519999999552965
20181011,4860657.720000000670552,4736371.719999999739230,9597029.440000001341105
20181012,4963031.640000000596046,4747781.599999999627471,9710813.240000000223517
20181015,4938149.089999999850988,4812037.239999999292195,9750186.329999998211861
20181016,5063272.770000000484288,4864883.000000000000000,9928155.769999999552965
20181017,5105928.570000000298023,4915927.199999999254942,10021855.769999999552965
20181018,5133654.839999999850988,4818642.959999999031425,9952297.799999998882413
20181019,5143607.860000000335276,5242610.079999999143183,10386217.939999999478459
20181022,5159248.320000000298023,5200573.679999998770654,10359822.000000000000000
20181023,5125834.610000000335276,5234202.799999998882413,10360037.410000000149012
20181024,5014929.530000001192093,5372322.399999999441206,10387251.929999999701977
20181025,4973695.589999999850988,5344698.479999999515712,10318394.070000000298023
20181026,5004976.510000000707805,5276239.199999999254942,10281215.710000000894070
20181029,5079624.160000001080334,5299058.959999999031425,10378683.120000001043081
20181030,5180576.220000000670552,5356108.359999999403954,10536684.580000000074506
20181031,5233185.040000000037253,5325481.839999999850988,10558666.879999998956919
20181101,5198349.470000000670552,5380129.160000000149012,10578478.630000000819564
20181102,5137920.419999999925494,5393340.599999999627471,10531261.019999999552965
20181105,5198349.470000000670552,5476812.879999999888241,10675162.350000001490116
20181106,5211857.140000000596046,5495429.000000000000000,10707286.140000000596046
20181107,5337691.750000000000000,5482217.559999999590218,10819909.309999998658895
20181108,5366128.950000001117587,5486421.199999999254942,10852550.150000000372529
20181109,5322051.290000000037253,5549475.799999998882413,10871527.089999999850988
20181112,5309965.480000000447035,5566890.879999999888241,10876856.359999999403954
20181113,5304278.040000000037253,5613130.919999998994172,10917408.959999999031425
20181114,5267309.680000000633299,5614331.959999999031425,10881641.640000000596046
20181115,5320629.430000000633299,5634749.639999999664724,10955379.070000000298023
20181116,5407362.890000000596046,5634149.119999999180436,11041512.009999999776483
20181119,5427979.860000000335276,5602321.559999999590218,11030301.419999999925494
20181120,5316363.850000000558794,5530859.679999998770654,10847223.529999999329448
20181121,5317074.780000001192093,5489423.799999998882413,10806498.580000000074506
20181123,5308543.620000001043081,5497230.559999999590218,10805774.179999999701977
20181126,5363285.230000000447035,5521251.359999999403954,10884536.589999999850988
20181127,5427268.930000000633299,5568091.919999998994172,10995360.849999999627471
20181128,5490541.700000001117587,5585507.000000000000000,11076048.700000001117587
20181129,5538884.940000000409782,5574097.119999999180436,11112982.059999998658895
20181130,5640547.930000000633299,5675585.000000000000000,11316132.929999999701977
20181203,5632016.770000000484288,5604123.119999999180436,11236139.890000000596046
20181204,5560212.839999999850988,5603522.599999999627471,11163735.439999999478459
20181206,5571587.720000000670552,5617935.079999999143183,11189522.800000000745058
20181207,5454284.270000000484288,5551877.879999999888241,11006162.150000000372529
20181210,5504049.370000001043081,5586708.040000000037253,11090757.410000000149012
20181211,5482010.540000000037253,5639553.799999998882413,11121564.339999999850988
20181212,5545994.240000001154840,5646760.040000000037253,11192754.280000001192093
20181213,5617087.240000001154840,5794487.959999999031425,11411575.199999999254942
20181214,5437221.950000001117587,5803495.759999999776483,11240717.710000000894070
20181217,5348355.700000001117587,5571094.519999999552965,10919450.220000000670552
20181218,5284372.000000000000000,5554279.959999999031425,10838651.959999999031425
20181219,5244559.919999999925494,5510442.000000000000000,10755001.919999999925494
20181220,5224653.879999999888241,5463601.439999999478459,10688255.320000000298023
20181221,5182709.010000000707805,5463000.919999998994172,10645709.929999999701977
20181224,5058296.260000000707805,5246213.199999999254942,10304509.460000000894070
20181226,5260911.310000000521541,5410155.160000000149012,10671066.470000000670552
20181227,5359019.650000000372529,5526055.519999999552965,10885075.169999999925494
20181228,5358308.720000000670552,5475611.839999999850988,10833920.560000000521541
20181231,5432245.440000000409782,5520050.319999999366701,10952295.759999999776483
