訓練日期,20181119 - 20190225
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11395502.710000000894070
真實報酬,1395502.710000000894070

夏普值報酬,0.130850271000000
夏普值風險,0.063867259146582
夏普值,2.048784819459467

預期報酬,15087.927645865600425
風險,464573.790508074045647
趨勢值,0.032476923912055
找到最佳解世代,2309
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
NKE[19](1),
Stock#,NKE[19](1),
張數,133797,
分配資金,10000000.000000000000000,
剩餘資金,12.220000000670552,
20181119,9702970.660000000149012,9702970.660000000149012
20181120,9515654.860000001266599,9515654.860000001266599
20181121,9682901.110000001266599,9682901.110000001266599
20181123,9565159.750000000000000,9565159.750000000000000
20181126,9728392.089999999850988,9728392.089999999850988
20181127,9645437.950000001117587,9645437.950000001117587
20181128,9989296.240000000223517,9989296.240000000223517
20181129,9946481.200000001117587,9946481.200000001117587
20181130,10050842.860000001266599,10050842.860000001266599
20181203,10428150.400000000372529,10428150.400000000372529
20181204,10140486.850000001490116,10140486.850000001490116
20181206,10107037.600000001490116,10107037.600000001490116
20181207,9812684.200000001117587,9812684.200000001117587
20181210,9701632.690000001341105,9701632.690000001341105
20181211,9843457.509999999776483,9843457.509999999776483
20181212,9943805.259999999776483,9943805.259999999776483
20181213,9757827.430000001564622,9757827.430000001564622
20181214,9704308.630000000819564,9704308.630000000819564
20181217,9352422.520000001415610,9352422.520000001415610
20181218,9519668.770000001415610,9519668.770000001415610
20181219,9227991.310000000521541,9227991.310000000521541
20181220,9035323.630000000819564,9035323.630000000819564
20181221,9682901.110000001266599,9682901.110000001266599
20181224,9111587.919999999925494,9111587.919999999925494
20181226,9768531.190000001341105,9768531.190000001341105
20181227,9856837.210000000894070,9856837.210000000894070
20181228,9812684.200000001117587,9812684.200000001117587
20181231,9919721.800000000745058,9919721.800000000745058
20190102,9909018.040000000968575,9909018.040000000968575
20190103,9733743.970000000670552,9733743.970000000670552
20190104,9987958.270000001415610,9987958.270000001415610
20190107,10131121.060000000521541,10131121.060000000521541
20190108,10266256.030000001192093,10266256.030000001192093
20190109,10247524.450000001117587,10247524.450000001117587
20190110,10224778.960000000894070,10224778.960000000894070
20190111,10173936.100000001490116,10173936.100000001490116
20190114,10180625.950000001117587,10180625.950000001117587
20190115,10420122.580000000074506,10420122.580000000074506
20190116,10393363.180000001564622,10393363.180000001564622
20190117,10587368.830000000074506,10587368.830000000074506
20190118,10763980.870000001043081,10763980.870000001043081
20190122,10804119.970000000670552,10804119.970000000670552
20190123,10770670.720000000670552,10770670.720000000670552
20190124,10762642.900000000372529,10762642.900000000372529
20190125,10785388.390000000596046,10785388.390000000596046
20190128,10746587.259999999776483,10746587.259999999776483
20190129,10733207.560000000521541,10733207.560000000521541
20190130,10875032.380000000819564,10875032.380000000819564
20190131,10955310.580000000074506,10955310.580000000074506
20190201,10905805.690000001341105,10905805.690000001341105
20190204,10970028.250000000000000,10970028.250000000000000
20190205,11086431.640000000596046,11086431.640000000596046
20190206,11066362.089999999850988,11066362.089999999850988
20190207,11023547.050000000745058,11023547.050000000745058
20190208,11019533.140000000596046,11019533.140000000596046
20190211,11196145.180000001564622,11196145.180000001564622
20190212,11333956.089999999850988,11333956.089999999850988
20190213,11426276.020000001415610,11426276.020000001415610
20190214,11329942.180000001564622,11329942.180000001564622
20190215,11423600.080000000074506,11423600.080000000074506
20190219,11315224.509999999776483,11315224.509999999776483
20190220,11351349.700000001117587,11351349.700000001117587
20190221,11232270.370000001043081,11232270.370000001043081
20190222,11340645.940000001341105,11340645.940000001341105
20190225,11395502.710000000894070,11395502.710000000894070
