訓練日期,20151012 - 20160113
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11202801.039999999105930
真實報酬,1202801.039999999105930

夏普值報酬,0.111580104000000
夏普值風險,0.039191702085420
夏普值,2.847033888877961

預期報酬,28934.657904873736697
風險,298708.170441323076375
趨勢值,0.096865974111537
找到最佳解世代,2499
找到最佳解實驗#,1
找到最佳解次數,32

stock[index](rank)
投資組合檔數,1
MCD[15](1),
Stock#,MCD[15](1),
張數,97314,
分配資金,10000000.000000000000000,
剩餘資金,13.359999999403954,
20151012,10046710.719999998807907,10046710.719999998807907
20151013,10060334.679999999701977,10060334.679999999701977
20151014,10005838.839999997988343,10005838.839999997988343
20151015,10087582.599999999627471,10087582.599999999627471
20151016,10200466.839999997988343,10200466.839999997988343
20151019,10168353.219999998807907,10168353.219999998807907
20151020,10105099.119999999180436,10105099.119999999180436
20151021,9978590.919999999925494,9978590.919999999925494
20151022,10789216.539999999105930,10789216.539999999105930
20151023,10956596.619999999180436,10956596.619999999180436
20151026,10916697.880000000819564,10916697.880000000819564
20151027,10864148.320000000298023,10864148.320000000298023
20151028,10990656.519999999552965,10990656.519999999552965
20151029,10959516.039999999105930,10959516.039999999105930
20151030,10923509.859999999403954,10923509.859999999403954
20151102,10909885.899999998509884,10909885.899999998509884
20151103,10906966.479999998584390,10906966.479999998584390
20151104,10938106.959999999031425,10938106.959999999031425
20151105,10981898.259999999776483,10981898.259999999776483
20151106,11026662.699999999254942,11026662.699999999254942
20151109,10989683.380000000819564,10989683.380000000819564
20151110,11017904.439999999478459,11017904.439999999478459
20151111,11079212.259999999776483,11079212.259999999776483
20151112,10909885.899999998509884,10909885.899999998509884
20151113,10701633.939999999478459,10701633.939999999478459
20151116,10807706.199999999254942,10807706.199999999254942
20151117,10796028.519999999552965,10796028.519999999552965
20151118,10950757.779999999329448,10950757.779999999329448
20151119,11025689.559999998658895,11025689.559999998658895
20151120,11085051.099999999627471,11085051.099999999627471
20151123,11139546.939999999478459,11139546.939999999478459
20151124,11121057.279999999329448,11121057.279999999329448
20151125,11132734.959999999031425,11132734.959999999031425
20151127,11116191.580000000074506,11116191.580000000074506
20151130,11109379.599999999627471,11109379.599999999627471
20151201,11137600.660000000149012,11137600.660000000149012
20151202,11066561.439999999478459,11066561.439999999478459
20151203,11034447.820000000298023,11034447.820000000298023
20151204,11307900.160000000149012,11307900.160000000149012
20151207,11329309.240000000223517,11329309.240000000223517
20151208,11340013.779999999329448,11340013.779999999329448
20151209,11344879.479999998584390,11344879.479999998584390
20151210,11405214.160000000149012,11405214.160000000149012
20151211,11296222.479999998584390,11296222.479999998584390
20151214,11313739.000000000000000,11313739.000000000000000
20151215,11378939.380000000819564,11378939.380000000819564
20151216,11467495.119999999180436,11467495.119999999180436
20151217,11434408.359999999403954,11434408.359999999403954
20151218,11352664.599999999627471,11352664.599999999627471
20151221,11452898.019999999552965,11452898.019999999552965
20151222,11455817.439999999478459,11455817.439999999478459
20151223,11560916.559999998658895,11560916.559999998658895
20151224,11538534.339999997988343,11538534.339999997988343
20151228,11556050.859999999403954,11556050.859999999403954
20151229,11684505.339999997988343,11684505.339999997988343
20151230,11622224.380000000819564,11622224.380000000819564
20151231,11496689.320000000298023,11496689.320000000298023
20160104,11442193.479999998584390,11442193.479999998584390
20160105,11599842.160000000149012,11599842.160000000149012
20160106,11521990.959999999031425,11521990.959999999031425
20160107,11255350.599999999627471,11255350.599999999627471
20160108,11237834.080000000074506,11237834.080000000074506
20160111,11355584.019999999552965,11355584.019999999552965
20160112,11428569.519999999552965,11428569.519999999552965
20160113,11202801.039999999105930,11202801.039999999105930
