訓練日期,20160317 - 20160617
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10897356.349999999627471
真實報酬,897356.349999999627471

夏普值報酬,0.081035635000000
夏普值風險,0.023414470037204
夏普值,3.460921168458718

預期報酬,14874.955624833175534
風險,83406.026655657973606
趨勢值,0.178343894575442
找到最佳解世代,2076
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),PFE[20](3),VZ[26](27),XOM[29](2),
Stock#,JNJ[12](1),PFE[20](3),VZ[26](27),XOM[29](2),
張數,23275,86088,46983,30167,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,32.250000000000000,4.479999999981374,34.569999999832362,60.709999999962747,
20160317,2484405.750000000000000,2525826.399999999906868,2519732.859999999869615,2537105.409999999683350,10067070.419999999925494
20160318,2502094.750000000000000,2535296.080000000074506,2501409.489999999757856,2540122.109999999869615,10078922.429999999701977
20160321,2496974.250000000000000,2588670.640000000130385,2510806.089999999850988,2522625.250000000000000,10119076.230000000447035
20160322,2499301.750000000000000,2615357.919999999925494,2500000.000000000000000,2537708.750000000000000,10152368.419999999925494
20160323,2525369.750000000000000,2599001.200000000186265,2485905.099999999627471,2526546.959999999962747,10136823.009999999776483
20160324,2520947.500000000000000,2589531.520000000018626,2516444.049999999813735,2533485.370000000111759,10160408.439999999478459
20160328,2519085.500000000000000,2563705.120000000111759,2508926.769999999552965,2540725.449999999720603,10132442.839999999850988
20160329,2540265.750000000000000,2586948.879999999888241,2539465.719999999739230,2550077.220000000204891,10216757.570000000298023
20160330,2536541.750000000000000,2588670.640000000130385,2538995.889999999664724,2549775.549999999813735,10213983.830000000074506
20160331,2518387.250000000000000,2551652.799999999813735,2540875.209999999962747,2521720.240000000223517,10132635.500000000000000
20160401,2541429.500000000000000,2586088.000000000000000,2537586.399999999906868,2502715.029999999795109,10167818.929999999701977
20160404,2527464.500000000000000,2644627.839999999850988,2556849.429999999701977,2508748.429999999701977,10237690.199999999254942
20160405,2535843.500000000000000,2699724.160000000149012,2541345.040000000037253,2480089.779999999795109,10257002.480000000447035
20160406,2546782.750000000000000,2834882.319999999832362,2514564.729999999981374,2513273.479999999981374,10409503.280000001192093
20160407,2543291.500000000000000,2820247.359999999869615,2443150.569999999832362,2484916.500000000000000,10291605.929999999701977
20160408,2539334.750000000000000,2797864.479999999981374,2451607.509999999776483,2510256.779999999795109,10299063.519999999552965
20160411,2536309.000000000000000,2745350.799999999813735,2424827.199999999720603,2513575.149999999906868,10220062.150000000372529
