訓練日期,20190812 - 20191111
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11865969.669999998062849
真實報酬,1865969.669999998062849

夏普值報酬,0.177896967000000
夏普值風險,0.047901630696576
夏普值,3.713797722813539

預期報酬,27864.908134735484055
風險,120659.324083471190534
趨勢值,0.230938705702170
找到最佳解世代,2360
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),VZ[26](4),
Stock#,AAPL[0](1),VZ[26](4),
張數,24876,89637,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,172.759999999776483,48.139999999664724,
20190812,4987313.239999999292195,4991932.669999999925494,9979245.910000000149012
20190813,5198510.479999999515712,5052885.829999999143183,10251396.309999998658895
20190814,5043781.759999999776483,4994621.779999999329448,10038403.539999999105930
20190815,5018657.000000000000000,5046611.239999999292195,10065268.239999998360872
20190816,5137066.759999999776483,5077984.189999999478459,10215050.949999999254942
20190819,5232839.359999999403954,5109357.139999999664724,10342196.500000000000000
20190820,5233088.120000000111759,5043922.129999999888241,10277010.250000000000000
20190821,5289805.399999999441206,5072605.969999999739230,10362411.369999999180436
20190822,5285327.719999999739230,5089637.000000000000000,10374964.719999998807907
20190823,5041045.399999999441206,5012549.179999999701977,10053594.579999998211861
20190826,5136818.000000000000000,5083362.410000000149012,10220180.410000000149012
20190827,5078856.919999999925494,5125491.799999999813735,10204348.719999998807907
20190828,5112937.040000000037253,5194512.290000000037253,10307449.330000000074506
20190829,5199505.519999999552965,5193615.919999999925494,10393121.439999999478459
20190830,5192789.000000000000000,5213336.059999999590218,10406125.059999998658895
20190903,5117165.959999999031425,5202579.619999999180436,10319745.579999998211861
20190904,5203983.199999999254942,5215128.799999999813735,10419112.000000000000000
20190905,5305726.040000000037253,5251879.969999999739230,10557606.009999999776483
20190906,5305228.519999999552965,5294009.359999999403954,10599237.879999998956919
20190909,5327865.679999999701977,5258154.559999999590218,10586020.239999998360872
20190910,5390801.959999999031425,5352273.410000000149012,10743075.369999999180436
20190911,5562197.599999999627471,5389920.950000000186265,10952118.550000000745058
20190912,5549759.599999999627471,5416812.049999999813735,10966571.649999998509884
20190913,5441797.759999999776483,5374682.660000000149012,10816480.419999999925494
20190916,5470405.160000000149012,5333449.639999999664724,10803854.800000000745058
20190917,5490305.959999999031425,5366615.329999999143183,10856921.289999999105930
20190918,5541799.280000000260770,5371993.549999999813735,10913792.830000000074506
20190919,5496773.719999999739230,5376475.399999999441206,10873249.119999999180436
20190920,5416424.239999999292195,5404262.869999999180436,10820687.109999999403954
20190923,5441051.479999999515712,5397091.910000000149012,10838143.390000000596046
20190924,5415180.440000000409782,5423983.009999999776483,10839163.449999999254942
20190925,5498515.040000000037253,5402470.129999999888241,10900985.169999999925494
20190926,5470156.399999999441206,5417708.419999999925494,10887864.820000000298023
20190927,5443539.079999999143183,5405159.239999999292195,10848698.319999998435378
20190930,5571650.479999999515712,5410537.459999999962747,10982187.939999999478459
20191001,5587073.599999999627471,5364822.589999999850988,10951896.189999999478459
20191002,5447021.719999999739230,5280563.809999999590218,10727585.529999999329448
20191003,5493291.079999999143183,5289527.509999999776483,10782818.589999999850988
20191004,5647273.519999999552965,5369304.439999999478459,11016577.959999999031425
20191007,5648517.320000000298023,5400677.389999999664724,11049194.710000000894070
20191008,5582347.160000000149012,5353169.779999999329448,10935516.939999999478459
20191009,5647771.040000000037253,5308351.279999999329448,10956122.320000000298023
20191010,5723891.599999999627471,5363029.849999999627471,11086921.449999999254942
20191011,5876132.719999999739230,5371993.549999999813735,11248126.269999999552965
20191014,5867674.879999999888241,5342413.339999999850988,11210088.219999998807907
20191015,5853993.079999999143183,5427568.489999999292195,11281561.569999998435378
20191016,5830360.879999999888241,5404262.869999999180436,11234623.750000000000000
20191017,5852998.040000000037253,5415019.309999999590218,11268017.349999999627471
20191018,5881107.919999999925494,5472386.989999999292195,11353494.910000000149012
20191021,5983099.519999999552965,5445495.889999999664724,11428595.410000000149012
20191022,5969417.719999999739230,5447288.629999999888241,11416706.349999999627471
20191023,6049518.440000000409782,5457148.700000000186265,11506667.140000000596046
20191024,6059468.839999999850988,5430257.599999999627471,11489726.439999999478459
20191025,6134096.839999999850988,5411433.829999999143183,11545530.669999998062849
20191028,6195540.560000000521541,5394402.799999999813735,11589943.359999999403954
20191029,6052254.799999999813735,5395299.169999999925494,11447553.969999998807907
20191030,6051508.519999999552965,5451770.479999999515712,11503279.000000000000000
20191031,6188326.519999999552965,5420397.529999999329448,11608724.049999998882413
20191101,6363951.079999999143183,5411433.829999999143183,11775384.909999998286366
20191104,6405742.759999999776483,5366615.329999999143183,11772358.089999999850988
20191105,6396538.639999999664724,5333449.639999999664724,11729988.279999999329448
20191106,6399275.000000000000000,5389920.950000000186265,11789195.949999999254942
20191107,6453753.440000000409782,5425775.750000000000000,11879529.190000001341105
20191108,6471415.399999999441206,5320004.089999999850988,11791419.489999998360872
20191111,6522659.959999999031425,5343309.709999999962747,11865969.669999998062849
