訓練日期,20110209 - 20110512
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11053495.740000000223517
真實報酬,1053495.740000000223517

夏普值報酬,0.096649574000000
夏普值風險,0.033381936037176
夏普值,2.895265687776904

預期報酬,16988.121608498378919
風險,122516.963481700804550
趨勢值,0.138659342557374
找到最佳解世代,2003
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,4
CVX[5](6),KO[14](2),PFE[20](1),UNH[23](4),
Stock#,CVX[5](6),KO[14](2),PFE[20](1),UNH[23](4),
張數,25578,79516,130480,59566,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,6.280000000260770,16.959999999962747,3.200000000186265,14.979999999981374,
20110209,2461633.000000000000000,2511132.239999999757856,2485647.200000000186265,2505956.600000000093132,9964369.040000000968575
20110210,2473398.880000000353903,2526240.279999999795109,2483037.600000000558794,2527400.359999999869615,10010077.120000001043081
20110211,2467004.380000000353903,2527830.600000000093132,2456941.600000000093132,2524422.060000000055879,9976198.640000000596046
20110214,2479793.380000000353903,2510337.080000000074506,2485647.200000000186265,2529187.339999999850988,10004965.000000000000000
20110215,2464190.800000000279397,2512722.560000000055879,2485647.200000000186265,2503573.959999999962747,9966134.519999999552965
20110216,2472375.760000000242144,2520674.159999999683350,2515657.600000000558794,2531569.979999999981374,10040277.500000000000000
20110217,2485420.540000000502914,2566793.439999999944121,2527400.800000000279397,2536930.920000000391155,10116545.700000001117587
20110218,2525066.440000000409782,2566793.439999999944121,2503914.400000000372529,2551822.420000000391155,10147596.700000001117587
20110222,2565991.240000000223517,2534987.040000000037253,2464770.400000000372529,2558970.339999999850988,10124719.019999999552965
20110223,2615868.340000000316650,2541348.319999999832362,2447808.000000000465661,2555992.039999999571592,10161016.699999999254942
20110224,2609729.620000000111759,2539758.000000000000000,2466075.200000000186265,2546461.479999999981374,10162024.300000000745058
20110225,2611520.080000000074506,2557251.519999999552965,2460856.000000000000000,2532761.300000000279397,10162388.900000000372529
20110228,2653723.780000000260770,2541348.319999999832362,2510438.399999999906868,2536335.259999999776483,10241845.759999999776483
20110301,2631982.480000000447035,2581106.319999999832362,2497390.400000000372529,2528591.680000000167638,10239070.880000000819564
20110302,2646561.940000000409782,2562022.479999999981374,2503914.400000000372529,2594709.939999999944121,10307208.759999999776483
20110303,2664978.100000000093132,2606551.439999999944121,2579592.800000000279397,2667976.120000000111759,10519098.460000000894070
20110304,2653723.780000000260770,2592238.560000000055879,2565240.000000000000000,2647723.680000000167638,10458926.019999999552965
20110307,2634796.060000000521541,2593033.719999999739230,2558716.000000000000000,2594709.939999999944121,10381255.720000000670552
