訓練日期,20160418 - 20160719
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11239523.359999999403954
真實報酬,1239523.359999999403954

夏普值報酬,0.115252336000000
夏普值風險,0.029035668220901
夏普值,3.969336442446181

預期報酬,17530.445762664829090
風險,118259.483552079444053
趨勢值,0.148237124297475
找到最佳解世代,1897
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](4),PFE[20](2),UNH[23](3),XOM[29](1),
Stock#,JNJ[12](4),PFE[20](2),UNH[23](3),XOM[29](1),
張數,22690,76923,19634,29422,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,15.799999999813735,2.500000000000000,2.780000000260770,12.660000000149012,
20160418,2517017.500000000000000,2508461.529999999795109,2509424.320000000298023,2523831.820000000298023,10058735.169999999925494
20160419,2556725.000000000000000,2529999.970000000204891,2562239.780000000260770,2536483.279999999795109,10185448.030000001192093
20160420,2577146.000000000000000,2556153.789999999571592,2629584.400000000372529,2553842.260000000242144,10316726.449999999254942
20160421,2576919.099999999627471,2556923.020000000018626,2610539.420000000391155,2553548.040000000502914,10297929.580000000074506
20160422,2571246.599999999627471,2559230.710000000428408,2633511.200000000186265,2575320.320000000298023,10339308.830000001937151
20160425,2575557.699999999720603,2554615.330000000074506,2626639.300000000279397,2569435.919999999925494,10326248.250000000000000
20160426,2561943.699999999720603,2542307.649999999906868,2635670.940000000409782,2578262.520000000018626,10318184.810000000521541
20160427,2558767.099999999627471,2538461.500000000000000,2607397.980000000447035,2602682.779999999795109,10307309.359999999403954
20160428,2552187.000000000000000,2531538.429999999701977,2593065.160000000149012,2590031.320000000298023,10266821.910000000149012
20160429,2543111.000000000000000,2516153.830000000074506,2585407.900000000372529,2600917.460000000428408,10245590.190000001341105
20160502,2558313.299999999813735,2523076.899999999906868,2593654.180000000167638,2622395.520000000018626,10297439.899999998509884
20160503,2556951.899999999906868,2592307.600000000093132,2600722.420000000391155,2592385.080000000074506,10342367.000000000000000
20160504,2546287.599999999627471,2569230.699999999720603,2592279.800000000279397,2587383.339999999850988,10295181.439999999478459
20160505,2561262.999999999534339,2582307.609999999869615,2597777.320000000298023,2590325.540000000502914,10331673.470000000670552
20160506,2558086.399999999906868,2583076.839999999850988,2592476.140000000130385,2604153.880000000353903,10337793.260000001639128
