訓練日期,20180321 - 20180621
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10990774.779999999329448
真實報酬,990774.779999999329448

夏普值報酬,0.090377478000000
夏普值風險,0.039485263718835
夏普值,2.288891335348731

預期報酬,19413.142061816040950
風險,137085.292375111777801
趨勢值,0.141613602199535
找到最佳解世代,2032
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CVX[5](3),MRK[17](1),NKE[19](5),
Stock#,CVX[5](3),MRK[17](1),NKE[19](5),
張數,29112,61005,49900,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,9.000000000000000,19.799999999813735,13.000000000000000,
20180321,3407277.479999999981374,3336383.249999999534339,3310877.999999999534339,10054539.729999998584390
20180322,3310043.399999999906868,3301610.399999999441206,3214571.000000000000000,9826225.799999998882413
20180323,3289082.760000000242144,3258296.849999999627471,3225050.000000000000000,9772430.609999999403954
20180326,3358078.199999999720603,3296729.999999999534339,3288423.000000000465661,9943232.199999999254942
20180327,3337990.919999999925494,3279038.549999999813735,3301896.000000000000000,9918926.469999998807907
20180328,3263464.199999999720603,3360785.250000000000000,3265469.000000000000000,9889719.449999999254942
20180329,3319941.479999999981374,3322962.149999999906868,3315369.000000000000000,9958273.629999998956919
20180402,3267539.879999999888241,3249756.149999999906868,3199601.000000000000000,9716898.029999999329448
20180403,3342939.959999999962747,3299780.250000000000000,3328343.000000000000000,9971064.210000000894070
20180404,3332750.760000000242144,3327232.499999999534339,3414171.000000000000000,10074155.259999999776483
20180405,3414555.479999999981374,3326622.449999999720603,3472554.000000000000000,10213732.929999999701977
20180406,3340902.120000000111759,3255246.599999999627471,3370758.000000000000000,9966907.719999998807907
20180409,3376418.760000000242144,3426060.599999999627471,3352295.000000000465661,10154775.359999999403954
20180410,3459970.199999999720603,3446192.250000000000000,3343313.000000000000000,10249476.449999999254942
20180411,3471615.000000000000000,3428500.799999999813735,3334830.000000000000000,10234946.800000000745058
20180412,3471032.760000000242144,3461443.500000000000000,3381736.000000000000000,10314213.259999999776483
20180413,3491120.040000000037253,3487675.649999999906868,3355788.000000000000000,10334584.689999999478459
20180416,3513827.399999999906868,3577963.049999999813735,3346307.000000000000000,10438098.449999999254942
20180417,3513827.399999999906868,3615786.149999999906868,3368762.000000000465661,10498376.550000000745058
20180418,3604656.839999999850988,3594434.399999999906868,3303393.000000000000000,10502485.240000000223517
20180419,3601454.520000000018626,3577353.000000000000000,3279940.000000000000000,10458748.519999999552965
20180420,3560697.720000000204891,3588943.949999999720603,3297904.000000000000000,10447546.669999999925494
20180423,3597669.959999999962747,3675571.049999999813735,3337325.000000000000000,10610567.009999999776483
20180424,3567393.479999999981374,3665810.250000000000000,3341816.000000000000000,10575020.730000000447035
20180425,3572633.640000000130385,3637747.950000000186265,3326846.000000000000000,10537228.589999999850988
20180426,3616301.640000000130385,3624326.849999999627471,3395708.000000000000000,10636337.490000000223517
20180427,3686170.439999999944121,3627987.149999999906868,3471057.000000000000000,10785215.589999999850988
20180430,3642211.319999999832362,3591384.149999999441206,3412674.000000000000000,10646270.469999998807907
20180501,3634933.319999999832362,3537089.699999999720603,3398202.999999999534339,10570227.019999999552965
20180502,3653273.879999999888241,3495606.299999999813735,3406187.000000000465661,10555068.179999999701977
20180503,3668412.120000000111759,3509637.449999999720603,3338323.000000000465661,10516373.570000000298023
20180504,3654438.359999999869615,3523058.549999999813735,3398202.999999999534339,10575700.910000000149012
20180507,3637262.279999999795109,3500486.700000000186265,3460079.000000000000000,10597828.980000000447035
20180508,3684714.839999999850988,3462663.599999999627471,3416166.999999999534339,10563546.439999999478459
20180509,3747305.640000000130385,3535259.549999999813735,3390718.000000000000000,10673284.189999999478459
20180510,3750216.839999999850988,3541970.100000000093132,3389221.000000000000000,10681408.939999999478459
20180511,3779911.080000000074506,3641408.249999999534339,3414670.000000000465661,10835990.330000000074506
20180514,3795922.679999999701977,3640798.199999999720603,3435129.000000000000000,10871850.879999998956919
20180515,3776999.880000000353903,3611515.799999999813735,3468063.000000000000000,10856579.679999999701977
20180516,3771759.720000000204891,3645068.549999999813735,3559879.000000000000000,10976708.269999999552965
20180517,3768848.520000000018626,3603585.149999999906868,3539919.000000000000000,10912353.669999999925494
20180518,3722269.319999999832362,3607855.500000000000000,3558880.999999999534339,10889006.820000000298023
20180521,3766228.439999999944121,3573082.649999999906868,3561875.000000000000000,10901187.089999999850988
20180522,3733040.759999999776483,3565762.049999999813735,3558382.000000000000000,10857185.809999998658895
20180523,3746723.399999999441206,3609685.649999999906868,3559879.000000000000000,10916289.049999998882413
20180524,3685879.319999999832362,3607245.450000000186265,3601795.000000000465661,10894920.769999999552965
20180525,3557204.279999999795109,3604805.250000000000000,3605288.000000000000000,10767298.529999999329448
20180529,3533914.680000000167638,3562711.799999999813735,3538921.000000000000000,10635548.480000000447035
20180530,3643666.919999999925494,3643238.399999999906868,3604290.000000000000000,10891196.320000000298023
20180531,3618630.600000000093132,3631647.449999999720603,3582833.000000000000000,10833112.050000000745058
20180601,3605530.199999999720603,3694482.600000000093132,3630737.000000000465661,10930750.800000000745058
20180604,3559242.120000000111759,3783549.899999999906868,3684130.000000000000000,11026923.019999999552965
20180605,3572924.760000000242144,3745116.750000000000000,3695108.000000000000000,11013150.509999999776483
20180606,3591847.560000000055879,3778059.449999999720603,3730038.000000000000000,11099946.009999999776483
20180607,3696068.520000000018626,3781719.750000000000000,3730537.000000000465661,11208326.269999999552965
20180608,3680930.279999999795109,3817712.699999999720603,3737523.000000000465661,11236166.980000000447035
20180611,3713535.720000000204891,3802461.449999999720603,3722054.000000000000000,11238052.169999999925494
20180612,3699561.959999999962747,3809171.999999999534339,3707084.000000000465661,11215818.959999999031425
20180613,3699270.839999999850988,3818322.750000000000000,3698102.000000000000000,11215696.589999999850988
20180614,3682968.120000000111759,3755487.600000000093132,3727543.000000000000000,11165999.720000000670552
20180615,3611061.479999999981374,3784159.949999999720603,3784429.000000000000000,11179651.429999999701977
20180618,3667247.640000000130385,3720714.750000000000000,3772952.000000000000000,11160915.390000000596046
20180619,3654729.479999999981374,3723154.949999999720603,3705587.000000000465661,11083472.429999999701977
20180620,3647451.479999999981374,3738406.199999999720603,3728541.000000000000000,11114399.679999999701977
20180621,3568849.080000000074506,3732305.699999999720603,3689619.000000000000000,10990774.779999999329448
