訓練日期,20100318 - 20100618
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12226727.519999999552965
真實報酬,2226727.519999999552965

夏普值報酬,0.213972752000000
夏普值風險,0.051336073566563
夏普值,4.168077866776462

預期報酬,30605.258517482518073
風險,498399.942940752313007
趨勢值,0.061407026527531
找到最佳解世代,2407
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,312304,
分配資金,10000000.000000000000000,
剩餘資金,25.919999999925494,
20100318,10021861.280000001192093,10021861.280000001192093
20100319,9915677.919999999925494,9915677.919999999925494
20100322,10028107.359999999403954,10028107.359999999403954
20100323,10187382.399999998509884,10187382.399999998509884
20100324,10234228.000000000000000,10234228.000000000000000
20100325,10112429.440000001341105,10112429.440000001341105
20100326,10302934.880000000819564,10302934.880000000819564
20100329,10368518.720000000670552,10368518.720000000670552
20100330,10521547.679999999701977,10521547.679999999701977
20100331,10484071.199999999254942,10484071.199999999254942
20100401,10527793.759999999776483,10527793.759999999776483
20100405,10640223.199999999254942,10640223.199999999254942
20100406,10687068.799999998882413,10687068.799999998882413
20100407,10733914.399999998509884,10733914.399999998509884
20100408,10705807.040000000968575,10705807.040000000968575
20100409,10787006.080000000074506,10787006.080000000074506
20100412,10808867.359999999403954,10808867.359999999403954
20100413,10815113.440000001341105,10815113.440000001341105
20100414,10961896.320000000298023,10961896.320000000298023
20100415,11105556.160000000149012,11105556.160000000149012
20100416,11036849.280000001192093,11036849.280000001192093
20100419,11024357.119999999180436,11024357.119999999180436
20100420,10911927.679999999701977,10911927.679999999701977
20100421,11564643.040000000968575,11564643.040000000968575
20100422,11889439.199999999254942,11889439.199999999254942
20100423,12083067.679999999701977,12083067.679999999701977
20100426,12023729.919999999925494,12023729.919999999925494
20100427,11689564.640000000596046,11689564.640000000596046
20100428,11670826.399999998509884,11670826.399999998509884
20100429,11986253.440000001341105,11986253.440000001341105
20100430,11648965.119999999180436,11648965.119999999180436
20100503,11883193.119999999180436,11883193.119999999180436
20100504,11539658.720000000670552,11539658.720000000670552
20100505,11420983.199999999254942,11420983.199999999254942
20100506,10986880.640000000596046,10986880.640000000596046
20100507,10521547.679999999701977,10521547.679999999701977
20100510,11330415.040000000968575,11330415.040000000968575
20100511,11445967.519999999552965,11445967.519999999552965
20100512,11692687.679999999701977,11692687.679999999701977
20100513,11527166.559999998658895,11527166.559999998658895
20100514,11324168.959999999031425,11324168.959999999031425
20100517,11342907.199999999254942,11342907.199999999254942
20100518,11258585.119999999180436,11258585.119999999180436
20100519,11080571.839999999850988,11080571.839999999850988
20100520,10608992.799999998882413,10608992.799999998882413
20100521,10811990.399999998509884,10811990.399999998509884
20100524,11008741.919999999925494,11008741.919999999925494
20100525,10940035.040000000968575,10940035.040000000968575
20100526,10890066.399999998509884,10890066.399999998509884
20100527,11302307.679999999701977,11302307.679999999701977
20100528,11461582.720000000670552,11461582.720000000670552
20100601,11636472.959999999031425,11636472.959999999031425
20100602,11777009.759999999776483,11777009.759999999776483
20100603,11739533.280000001192093,11739533.280000001192093
20100604,11420983.199999999254942,11420983.199999999254942
20100607,11196124.320000000298023,11196124.320000000298023
20100608,11124294.399999998509884,11124294.399999998509884
20100609,10849466.880000000819564,10849466.880000000819564
20100610,11177386.080000000074506,11177386.080000000074506
20100611,11311676.799999998882413,11311676.799999998882413
20100614,11346030.240000000223517,11346030.240000000223517
20100615,11586504.320000000298023,11586504.320000000298023
20100616,11923792.640000000596046,11923792.640000000596046
20100617,12129913.280000001192093,12129913.280000001192093
20100618,12226727.519999999552965,12226727.519999999552965
