訓練日期,20110906 - 20111206
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11793817.890000000596046
真實報酬,1793817.890000000596046

夏普值報酬,0.170681789000000
夏普值風險,0.048413176594288
夏普值,3.525523442312982

預期報酬,25067.040906421818363
風險,193280.160108450829284
趨勢值,0.129692778050042
找到最佳解世代,4099
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,3
HD[9](1),IBM[10](6),WMT[28](4),
Stock#,HD[9](1),IBM[10](6),WMT[28](4),
張數,103583,19962,64065,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,32.060000000055879,78.240000000223517,31.049999999813735,
20110906,3319867.209999999962747,3296004.060000000521541,3310910.250000000000000,9926782.519999999552965
20110907,3404805.270000000018626,3339920.460000000428408,3358318.350000000093132,10103045.080000000074506
20110908,3362336.240000000223517,3298798.740000000223517,3344864.699999999720603,10006000.679999999701977
20110909,3301222.270000000018626,3221346.180000000167638,3290409.449999999720603,9812978.900000000372529
20110912,3350942.110000000335276,3242306.279999999795109,3319879.349999999627471,9913128.740000000223517
20110913,3383052.839999999850988,3262467.900000000372529,3305144.399999999906868,9950666.140000000596046
20110914,3474205.879999999888241,3338523.120000000577420,3344224.049999999813735,10156954.050000000745058
20110915,3550857.300000000279397,3395414.820000000298023,3364084.199999999720603,10310357.320000000298023
20110916,3585039.689999999944121,3453304.620000000577420,3373053.299999999813735,10411398.609999999403954
20110919,3558108.110000000335276,3456099.300000000279397,3360240.299999999813735,10374448.710000000894070
20110920,3605756.290000000502914,3487838.880000000353903,3349989.899999999906868,10443586.070000000298023
20110921,3505280.780000000260770,3453903.480000000447035,3287846.849999999627471,10247032.109999999403954
20110922,3423450.209999999962747,3366070.680000000167638,3221219.250000000000000,10010741.140000000596046
20110923,3492850.819999999832362,3380443.320000000298023,3254533.049999999813735,10127828.190000001341105
20110926,3521854.060000000055879,3483646.859999999869615,3320519.999999999534339,10326021.919999999925494
20110927,3509424.100000000093132,3547525.260000000242144,3333333.000000000000000,10390283.359999999403954
20110928,3480420.860000000335276,3544331.340000000316650,3287206.200000000186265,10311959.400000002235174
20110929,3500101.629999999888241,3576669.779999999795109,3326926.500000000000000,10403698.910000000149012
20110930,3404805.270000000018626,3490833.180000000167638,3325004.549999999813735,10220644.000000000000000
20111003,3272219.030000000260770,3459293.220000000204891,3328848.449999999720603,10060361.699999999254942
20111004,3363372.069999999832362,3488238.120000000577420,3387788.250000000000000,10239399.440000001341105
20111005,3400661.949999999720603,3530357.939999999944121,3373053.299999999813735,10304074.189999999478459
20111006,3457632.600000000093132,3626974.020000000018626,3379459.799999999813735,10464067.419999999925494
20111007,3513567.420000000391155,3640947.419999999925494,3440321.549999999813735,10594837.390000000596046
20111010,3590218.839999999850988,3725386.680000000167638,3511433.700000000186265,10827040.219999998807907
20111011,3595397.990000000223517,3693048.240000000223517,3505667.849999999627471,10794115.080000000074506
20111012,3596433.819999999832362,3715405.680000000167638,3536419.049999999813735,10848259.550000000745058
20111013,3564323.089999999850988,3729379.080000000074506,3524887.350000000093132,10818590.519999999552965
20111014,3630616.209999999962747,3803438.100000000093132,3553075.949999999720603,10987131.259999999776483
20111017,3589183.009999999776483,3724787.820000000298023,3509511.750000000000000,10823483.580000000074506
20111018,3723840.910000000149012,3571280.040000000502914,3580623.899999999906868,10875745.850000001490116
20111019,3666870.259999999776483,3541137.419999999925494,3603687.299999999813735,10811695.980000000447035
20111020,3701052.649999999906868,3538342.740000000223517,3611375.099999999627471,10850771.490000000223517
20111021,3818101.439999999944121,3625776.300000000279397,3646610.850000000093132,11090489.589999999850988
20111024,3801528.160000000149012,3638152.740000000223517,3637641.750000000000000,11077323.650000000372529
20111025,3733163.379999999888241,3600424.560000000521541,3633157.199999999720603,10966746.140000000596046
20111026,3785990.709999999962747,3632563.380000000353903,3675440.099999999627471,11093995.189999999478459
20111027,3870928.770000000018626,3719797.320000000298023,3703628.700000000186265,11294355.789999999105930
