訓練日期,20170111 - 20170413
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10581713.049999998882413
真實報酬,581713.049999998882413

夏普值報酬,0.049471305000000
夏普值風險,0.016585658752135
夏普值,2.982776007834667

預期報酬,9411.595575828756409
風險,34701.489064704379416
趨勢值,0.271215899648568
找到最佳解世代,1774
找到最佳解實驗#,3
找到最佳解次數,12

stock[index](rank)
投資組合檔數,3
DIS[6](5),KO[14](11),MCD[15](1),
Stock#,DIS[6](5),KO[14](11),MCD[15](1),
張數,30755,81221,27720,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,106.100000000093132,23.160000000149012,3.000000000000000,
20170111,3365933.299999999813735,3334145.209999999962747,3350796.600000000093132,10050876.109999999403954
20170112,3307191.250000000000000,3326023.110000000335276,3384615.000000000000000,10017830.359999999403954
20170113,3323491.400000000372529,3320337.640000000130385,3367983.000000000000000,10011813.040000000968575
20170117,3320723.450000000186265,3347952.780000000260770,3402633.000000000000000,10071310.230000000447035
20170118,3326566.899999999906868,3353638.250000000000000,3401524.199999999720603,10081730.349999999627471
20170119,3299502.500000000000000,3341455.100000000093132,3386832.600000000093132,10027791.199999999254942
20170120,3311189.399999999906868,3356074.880000000353903,3389050.200000000186265,10056315.480000000447035
20170123,3294581.700000000186265,3365009.189999999944121,3364656.600000000093132,10024248.490000000223517
20170124,3318570.600000000093132,3403183.060000000055879,3355509.000000000000000,10077263.660000000149012
20170125,3322876.300000000279397,3421051.680000000167638,3376021.800000000279397,10119950.780000001192093
20170126,3323491.400000000372529,3395873.170000000391155,3378516.600000000093132,10097882.169999999925494
20170127,3361627.600000000093132,3366633.610000000335276,3405682.200000000186265,10133944.410000000149012
20170130,3412065.799999999813735,3360948.140000000130385,3410117.399999999906868,10183132.339999999850988
20170131,3403146.850000000093132,3376380.130000000353903,3397643.399999999906868,10177171.380000000819564
20170201,3423137.600000000093132,3351201.620000000111759,3393485.399999999906868,10167825.620000001043081
20170202,3401916.649999999906868,3362572.560000000055879,3415661.399999999906868,10180151.609999999403954
20170203,3392382.600000000093132,3373943.500000000000000,3443935.799999999813735,10210262.899999998509884
20170206,3369931.449999999720603,3375567.920000000391155,3449757.000000000000000,10195257.370000001043081
20170207,3352401.100000000093132,3403183.060000000055879,3453637.800000000279397,10209222.960000000894070
20170208,3352401.100000000093132,3412929.580000000540167,3455855.399999999906868,10221187.080000000074506
20170209,3367471.049999999813735,3350389.410000000149012,3450588.600000000093132,10168450.060000000521541
20170210,3360397.400000000372529,3295971.339999999850988,3487733.399999999906868,10144103.140000000596046
20170213,3372391.850000000093132,3299220.180000000167638,3479971.800000000279397,10151584.830000000074506
20170214,3393305.250000000000000,3291910.290000000037253,3487456.200000000186265,10172672.740000000223517
20170215,3388692.000000000465661,3284600.399999999906868,3506028.600000000093132,10179322.000000000000000
20170216,3404992.149999999906868,3346328.360000000335276,3512127.000000000000000,10263448.509999999776483
20170217,3385001.400000000372529,3348764.989999999757856,3542619.000000000000000,10276386.390000000596046
20170221,3383463.650000000372529,3367445.820000000298023,3549271.799999999813735,10300182.269999999552965
20170222,3386846.700000000186265,3378816.760000000242144,3544005.000000000000000,10309669.460000000894070
20170223,3374852.250000000000000,3383690.020000000018626,3555647.400000000372529,10314190.669999999925494
20170224,3392997.699999999720603,3393436.540000000037253,3566181.000000000000000,10352616.240000000223517
20170227,3390229.750000000000000,3384502.230000000447035,3520165.799999999813735,10294898.780000001192093
20170228,3385924.050000000279397,3408056.320000000298023,3538461.000000000000000,10332442.370000001043081
20170301,3415141.300000000279397,3424300.520000000018626,3577269.000000000465661,10416711.820000000298023
20170302,3401301.550000000279397,3449479.030000000260770,3554538.599999999627471,10405320.179999999701977
20170303,3421292.299999999813735,3450291.239999999757856,3545391.000000000000000,10416975.539999999105930
20170306,3403761.950000000186265,3425924.939999999944121,3548994.600000000093132,10378682.490000000223517
20170307,3409605.399999999906868,3410492.950000000186265,3550103.399999999906868,10370202.750000000000000
20170308,3408990.300000000279397,3410492.950000000186265,3550657.800000000279397,10370142.050000000745058
20170309,3414833.750000000000000,3413741.790000000037253,3552043.799999999813735,10380620.339999999850988
20170310,3411450.700000000186265,3434859.250000000000000,3547608.600000000093132,10393919.550000000745058
20170313,3429903.700000000186265,3413741.790000000037253,3537352.200000000186265,10380998.690000001341105
20170314,3454200.150000000372529,3408868.530000000260770,3542619.000000000000000,10405688.679999999701977
20170315,3440667.950000000186265,3421051.680000000167638,3544836.600000000093132,10406557.230000000447035
20170316,3435747.149999999906868,3431610.410000000149012,3547608.600000000093132,10414967.160000000149012
20170317,3437284.900000000372529,3413741.790000000037253,3565903.799999999813735,10416931.490000000223517
20170320,3466502.149999999906868,3425924.939999999944121,3569784.600000000093132,10462212.689999999478459
20170321,3436977.350000000093132,3451915.660000000149012,3562577.400000000372529,10451471.410000000149012
20170322,3447126.500000000000000,3442169.140000000130385,3578655.000000000000000,10467951.640000000596046
20170323,3452047.299999999813735,3425112.730000000447035,3575883.000000000000000,10453044.030000001192093
20170324,3448971.800000000279397,3421051.680000000167638,3585307.800000000279397,10455332.280000001192093
20170327,3456353.000000000000000,3437295.880000000353903,3589465.800000000279397,10483115.680000001564622
20170328,3476958.850000000093132,3446230.189999999944121,3588356.999999999534339,10511547.039999999105930
20170329,3460966.250000000000000,3445417.980000000447035,3571447.800000000279397,10477833.030000001192093
20170330,3480957.000000000465661,3460037.760000000242144,3584753.399999999906868,10525749.160000000149012
20170331,3487415.550000000279397,3447042.399999999906868,3592792.200000000186265,10527251.150000000372529
20170403,3481572.100000000093132,3444605.770000000018626,3592792.200000000186265,10518971.070000000298023
20170404,3476651.300000000279397,3466535.439999999944121,3583921.799999999813735,10527109.539999999105930
20170405,3475421.100000000093132,3457601.130000000353903,3614968.199999999720603,10547991.429999999701977
20170406,3476958.850000000093132,3465723.230000000447035,3607761.000000000000000,10550444.080000000074506
20170407,3462504.000000000000000,3460849.970000000204891,3602494.200000000186265,10525849.170000001788139
20170410,3457890.750000000465661,3467347.649999999906868,3603048.599999999627471,10528288.000000000000000
20170411,3477573.949999999720603,3464911.020000000018626,3636866.999999999534339,10579352.969999998807907
20170412,3476651.300000000279397,3487652.899999999906868,3638530.199999999720603,10602835.400000000372529
20170413,3481572.100000000093132,3475469.750000000000000,3624670.199999999720603,10581713.049999998882413
