訓練日期,20110330 - 20110630
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10742595.269999999552965
真實報酬,742595.269999999552965

夏普值報酬,0.065559527000000
夏普值風險,0.019493954157927
夏普值,3.363069722483227

預期報酬,10624.683502375481112
風險,247146.457186992542120
趨勢值,0.042989422641559
找到最佳解世代,33
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
BA[2](16),JNJ[12](2),KO[14](15),MCD[15](1),MSFT[18](21),NKE[19](4),PG[21](8),UTX[24](13),V[25](9),WMT[28](12),
Stock#,BA[2](16),JNJ[12](2),KO[14](15),MCD[15](1),MSFT[18](21),NKE[19](4),PG[21](8),UTX[24](13),V[25](9),WMT[28](12),
張數,13583,16886,30432,13267,39231,52383,16318,11887,55401,19135,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,19.539999999920838,11.080000000074506,4.479999999981374,66.209999999962747,1.810000000055879,8.530000000027940,32.959999999962747,65.559999999939464,11.949999999953434,4.900000000023283,
20110330,1002444.939999999827705,1002701.760000000125729,1004869.120000000111759,1005837.479999999981374,1004707.720000000088476,1005238.300000000046566,1011259.419999999925494,1001307.569999999948777,1028254.509999999892898,1001913.500000000000000,10068534.320000000298023
20110331,1004210.729999999981374,1000506.580000000074506,1009433.920000000041910,1009552.239999999990687,996076.900000000023283,991618.719999999972060,1005221.760000000009313,1006300.109999999986030,1019944.359999999986030,995981.650000000023283,10038846.970000000670552
20110401,1005297.369999999995343,1004559.220000000088476,1022824.000000000000000,1008225.539999999920838,999607.690000000060536,1002095.319999999948777,1013054.399999999906868,1014264.399999999906868,1028254.509999999892898,997512.450000000069849,10095694.900000000372529
20110404,1004482.390000000013970,1015703.980000000097789,1029519.039999999920838,1013532.339999999967404,1002353.860000000102445,1013619.580000000074506,1015991.639999999897555,1013194.569999999948777,1042104.759999999892898,1007462.650000000023283,10157964.810000000521541
20110405,994702.630000000004657,1009793.880000000004657,1026780.160000000032596,1016318.409999999916181,1011376.990000000107102,1020429.369999999995343,1006364.020000000018626,1015215.359999999986030,1047644.859999999986030,1009184.800000000046566,10157810.480000002309680
20110406,1001358.299999999930151,1007429.839999999967404,1029214.719999999972060,1017910.449999999953434,1025892.459999999962747,1030382.140000000130385,1007832.639999999897555,1018305.979999999864958,1052630.949999999953434,1013777.199999999953434,10204734.679999997839332
