訓練日期,20110906 - 20111206
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11426679.080000000074506
真實報酬,1426679.080000000074506

夏普值報酬,0.133967908000000
夏普值風險,0.042542200867198
夏普值,3.149059175809931

預期報酬,20862.092325735320628
風險,229164.320162531803362
趨勢值,0.091035516833245
找到最佳解世代,42
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
CSCO[4](2),HD[9](1),INTC[11](3),KO[14](27),MCD[15](13),NKE[19](5),PFE[20](15),WMT[28](4),XOM[29](8),
Stock#,CSCO[4](2),HD[9](1),INTC[11](3),KO[14](27),MCD[15](13),NKE[19](5),PFE[20](15),WMT[28](4),XOM[29](8),
張數,72103,34527,56573,31864,12471,52884,60190,21355,15402,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,3.770000000018626,32.139999999897555,17.280000000027940,13.320000000065193,69.609999999869615,18.159999999916181,3.599999999860302,10.349999999860302,10.719999999972060,
20110906,1101737.609999999869615,1106622.489999999757856,1105453.699999999953434,1106331.400000000139698,1107743.829999999841675,1107409.119999999878928,1122547.099999999860302,1103636.749999999767169,1095863.020000000018626,9957346.019999999552965
20110907,1144999.410000000149012,1134934.629999999888241,1136003.119999999878928,1127998.919999999925494,1113605.199999999953434,1143899.079999999841675,1144215.500000000000000,1119439.449999999953434,1134368.020000000018626,10199464.330000000074506
20110908,1174561.639999999897555,1120778.559999999823049,1125819.979999999981374,1134053.080000000074506,1105124.919999999925494,1128033.879999999888241,1132779.399999999906868,1114954.899999999906868,1121584.359999999869615,10157691.719999998807907
20110909,1140673.229999999981374,1100407.629999999888241,1114505.379999999888241,1105375.479999999981374,1060478.739999999990687,1091015.079999999841675,1100276.799999999813735,1096803.149999999906868,1093706.739999999990687,9903243.230000000447035
20110912,1160141.040000000037253,1116980.589999999850988,1147317.720000000204891,1105375.479999999981374,1074945.099999999860302,1115341.719999999972060,1098471.099999999860302,1106626.449999999953434,1106490.400000000139698,10031690.599999999627471
20110913,1178887.820000000065193,1127683.959999999729916,1174472.760000000009313,1100914.520000000018626,1074072.129999999888241,1134908.800000000046566,1103286.299999999813735,1101714.800000000046566,1103564.020000000018626,10099506.109999999403954
20110914,1177445.760000000009313,1158067.719999999972060,1194839.040000000037253,1111748.280000000027940,1081928.859999999869615,1156591.239999999990687,1108101.499999999767169,1114741.349999999860302,1118812.000000000000000,10222276.750000000000000
20110915,1201960.780000000027940,1183617.699999999953434,1218599.699999999953434,1131503.959999999962747,1098390.579999999841675,1163995.000000000000000,1112916.699999999720603,1121361.399999999906868,1139912.739999999990687,10372259.560000000521541
20110916,1198355.630000000121072,1195011.609999999869615,1242926.089999999850988,1135009.000000000000000,1101134.199999999953434,1186735.119999999878928,1092452.099999999860302,1124351.099999999860302,1148229.819999999832362,10424205.669999999925494
20110919,1190424.300000000046566,1186034.589999999850988,1240663.169999999925494,1122900.680000000167638,1107619.119999999878928,1192552.359999999869615,1087034.999999999767169,1120080.099999999860302,1135138.120000000111759,10382448.440000001341105
20110920,1191866.360000000102445,1201917.010000000009313,1255937.879999999888241,1125768.439999999944121,1113854.619999999878928,1183033.239999999990687,1097869.199999999720603,1116663.299999999813735,1139912.739999999990687,10426823.790000000968575
20110921,1142115.290000000037253,1168425.820000000065193,1241228.900000000139698,1103782.280000000027940,1091531.529999999795109,1133851.119999999878928,1073793.199999999953434,1095948.949999999953434,1108492.659999999916181,10159170.750000000000000
20110922,1105342.760000000009313,1141149.489999999757856,1223125.540000000037253,1080521.560000000055879,1072450.899999999906868,1113226.359999999869615,1052726.699999999720603,1073739.750000000000000,1066445.199999999953434,9928729.259999997913837
20110923,1125531.600000000093132,1164282.579999999841675,1253674.959999999962747,1074148.760000000009313,1089660.879999999888241,1171927.599999999860302,1050319.099999999860302,1084844.349999999860302,1067523.340000000083819,10081914.169999998062849
20110926,1152930.739999999990687,1173950.139999999897555,1258200.800000000046566,1095497.640000000130385,1114228.750000000000000,1180917.879999999888241,1069579.899999999906868,1106839.999999999767169,1104642.159999999916181,10256789.009999999776483
20110927,1158698.979999999981374,1169806.899999999906868,1275172.699999999953434,1108243.239999999990687,1119217.149999999906868,1197840.759999999776483,1068376.099999999860302,1111111.000000000000000,1122970.539999999804422,10331438.369999999180436
20110928,1142115.290000000037253,1160139.339999999850988,1262160.909999999916181,1084345.239999999990687,1097891.739999999990687,1169812.239999999990687,1056939.999999999767169,1095735.399999999906868,1110032.859999999869615,10179174.019999999552965
20110929,1142836.320000000065193,1166699.469999999972060,1256503.610000000102445,1100277.239999999990687,1107244.989999999990687,1163466.159999999916181,1082219.799999999813735,1108975.499999999767169,1137910.479999999981374,10266134.570000000298023
20110930,1117600.270000000018626,1134934.629999999888241,1207285.100000000093132,1076379.239999999990687,1095272.829999999841675,1130678.079999999841675,1064162.799999999813735,1108334.849999999860302,1118657.979999999981374,10053306.780000001192093
20111003,1095248.340000000083819,1090740.069999999832362,1166552.540000000037253,1042284.760000000125729,1072825.029999999795109,1097890.000000000000000,1043096.299999999813735,1109616.149999999906868,1095863.020000000018626,9814117.209999999031425
20111004,1123368.510000000009313,1121123.829999999841675,1200496.339999999850988,1039417.000000000000000,1078561.689999999944121,1133322.279999999795109,1058745.699999999953434,1129262.750000000000000,1121738.379999999888241,10006037.479999996721745
20111005,1165188.250000000000000,1133553.549999999813735,1236137.330000000074506,1044196.600000000209548,1070455.539999999804422,1160821.959999999962747,1082219.799999999813735,1124351.099999999860302,1138988.620000000111759,10155913.750000000000000
20111006,1207729.020000000018626,1152543.399999999906868,1246320.470000000204891,1041966.120000000111759,1086418.419999999925494,1180389.040000000037253,1097267.299999999813735,1126486.599999999860302,1138064.500000000000000,10277185.869999999180436
20111007,1201239.750000000000000,1171187.979999999981374,1261029.449999999953434,1049932.120000000111759,1087540.809999999823049,1165581.519999999785796,1109907.199999999953434,1146773.849999999860302,1132981.840000000083819,10326175.519999999552965
20111010,1232244.040000000037253,1196737.959999999729916,1294407.520000000018626,1065864.120000000111759,1103877.819999999832362,1199427.279999999795109,1138798.399999999906868,1170477.899999999906868,1174875.280000000027940,10576711.320000000298023
20111011,1225033.739999999990687,1198464.309999999823049,1300630.550000000046566,1064270.919999999925494,1114228.750000000000000,1187792.800000000046566,1134585.099999999860302,1168555.949999999720603,1174721.260000000009313,10568284.379999998956919
20111012,1243780.520000000018626,1198809.579999999841675,1307985.040000000037253,1075104.680000000167638,1102007.169999999925494,1213705.959999999962747,1132779.399999999906868,1178806.349999999860302,1188429.039999999804422,10641408.739999998360872
20111013,1256038.030000000027940,1188106.209999999729916,1323259.750000000000000,1073830.120000000111759,1113854.619999999878928,1218994.359999999869615,1129168.000000000000000,1174962.449999999953434,1176261.459999999962747,10654476.000000000000000
20111014,1265411.420000000158325,1210203.489999999757856,1329482.780000000027940,1080840.200000000186265,1121711.349999999860302,1229042.319999999832362,1146021.199999999720603,1184358.649999999906868,1203060.939999999944121,10770133.349999999627471
20111017,1238012.280000000027940,1196392.689999999944121,1317036.720000000204891,1067457.320000000065193,1105748.469999999739230,1203658.000000000000000,1124954.699999999953434,1169837.250000000000000,1193203.659999999916181,10616302.089999999850988
20111018,1262527.300000000046566,1241277.790000000037253,1323825.479999999981374,1063315.000000000000000,1117970.049999999813735,1209475.239999999990687,1141807.899999999906868,1193541.299999999813735,1215074.500000000000000,10768815.559999998658895
20111019,1237291.250000000000000,1222287.939999999944121,1371346.800000000046566,1068094.600000000093132,1117720.629999999888241,1206831.040000000037253,1132177.499999999767169,1201229.099999999860302,1207989.580000000074506,10764969.439999999478459
20111020,1239454.340000000083819,1233681.849999999860302,1335705.810000000055879,1069369.160000000149012,1110113.319999999832362,1214763.639999999897555,1127362.299999999813735,1203791.699999999720603,1212302.139999999897555,10746545.259999999776483
20111021,1253153.909999999916181,1272697.359999999869615,1359466.470000000204891,1086575.720000000204891,1151392.329999999841675,1247551.719999999972060,1147224.999999999767169,1215536.949999999953434,1234172.979999999981374,10967773.439999999478459
20111024,1264690.389999999897555,1267173.040000000037253,1391147.350000000093132,1081477.479999999981374,1147526.319999999832362,1257070.839999999850988,1165281.999999999767169,1212547.250000000000000,1234789.060000000055879,11021704.730000000447035
20111025,1270458.630000000121072,1244385.219999999972060,1393410.270000000018626,1066820.040000000037253,1144533.279999999795109,1239619.119999999878928,1135788.899999999906868,1211052.399999999906868,1223545.599999999860302,10929614.459999999031425
20111026,1269737.600000000093132,1261993.989999999757856,1397370.379999999888241,1075104.680000000167638,1144657.989999999990687,1245436.359999999869615,1160466.799999999813735,1225146.699999999720603,1248650.859999999869615,11028566.359999999403954
20111027,1329583.090000000083819,1290306.129999999888241,1421696.770000000018626,1092311.239999999990687,1166232.819999999832362,1267118.800000000046566,1183940.899999999906868,1234542.899999999906868,1261126.479999999981374,11246860.129999998956919
20111028,1338235.449999999953434,1247147.379999999888241,1413210.820000000065193,1098365.400000000139698,1163489.199999999953434,1279282.119999999878928,1192969.399999999906868,1220448.599999999860302,1254965.679999999934807,11208115.050000000745058
20111031,1336072.360000000102445,1236098.739999999757856,1388318.699999999953434,1088487.560000000055879,1158001.959999999729916,1273993.719999999972060,1159263.000000000000000,1211265.949999999720603,1202752.900000000139698,11054255.889999998733401
20111101,1268295.540000000037253,1227121.719999999972060,1352111.979999999981374,1068094.600000000093132,1146279.219999999739230,1241205.639999999897555,1163476.299999999813735,1200801.999999999767169,1169638.599999999860302,10837026.599999999627471
20111102,1287042.320000000065193,1242658.869999999878928,1349283.330000000074506,1079884.280000000027940,1154011.239999999990687,1255484.319999999832362,1175514.299999999813735,1214255.649999999906868,1191663.459999999962747,10949798.769999999552965
20111103,1310836.310000000055879,1258541.290000000037253,1369083.879999999888241,1093904.439999999944121,1159872.609999999869615,1265003.439999999944121,1196580.799999999813735,1226214.449999999953434,1214612.439999999944121,11094650.659999998286366
20111104,1300020.860000000102445,1256469.669999999925494,1343060.300000000046566,1079884.280000000027940,1169974.119999999878928,1248080.560000000055879,1183338.999999999767169,1227922.849999999860302,1209375.760000000009313,11018128.400000000372529
20111107,1298578.800000000046566,1289270.320000000065193,1373609.720000000204891,1086575.720000000204891,1180075.629999999888241,1240147.959999999962747,1208016.899999999906868,1237319.049999999813735,1222159.419999999925494,11135754.520000001415610
20111108,1320209.699999999953434,1309986.519999999785796,1400199.030000000027940,1093904.439999999944121,1179826.209999999729916,1261830.399999999906868,1208618.799999999813735,1266788.949999999953434,1228474.239999999990687,11269839.289999997243285
20111109,1269737.600000000093132,1283055.459999999729916,1348717.600000000093132,1068094.600000000093132,1155507.760000000009313,1221109.719999999972060,1164078.199999999953434,1239668.099999999860302,1191971.500000000000000,10941941.539999999105930
20111110,1341840.600000000093132,1284436.540000000037253,1361163.659999999916181,1073830.120000000111759,1163115.069999999832362,1241734.479999999981374,1191163.699999999720603,1241376.500000000000000,1212148.120000000111759,11110809.789999999105930
20111111,1371402.830000000074506,1314129.760000000009313,1405856.330000000074506,1085301.160000000149012,1181821.569999999832362,1271349.519999999785796,1203201.699999999720603,1264226.349999999860302,1227858.159999999916181,11325148.379999998956919
20111114,1365634.590000000083819,1320689.889999999897555,1393410.270000000018626,1080202.919999999925494,1173091.869999999878928,1266061.119999999878928,1191163.699999999720603,1257606.299999999813735,1216152.639999999897555,11264014.300000000745058
20111115,1378613.130000000121072,1314475.029999999795109,1433577.100000000093132,1083389.320000000065193,1178204.979999999748543,1268705.319999999832362,1195978.899999999906868,1227068.649999999906868,1218154.900000000139698,11298168.330000000074506
20111116,1355540.170000000158325,1306533.820000000065193,1410947.900000000139698,1067775.959999999962747,1161743.260000000009313,1239090.279999999795109,1177921.899999999906868,1210411.749999999767169,1205217.219999999972060,11135183.260000001639128
20111117,1332467.209999999962747,1298937.879999999888241,1377004.100000000093132,1061403.160000000149012,1151018.199999999953434,1214763.639999999897555,1171902.899999999906868,1211479.499999999767169,1199210.439999999944121,11018188.029999999329448
20111118,1328141.030000000027940,1307914.899999999906868,1374175.449999999953434,1073830.120000000111759,1156630.149999999906868,1226398.119999999878928,1175514.299999999813735,1222156.999999999767169,1199826.520000000018626,11064588.589999999850988
20111121,1297857.770000000018626,1279602.760000000009313,1333442.890000000130385,1050888.040000000037253,1150893.489999999990687,1204186.839999999850988,1141206.000000000000000,1209984.649999999674037,1184578.539999999804422,10852641.980000000447035
20111122,1292089.530000000027940,1280983.839999999850988,1314773.800000000046566,1051206.680000000167638,1155507.760000000009313,1211590.599999999860302,1137594.599999999860302,1214042.099999999860302,1171024.780000000027940,10828814.689999997615814
20111123,1255317.000000000000000,1260958.179999999934807,1284224.379999999888241,1033681.479999999981374,1145780.379999999888241,1202071.479999999981374,1110509.099999999860302,1209557.549999999813735,1148691.879999999888241,10650792.429999995976686
20111125,1261806.270000000018626,1259231.829999999841675,1285921.570000000065193,1031451.000000000000000,1148648.709999999729916,1193610.040000000037253,1110509.099999999860302,1214896.299999999813735,1138218.520000000018626,10644294.339999999850988
20111128,1298578.800000000046566,1287889.239999999757856,1327219.860000000102445,1038461.080000000190921,1169350.569999999832362,1254955.479999999981374,1149030.699999999953434,1222584.099999999860302,1168098.400000000139698,10916169.230000000447035
20111129,1274784.810000000055879,1345204.059999999823049,1334008.619999999878928,1054711.720000000204891,1165609.269999999785796,1254426.639999999897555,1167689.599999999860302,1242230.699999999953434,1184886.580000000074506,11023553.000000000000000
20111130,1344003.689999999944121,1354181.079999999841675,1409250.709999999962747,1071281.000000000000000,1191299.529999999795109,1271878.359999999869615,1208016.899999999906868,1257819.849999999860302,1238947.599999999860302,11346679.719999998807907
20111201,1339677.510000000009313,1358324.320000000065193,1409816.440000000176951,1064908.200000000186265,1191050.109999999869615,1259186.199999999953434,1205609.299999999813735,1251626.899999999906868,1228936.300000000046566,11309136.280000001192093
20111202,1337514.420000000158325,1379040.519999999785796,1393976.000000000000000,1057579.479999999981374,1193544.309999999823049,1272407.199999999953434,1197182.699999999953434,1240522.300000000046566,1228936.300000000046566,11300704.230000000447035
20111205,1354819.139999999897555,1389053.349999999860302,1414908.010000000009313,1056623.560000000055879,1189179.459999999729916,1277166.759999999776483,1194173.199999999953434,1245861.050000000046566,1239101.620000000111759,11360887.150000002235174
20111206,1350492.959999999962747,1392160.779999999795109,1434142.830000000074506,1062359.080000000074506,1197410.319999999832362,1272407.199999999953434,1217647.299999999813735,1255257.250000000000000,1244800.359999999869615,11426679.080000000074506
