訓練日期,20120215 - 20120517
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10113316.940000001341105
真實報酬,113316.940000001341105

夏普值報酬,0.002631694000000
夏普值風險,0.017086889422147
夏普值,0.154018319834686

預期報酬,8942.479489030056357
風險,133614.846603308833437
趨勢值,0.066927289267334
找到最佳解世代,33
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
AAPL[0](7),BA[2](23),HD[9](4),INTC[11](9),JNJ[12](20),KO[14](1),MRK[17](17),PG[21](16),TRV[22](13),V[25](8),VZ[26](10),XOM[29](19),
Stock#,AAPL[0](7),BA[2](23),HD[9](4),INTC[11](9),JNJ[12](20),KO[14](1),MRK[17](17),PG[21](16),TRV[22](13),V[25](8),VZ[26](10),XOM[29](19),
張數,11450,11028,18092,31117,12897,24189,21809,12923,14086,28925,21906,9842,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,2.000000000000000,57.319999999948777,15.479999999981374,19.739999999990687,57.829999999958090,21.949999999953434,11.109999999986030,57.959999999962747,5.239999999990687,3.750000000000000,28.760000000009313,10.859999999986030,
20120215,814096.999999999883585,829473.199999999837019,827000.800000000046566,827109.599999999976717,833848.880000000004657,827285.750000000000000,829189.290000000037253,834237.609999999869615,835164.179999999934807,832465.250000000000000,828732.739999999990687,827919.900000000023283,9946528.200000001117587
20120216,821424.999999999883585,830134.879999999888241,830981.039999999920838,834888.849999999976717,837331.069999999948777,832849.219999999972060,831806.369999999995343,842637.560000000055879,837277.079999999958090,822920.000000000000000,833552.059999999939464,840616.079999999958090,9996423.210000000894070
20120217,821310.500000000000000,831017.119999999878928,845092.800000000046566,851692.030000000027940,838233.859999999869615,835268.119999999995343,840966.150000000023283,838889.889999999897555,843052.339999999967404,831597.500000000000000,842533.520000000018626,842682.900000000023283,10062340.730000000447035
20120221,842149.500000000000000,835097.479999999981374,848892.119999999995343,845157.459999999962747,838878.710000000079162,832365.439999999827705,831588.280000000027940,832557.619999999995343,834882.460000000079162,825812.500000000000000,843190.700000000069849,852032.799999999930151,10062609.070000000298023
20120222,839172.500000000116415,838847.000000000000000,842559.920000000041910,831777.150000000023283,838362.829999999958090,837687.020000000018626,833551.089999999967404,832816.079999999958090,830234.079999999958090,841432.000000000000000,837057.020000000018626,855477.500000000000000,10058978.189999999478459
20120223,844668.500000000000000,836531.119999999878928,849434.880000000004657,829598.959999999962747,839652.529999999911524,836719.460000000079162,839875.699999999953434,858403.619999999995343,830515.800000000046566,842299.750000000000000,835304.540000000037253,856461.699999999953434,10099470.559999998658895
20120224,854515.500000000000000,838847.000000000000000,849977.639999999897555,830843.640000000013970,831398.449999999837019,834542.449999999953434,833114.910000000032596,862151.289999999920838,825444.839999999967404,850109.500000000000000,835523.599999999976717,859611.140000000013970,10106083.959999999031425
20120227,860011.500000000000000,829473.199999999837019,849073.039999999920838,836755.869999999995343,831269.479999999981374,832607.329999999958090,832024.459999999962747,862022.060000000055879,825444.839999999967404,845192.250000000000000,835304.540000000037253,858528.520000000018626,10097711.089999999850988
20120228,875812.499999999883585,828921.799999999930151,854500.639999999897555,847646.819999999948777,840684.290000000037253,832607.329999999958090,837040.530000000027940,870938.929999999934807,822627.640000000013970,860233.250000000000000,835742.660000000032596,857642.739999999990687,10164403.129999998956919
20120229,887262.499999999883585,826605.919999999925494,860651.920000000041910,836444.699999999953434,839394.589999999967404,844943.719999999972060,832460.640000000013970,873911.219999999972060,816570.660000000032596,841432.000000000000000,834866.420000000041910,851343.859999999986030,10145892.149999998509884
20120301,890583.000000000000000,828039.559999999939464,858661.800000000046566,835822.359999999986030,836170.339999999967404,841799.149999999906868,824173.219999999972060,861505.139999999897555,822909.359999999986030,847506.250000000000000,841876.339999999967404,854591.719999999972060,10143642.240000000223517
20120302,891728.000000000000000,826054.520000000018626,857757.199999999953434,837689.380000000004657,835396.519999999902211,836719.460000000079162,827226.479999999981374,861634.369999999995343,817134.099999999976717,839985.750000000000000,847133.780000000027940,849670.719999999972060,10128134.279999997466803
20120305,872148.500000000000000,817562.959999999846332,857395.359999999986030,825864.919999999925494,837202.099999999860302,837445.129999999888241,838567.160000000032596,865252.810000000055879,824036.239999999990687,840564.250000000000000,854362.760000000009313,856363.280000000027940,10126769.469999998807907
20120306,867339.500000000000000,800249.000000000000000,839303.359999999986030,828043.109999999986030,829979.779999999911524,831639.770000000018626,816540.069999999948777,863831.280000000027940,802766.380000000004657,830440.500000000000000,847571.899999999906868,845044.979999999981374,10002753.630000000819564
20120307,868026.500000000000000,810835.879999999888241,857395.359999999986030,837378.209999999962747,829334.929999999934807,832123.549999999930151,813704.900000000023283,860471.299999999930151,801076.059999999939464,836225.500000000000000,851514.979999999981374,844749.719999999972060,10042840.890000000596046
20120308,886575.500000000116415,818004.079999999958090,865174.920000000041910,835200.020000000018626,836428.279999999911524,837928.909999999916181,815667.709999999962747,864606.660000000032596,804315.839999999967404,853002.000000000000000,859182.079999999958090,834907.719999999972060,10110997.720000000670552
20120309,891728.000000000000000,808299.440000000060536,870240.680000000051223,842356.930000000051223,835009.609999999869615,840831.589999999850988,820029.510000000009313,864994.350000000093132,811499.699999999953434,847217.000000000000000,856553.359999999986030,829691.459999999962747,10118455.629999998956919
20120312,902949.000000000000000,811718.119999999878928,879105.760000000009313,839867.569999999948777,839652.529999999911524,848572.069999999948777,830934.010000000009313,875074.289999999920838,811499.699999999953434,842589.000000000000000,861372.680000000051223,841993.959999999962747,10185332.690000001341105
20120313,929284.000000000000000,819548.000000000000000,889056.359999999986030,855426.069999999948777,842618.839999999967404,849781.520000000018626,834859.630000000004657,877529.660000000032596,822768.500000000000000,848084.750000000000000,864877.639999999897555,854886.979999999981374,10288725.949999999254942
20120314,964435.500000000000000,829693.760000000009313,895026.719999999972060,854492.560000000055879,839394.589999999967404,849297.739999999990687,833551.089999999967404,876883.509999999892898,830374.940000000060536,844324.500000000000000,864658.579999999958090,846619.699999999953434,10328757.189999999478459
20120315,957794.500000000116415,831899.359999999986030,890141.880000000004657,863516.489999999990687,839265.619999999878928,850749.079999999958090,830061.650000000023283,874686.600000000093132,832206.119999999995343,846060.000000000000000,866192.000000000000000,847308.640000000013970,10329885.940000001341105
20120316,957794.500000000116415,829362.919999999925494,887428.079999999958090,862894.150000000023283,839910.469999999972060,848572.069999999948777,829407.380000000004657,869129.709999999962747,833896.440000000060536,843746.000000000000000,866849.180000000051223,850753.339999999967404,10319748.240000000223517
20120319,983213.500000000000000,831568.520000000018626,883447.839999999967404,863205.319999999948777,841071.199999999837019,851474.750000000000000,826354.119999999995343,868612.789999999920838,832769.559999999939464,859365.500000000000000,868601.660000000032596,856166.439999999944121,10365855.199999999254942
20120320,991228.499999999883585,828701.239999999990687,893398.440000000060536,863516.489999999990687,837846.949999999837019,853893.649999999906868,823518.949999999953434,868612.789999999920838,833333.000000000000000,842589.000000000000000,868163.540000000037253,852328.059999999939464,10357134.610000001266599
20120321,985503.499999999883585,827267.599999999976717,900816.159999999916181,864450.000000000000000,835267.550000000046566,860182.790000000037253,822210.410000000032596,868483.560000000055879,824177.099999999976717,844324.500000000000000,871449.440000000060536,846521.280000000027940,10350657.889999998733401
20120322,980351.000000000000000,815247.079999999958090,898826.039999999920838,868184.039999999920838,831398.449999999837019,863811.140000000013970,820029.510000000009313,872618.919999999925494,816570.660000000032596,848084.750000000000000,868820.719999999972060,839828.719999999972060,10323775.030000001192093
20120323,974969.500000000116415,815798.479999999981374,896293.159999999916181,867561.699999999953434,832559.179999999934807,864536.810000000055879,828971.199999999953434,871455.850000000093132,819810.440000000060536,859076.250000000000000,863563.280000000027940,841993.959999999962747,10336593.809999998658895
20120326,992831.499999999883585,829142.359999999986030,906967.440000000060536,877207.970000000088476,840555.319999999948777,869616.500000000000000,843147.049999999930151,871843.539999999920838,828966.339999999967404,868332.250000000000000,861591.739999999990687,856560.119999999995343,10446766.129999998956919
20120327,1005083.000000000000000,825062.000000000000000,905339.159999999916181,877207.970000000088476,843521.630000000004657,869374.609999999869615,846200.309999999939464,867837.410000000032596,823754.519999999902211,866307.500000000000000,846914.719999999972060,852524.900000000023283,10429131.730000000447035
20120328,1010235.500000000000000,819768.559999999939464,902987.199999999953434,865072.339999999967404,846358.969999999972060,878808.319999999948777,835513.900000000023283,868354.329999999958090,827839.460000000079162,863125.750000000000000,838152.319999999948777,845044.979999999981374,10401265.630000000819564
20120329,997526.000000000000000,817011.559999999939464,902987.199999999953434,876274.459999999962747,845327.210000000079162,892837.939999999827705,828971.199999999953434,866028.190000000060536,826149.140000000013970,860522.500000000000000,833990.180000000051223,847210.219999999972060,10394839.799999998882413
20120330,980694.500000000116415,820209.680000000051223,910224.000000000000000,875029.780000000027940,850743.949999999837019,895256.839999999850988,837476.709999999962747,868612.789999999920838,833896.440000000060536,853291.250000000000000,837495.139999999897555,853607.520000000018626,10416542.600000001490116
20120402,1011953.000000000000000,829032.079999999958090,904434.560000000055879,883120.199999999953434,853968.199999999837019,896708.179999999934807,839875.699999999953434,873135.839999999967404,835727.619999999995343,860522.500000000000000,843847.880000000121072,856953.799999999930151,10489283.560000000521541
20120403,1029357.000000000116415,823297.520000000018626,904615.479999999981374,874718.609999999986030,849712.189999999944121,892112.270000000018626,844455.589999999967404,867062.030000000027940,835023.319999999948777,870357.000000000000000,842533.520000000018626,844749.719999999972060,10477998.250000001862645
20120404,1021227.500000000000000,812490.079999999958090,901901.680000000051223,869117.549999999930151,843392.659999999916181,888483.919999999925494,848599.299999999930151,869258.940000000060536,834178.160000000032596,860522.500000000000000,841000.099999999976717,836384.020000000018626,10426560.409999998286366
20120405,1036570.500000000000000,811607.839999999967404,915832.519999999902211,873473.930000000051223,842747.810000000055879,888725.810000000055879,847945.030000000027940,869905.089999999967404,829388.920000000041910,874985.000000000000000,825008.719999999972060,834809.299999999930151,10451004.470000000670552
20120409,1040692.500000000000000,798815.359999999986030,915108.839999999967404,863827.660000000032596,837331.069999999948777,881469.109999999869615,844673.679999999934807,863443.589999999967404,817697.539999999920838,864282.750000000000000,820627.520000000018626,825557.819999999948777,10373531.439999997615814
