訓練日期,20131105 - 20140207
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10652329.170000001788139
真實報酬,652329.170000001788139

夏普值報酬,0.056532917000000
夏普值風險,0.018909052372999
夏普值,2.989727665079899

預期報酬,11206.180589654630239
風險,143645.666099581023445
趨勢值,0.078012660555217
找到最佳解世代,83
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
AXP[1](6),CAT[3](4),DIS[6](5),INTC[11](14),MRK[17](1),MSFT[18](15),PFE[20](23),V[25](3),WMT[28](22),
Stock#,AXP[1](6),CAT[3](4),DIS[6](5),INTC[11](14),MRK[17](1),MSFT[18](15),PFE[20](23),V[25](3),WMT[28](22),
張數,13561,13244,16147,45800,24302,30915,35544,22624,14368,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,58.270000000018626,71.840000000083819,35.929999999934807,3.000000000000000,23.560000000055879,25.900000000139698,5.560000000055879,46.360000000102445,33.560000000055879,
20131105,1110704.170000000158325,1113230.040000000037253,1111756.879999999888241,1100577.000000000000000,1102362.280000000027940,1132751.500000000232831,1110400.120000000111759,1116314.520000000251457,1112404.120000000111759,10010501.629999998956919
20131106,1113687.590000000083819,1115481.520000000018626,1114178.929999999934807,1110653.000000000000000,1116943.479999999981374,1180360.600000000093132,1100803.239999999990687,1125816.600000000093132,1123036.439999999944121,10100962.399999998509884
20131107,1097414.390000000130385,1107932.440000000176951,1084306.979999999981374,1101951.000000000000000,1113541.199999999953434,1159338.400000000139698,1098670.600000000093132,1109301.080000000074506,1113697.240000000223517,9986154.330000001937151
20131108,1109076.850000000093132,1115746.399999999906868,1107397.189999999944121,1103325.000000000000000,1137357.159999999916181,1167994.600000000093132,1113243.640000000130385,1121518.040000000037253,1120162.839999999850988,10095822.719999998807907
20131111,1103923.670000000158325,1114554.440000000176951,1103521.909999999916181,1106989.000000000000000,1142217.560000000055879,1162120.750000000232831,1110400.120000000111759,1127174.040000000037253,1135249.240000000223517,10106151.730000000447035
20131112,1098906.100000000093132,1110581.239999999990687,1094318.119999999878928,1118897.000000000000000,1156555.740000000223517,1155010.300000000046566,1115376.280000000027940,1121518.040000000037253,1130938.839999999850988,10102102.660000000149012
20131113,1104466.110000000102445,1115216.640000000130385,1113694.520000000018626,1126683.000000000000000,1150480.240000000223517,1179742.300000000046566,1132792.840000000083819,1130115.160000000149012,1133668.760000000242144,10186860.569999998435378
