訓練日期,20140411 - 20140715
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10897486.900000000372529
真實報酬,897486.900000000372529

夏普值報酬,0.081048690000000
夏普值風險,0.025554880389178
夏普值,3.171554269309858

預期報酬,14228.207023541344824
風險,51468.698830565495882
趨勢值,0.276443884279657
找到最佳解世代,83
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,15
AAPL[0](2),AXP[1](3),CAT[3](12),CSCO[4](5),DIS[6](1),DD[7](11),IBM[10](30),INTC[11](20),JNJ[12](4),MCD[15](23),MSFT[18](8),TRV[22](7),UNH[23](25),VZ[26](17),WMT[28](26),
Stock#,AAPL[0](2),AXP[1](3),CAT[3](12),CSCO[4](5),DIS[6](1),DD[7](11),IBM[10](30),INTC[11](20),JNJ[12](4),MCD[15](23),MSFT[18](8),TRV[22](7),UNH[23](25),VZ[26](17),WMT[28](26),
張數,8915,7810,6519,29433,8601,9814,3406,25223,6905,6704,16937,7844,8334,14043,8670,
分配資金,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,
剩餘資金,2.300000000046566,4.400000000023283,33.059999999939464,8.550000000046566,2.489999999990687,0.979999999981374,179.919999999925494,22.109999999986030,57.299999999930151,87.279999999911524,25.680000000051223,4.440000000060536,29.340000000083819,44.790000000037253,29.699999999953434,
20140411,661762.750000000116415,660261.800000000046566,661385.609999999986030,661073.730000000097789,662365.500000000000000,656165.020000000018626,664997.059999999939464,660360.250000000000000,668944.649999999906868,665727.439999999944121,664125.450000000069849,669097.640000000013970,657998.640000000130385,661048.800000000046566,663284.699999999953434,9938609.039999999105930
20140414,664437.250000000000000,667759.400000000023283,670055.880000000004657,672552.600000000093132,667612.109999999986030,663819.939999999944121,673784.539999999920838,669944.989999999990687,670808.999999999883585,671224.719999999855645,663617.340000000083819,670666.440000000060536,659915.460000000195578,663857.400000000023283,670914.299999999930151,10020981.370000001043081
20140415,659623.150000000023283,671976.800000000046566,668230.559999999939464,673729.920000000041910,667956.149999999906868,664801.339999999967404,671230.039999999920838,675241.819999999948777,685033.299999999930151,676051.599999999860302,673271.430000000051223,673725.600000000093132,662665.680000000167638,658942.350000000093132,666579.299999999930151,10049069.039999999105930
20140416,660960.400000000023283,682598.400000000023283,671033.729999999981374,677850.540000000037253,679051.440000000060536,677853.959999999962747,669118.319999999948777,679277.500000000000000,681926.049999999930151,676051.599999999860302,684280.479999999981374,680706.760000000125729,651664.800000000046566,661470.090000000083819,669527.099999999976717,10103381.169999999925494
20140417,668538.150000000023283,673382.599999999976717,670381.829999999958090,683148.480000000097789,687996.479999999981374,680896.299999999930151,647353.979999999864958,682052.029999999911524,683376.099999999860302,672163.279999999911524,677675.050000000046566,679922.360000000102445,631579.860000000102445,668491.590000000083819,673341.899999999906868,10080309.990000000223517
20140421,676472.500000000000000,676897.100000000093132,669143.219999999972060,688740.750000000000000,680427.599999999976717,681288.859999999986030,655051.539999999920838,679781.959999999962747,690557.299999999930151,668274.959999999962747,676489.459999999962747,677726.040000000153668,624662.640000000130385,673827.930000000051223,672821.699999999953434,10092173.559999998658895
20140422,677185.699999999953434,680021.099999999976717,675988.169999999925494,692272.710000000079162,683351.940000000060536,684036.780000000027940,654642.819999999948777,677007.429999999934807,691800.199999999953434,665928.559999999823049,677336.310000000055879,681569.600000000093132,631413.180000000167638,672985.350000000093132,672474.900000000023283,10118024.749999998137355
20140423,668270.699999999953434,680489.699999999953434,673967.279999999911524,691684.050000000046566,683954.010000000009313,690023.319999999948777,653212.299999999930151,674737.359999999986030,692076.399999999906868,664654.799999999930151,672255.209999999962747,691296.160000000032596,627829.560000000055879,666104.280000000027940,676636.500000000000000,10107201.629999998956919
20140424,723097.950000000069849,682676.500000000000000,686353.380000000004657,686680.439999999944121,684556.080000000074506,688158.660000000032596,648069.239999999874271,674737.359999999986030,690281.099999999860302,669414.639999999897555,675134.500000000000000,694904.400000000139698,638330.400000000139698,649954.830000000074506,678977.400000000023283,10171336.880000000819564
20140425,728446.949999999953434,679708.700000000069849,682507.169999999925494,676967.550000000046566,672858.719999999972060,677853.959999999962747,646059.699999999953434,662378.089999999967404,689107.250000000000000,675381.199999999953434,675981.349999999976717,692708.080000000074506,630579.780000000027940,645180.209999999962747,681665.099999999976717,10117393.810000000521541
20140428,756618.350000000093132,679943.000000000000000,679704.000000000000000,677556.210000000079162,668988.270000000018626,660973.879999999888241,658014.759999999892898,664143.699999999953434,699810.000000000000000,672565.519999999902211,692240.869999999995343,703140.600000000093132,631246.500000000000000,654448.590000000083819,691548.900000000023283,10190953.150000000372529
20140429,754389.600000000093132,685644.300000000046566,686483.759999999892898,681676.830000000074506,676385.130000000004657,680601.879999999888241,664724.579999999958090,667927.150000000023283,697669.449999999953434,680543.279999999911524,686143.550000000046566,713024.040000000153668,626746.140000000130385,656835.900000000023283,690768.599999999976717,10249574.190000001341105
20140430,751536.800000000046566,682832.700000000069849,687135.660000000032596,680205.180000000051223,682405.830000000074506,697383.819999999948777,669356.739999999874271,673223.979999999981374,699464.750000000000000,679738.799999999930151,684280.479999999981374,710513.960000000079162,625412.700000000186265,656274.180000000051223,691115.399999999906868,10270890.980000000447035
20140501,753319.800000000046566,678068.599999999976717,684984.389999999897555,677261.880000000121072,684298.050000000046566,680798.160000000032596,659343.099999999976717,667170.459999999962747,694216.949999999953434,676923.119999999878928,677505.680000000051223,712474.960000000079162,624662.640000000130385,663155.250000000000000,691028.699999999953434,10225221.739999998360872
20140502,754657.050000000046566,678927.700000000069849,684593.250000000000000,675201.570000000065193,690748.800000000046566,680503.739999999990687,652224.559999999939464,666161.540000000037253,685792.849999999976717,680074.000000000000000,672255.209999999962747,713808.440000000060536,625329.360000000102445,661750.949999999953434,686000.099999999976717,10208039.119999999180436
20140505,765355.050000000046566,682286.000000000000000,681398.939999999944121,675790.230000000097789,698575.709999999962747,689827.040000000037253,651611.479999999864958,660108.020000000018626,690557.299999999930151,678129.839999999967404,667851.590000000083819,711063.040000000153668,626996.160000000149012,665542.560000000055879,681665.099999999976717,10226768.060000000521541
20140506,757064.100000000093132,673226.400000000023283,677161.589999999967404,668726.310000000055879,696941.520000000018626,686392.140000000013970,647422.099999999976717,660864.709999999962747,687173.849999999976717,676856.079999999958090,661584.900000000139698,705023.160000000032596,627246.180000000167638,666666.000000000000000,676376.400000000023283,10168735.440000001341105
20140507,754389.600000000093132,687128.200000000069849,682050.839999999967404,673141.260000000125729,690576.780000000027940,692084.259999999892898,644935.719999999972060,665152.619999999995343,696840.849999999860302,683627.119999999878928,667682.220000000088476,714357.520000000018626,649331.280000000027940,675513.090000000083819,675942.899999999906868,10252764.259999999776483
20140508,748862.300000000046566,692126.600000000093132,684136.919999999925494,677556.210000000079162,701844.089999999967404,687766.099999999976717,643607.379999999888241,664395.929999999934807,694009.799999999930151,683560.079999999958090,671408.360000000102445,715691.000000000000000,640830.600000000093132,680989.860000000102445,682271.999999999883585,10269067.229999998584390
