訓練日期,20140718 - 20141017
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10242811.490000000223517
真實報酬,242811.490000000223517

夏普值報酬,0.015581149000000
夏普值風險,0.022697045202910
夏普值,0.686483586771135

預期報酬,7917.419639780065154
風險,156859.625089123350335
趨勢值,0.050474554145349
找到最佳解世代,53
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AAPL[0](5),BA[2](15),GS[8](3),HD[9](1),IBM[10](16),JNJ[12](6),KO[14](12),NKE[19](2),TRV[22](17),WMT[28](14),
Stock#,AAPL[0](5),BA[2](15),GS[8](3),HD[9](1),IBM[10](16),JNJ[12](6),KO[14](12),NKE[19](2),TRV[22](17),WMT[28](14),
張數,10742,7944,5877,12570,5195,9963,23798,26130,10559,13053,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,27.219999999972060,9.280000000027940,87.220000000088476,56.500000000000000,14.449999999953434,13.689999999944121,8.039999999920838,4.899999999906868,62.699999999953434,9.670000000041910,
20140718,1014394.280000000027940,1013981.440000000060536,1007816.410000000032596,1006662.099999999976717,1000051.949999999953434,1014247.089999999967404,1009757.179999999934807,1012803.699999999837019,1006757.760000000009313,1006265.440000000060536,10092737.349999999627471
20140721,1009130.699999999953434,1019224.480000000097789,1009285.660000000032596,1002011.199999999953434,991480.199999999953434,1008966.699999999953434,1009043.239999999874271,1003658.199999999837019,1005913.040000000037253,1002088.479999999981374,10060801.900000002235174
20140722,1017509.459999999962747,1030663.840000000083819,1028679.760000000125729,1012444.300000000046566,1008312.000000000000000,1020922.299999999930151,980247.659999999916181,1006532.500000000000000,967583.869999999878928,1000391.590000000083819,10073287.279999999329448
20140723,1044042.199999999953434,1006593.520000000018626,1039258.360000000102445,1018477.899999999906868,1005922.299999999930151,1018132.659999999916181,971204.419999999925494,1010974.599999999860302,969167.719999999972060,1004960.140000000013970,10088733.820000000298023
20140724,1042323.479999999981374,988242.880000000121072,1035967.239999999990687,1020740.500000000000000,1014286.250000000000000,1018232.289999999920838,975012.099999999860302,1026913.899999999790452,980782.619999999878928,996606.219999999972060,10099107.479999998584390
20140725,1049198.360000000102445,978710.080000000074506,1030913.020000000135042,1018603.599999999976717,1009922.449999999953434,1017335.619999999995343,975726.039999999920838,1015416.699999999837019,972546.599999999860302,991646.080000000074506,10060018.550000000745058
20140728,1063700.059999999823049,977597.920000000041910,1034145.369999999995343,1019106.399999999906868,1017091.549999999930151,1017335.619999999995343,968110.679999999934807,1024300.900000000023283,970223.619999999878928,988252.299999999930151,10079864.419999999925494
20140729,1056825.179999999934807,971719.359999999986030,1031735.800000000046566,1017975.100000000093132,1010805.599999999860302,1015841.169999999925494,960257.339999999967404,1020381.399999999790452,962198.780000000027940,984727.989999999990687,10032467.719999998807907
20140730,1054354.520000000018626,971481.040000000037253,1033028.739999999990687,1027779.700000000069849,1007844.449999999953434,1019228.589999999967404,942884.799999999813735,1040240.199999999953434,960298.159999999916181,976113.010000000009313,10033253.209999999031425
20140731,1026962.419999999925494,957102.400000000023283,1016044.210000000079162,1016340.999999999883585,995740.099999999860302,997210.359999999986030,935031.459999999846332,1007838.999999999883585,945726.739999999990687,960449.410000000032596,9858447.099999999627471
20140801,1032655.679999999934807,956308.000000000000000,1000646.470000000088476,1002514.000000000000000,982648.699999999953434,995317.390000000013970,935031.459999999846332,1003135.599999999976717,946254.689999999944121,959927.290000000153668,9814439.279999999329448
20140804,1026855.000000000000000,952733.200000000069849,1009109.350000000093132,1006033.599999999976717,985194.249999999883585,997907.769999999902211,937649.239999999874271,1008100.299999999813735,949316.800000000046566,959927.290000000153668,9832826.800000000745058
20140805,1021806.260000000009313,963378.160000000032596,995768.560000000055879,1006033.599999999976717,971998.949999999953434,994520.349999999860302,932413.679999999934807,1004964.699999999953434,941080.780000000027940,957316.690000000060536,9789281.729999998584390
20140806,1020087.539999999920838,940102.240000000107102,997649.200000000186265,1012192.899999999906868,966128.599999999976717,1003387.419999999925494,950024.199999999953434,1007838.999999999883585,947205.000000000000000,968542.270000000135042,9813158.370000001043081
20140807,1014931.380000000004657,952018.240000000107102,993887.920000000041910,1011564.400000000023283,957452.950000000069849,995616.280000000027940,936459.339999999967404,997387.000000000000000,949316.800000000046566,965279.020000000135042,9773913.330000000074506
20140808,1017724.299999999930151,958294.000000000000000,1012459.239999999990687,1036201.600000000093132,969557.299999999930151,1007073.729999999981374,938839.140000000013970,1006793.799999999930151,955441.020000000018626,974677.180000000051223,9877061.309999998658895
20140811,1031151.799999999930151,959644.479999999981374,1013634.640000000130385,1041858.099999999976717,973921.099999999976717,1007870.769999999902211,941694.899999999906868,1006793.799999999930151,957341.639999999897555,970630.750000000000000,9904541.979999998584390
20140812,1030936.959999999962747,957022.959999999962747,1012870.630000000121072,1042360.900000000023283,973245.750000000000000,1002590.379999999888241,944312.679999999934807,1002612.999999999883585,961882.010000000009313,968803.330000000074506,9896638.599999999627471
20140813,1044579.299999999930151,969018.400000000023283,1013105.710000000079162,1044874.900000000023283,976414.699999999837019,1013649.309999999939464,950500.159999999916181,1009406.799999999930151,963782.629999999888241,966323.260000000009313,9951655.169999999925494
20140814,1047372.219999999972060,985939.119999999995343,1015221.430000000051223,1054176.699999999953434,976051.049999999930151,1016438.949999999953434,956211.679999999934807,1009929.399999999906868,973813.679999999934807,971022.340000000083819,10006176.569999998435378
20140815,1052528.380000000121072,978392.319999999948777,1010343.520000000135042,1052039.800000000046566,973453.549999999930151,1007970.399999999906868,972870.280000000027940,1007838.999999999883585,972863.369999999878928,964626.370000000111759,9992926.990000002086163
20140818,1065203.939999999944121,992850.400000000023283,1025917.570000000181608,1050782.800000000046566,983739.650000000023283,1023213.789999999920838,984055.339999999967404,1026391.299999999930151,981944.109999999869615,972327.640000000013970,10106426.540000000968575
20140819,1079920.479999999981374,997616.800000000046566,1022450.140000000130385,1109107.600000000093132,987428.099999999860302,1025804.169999999925494,981913.519999999902211,1025868.699999999837019,981099.389999999897555,977418.309999999939464,10188627.209999999031425
20140820,1080350.159999999916181,1011677.679999999934807,1022861.530000000144355,1140784.000000000000000,987583.949999999953434,1028294.919999999925494,981675.539999999920838,1031094.699999999953434,983211.189999999944121,978462.549999999930151,10245996.220000000670552
20140821,1080457.579999999841675,1012869.280000000027940,1029443.770000000135042,1145812.000000000000000,993454.299999999930151,1038058.659999999916181,985483.219999999855645,1031355.999999999883585,991975.159999999916181,986163.819999999948777,10295073.789999999105930
20140822,1088406.659999999916181,1012551.520000000018626,1031324.410000000032596,1144303.600000000093132,989194.399999999906868,1027198.989999999874271,978581.799999999813735,1036059.399999999906868,989968.949999999953434,988513.360000000102445,10286103.089999997988343
