訓練日期,20150209 - 20150512
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10611876.290000000968575
真實報酬,611876.290000000968575

夏普值報酬,0.052487629000000
夏普值風險,0.016062728940712
夏普值,3.267665736857896

預期報酬,10033.829436182131758
風險,117747.291422796799452
趨勢值,0.085214949022934
找到最佳解世代,20
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AXP[1](30),CAT[3](17),DIS[6](1),DD[7](13),GS[8](4),HD[9](12),JPM[13](3),MSFT[18](14),PFE[20](9),UNH[23](7),WBA[27](5),
Stock#,AXP[1](30),CAT[3](17),DIS[6](1),DD[7](13),GS[8](4),HD[9](12),JPM[13](3),MSFT[18](14),PFE[20](9),UNH[23](7),WBA[27](5),
張數,10693,10925,8910,13188,4956,8337,15703,21435,27406,8448,11938,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,78.069999999948777,20.750000000116415,91.800000000046566,41.159999999916181,10.919999999925494,23.519999999902211,43.329999999958090,31.650000000023283,32.979999999981374,85.200000000069849,11.299999999930151,
20150209,908769.209999999962747,925040.500000000116415,906506.100000000093132,906452.400000000023283,903093.239999999874271,903254.099999999976717,907990.789999999920838,908018.250000000000000,906349.400000000023283,899712.719999999972060,912074.500000000000000,9987271.210000000894070
20150210,917965.189999999944121,916628.250000000232831,908199.000000000116415,910936.319999999832362,914690.279999999911524,922679.309999999939464,918040.709999999962747,913162.650000000023283,935947.879999999888241,920663.760000000009313,915536.519999999902211,10094459.869999999180436
20150211,919783.000000000000000,911275.000000000116415,907753.500000000116415,903023.519999999902211,930004.319999999948777,919677.989999999874271,916627.439999999944121,908446.950000000069849,938688.479999999981374,928098.000000000000000,949440.439999999944121,10132828.639999998733401
20150212,860650.709999999962747,912586.000000000116415,922989.599999999976717,923069.279999999795109,940560.599999999976717,935101.439999999827705,935471.039999999920838,923665.800000000046566,955680.199999999953434,928013.520000000135042,954573.779999999911524,10192371.969999998807907
20150213,834987.509999999892898,930066.000000000116415,928246.500000000116415,928608.239999999874271,936694.919999999925494,932850.449999999953434,937041.339999999967404,940385.099999999976717,949376.819999999948777,924634.320000000065193,939890.039999999920838,10182791.239999998360872
20150217,845680.509999999892898,932797.250000000116415,927801.000000000116415,930982.079999999958090,941750.039999999920838,933767.519999999902211,943793.630000000004657,934168.949999999953434,947732.459999999962747,927337.680000000167638,931175.299999999930151,10196996.419999999925494
20150218,853165.609999999986030,926460.750000000116415,925484.400000000023283,927948.839999999850988,935059.439999999827705,933684.149999999906868,932330.439999999944121,933097.200000000069849,944991.859999999869615,927422.160000000032596,928668.319999999948777,10168323.169999999925494
20150219,838409.270000000018626,910073.250000000116415,925751.700000000069849,933092.159999999916181,937240.079999999958090,924930.299999999930151,930132.019999999902211,932454.150000000023283,943073.439999999944121,929618.640000000130385,920431.099999999860302,10125216.109999999403954
20150220,853700.259999999892898,922527.750000000116415,931632.300000000046566,930322.680000000051223,949134.479999999864958,935768.399999999906868,939082.729999999864958,940170.750000000000000,947184.340000000083819,951498.960000000079162,920789.239999999874271,10221821.889999998733401
20150223,858725.969999999972060,912149.000000000116415,935552.699999999953434,929531.400000000023283,943187.279999999911524,936101.879999999888241,932016.380000000004657,946386.900000000023283,942525.319999999948777,983432.400000000139698,938218.719999999972060,10257837.950000001117587
20150224,864714.049999999930151,923183.250000000116415,932701.500000000116415,935466.000000000000000,952653.239999999874271,973368.269999999902211,955099.789999999920838,945100.800000000046566,941155.020000000018626,975237.840000000083819,959707.119999999878928,10358396.879999998956919
20150225,878721.880000000004657,930284.500000000232831,940720.500000000000000,936257.279999999795109,950175.239999999874271,969699.989999999874271,960124.750000000000000,942957.300000000046566,949924.939999999944121,963579.600000000093132,955170.679999999934807,10377626.660000000149012
20150226,890270.319999999948777,915535.750000000116415,931721.400000000023283,925047.479999999981374,952554.119999999878928,961946.579999999841675,967034.069999999948777,944457.750000000116415,948006.520000000018626,960284.880000000004657,974749.000000000000000,10371617.870000001043081
20150227,872519.939999999944121,905703.250000000232831,927444.599999999976717,924783.719999999972060,940610.159999999916181,956694.269999999902211,962323.169999999925494,939956.400000000023283,940606.900000000023283,960031.440000000060536,991820.339999999967404,10322504.189999999478459
