訓練日期,20150609 - 20150909
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9795312.759999999776483
真實報酬,-204687.240000000223517

夏普值報酬,-0.029168724000000
夏普值風險,0.026746217272141
夏普值,-1.090573807249441

預期報酬,3190.995879677574067
風險,308749.120616580708884
趨勢值,0.010335238763774
找到最佳解世代,2
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
DIS[6](11),HD[9](1),INTC[11](25),JNJ[12](10),MMM[16](18),MSFT[18](16),NKE[19](2),TRV[22](5),UNH[23](7),V[25](3),WBA[27](4),WMT[28](20),
Stock#,DIS[6](11),HD[9](1),INTC[11](25),JNJ[12](10),MMM[16](18),MSFT[18](16),NKE[19](2),TRV[22](5),UNH[23](7),V[25](3),WBA[27](4),WMT[28](20),
張數,7624,7580,26624,8506,5321,18222,16430,8524,7127,12312,10008,11476,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,106.039999999920838,63.599999999976717,1.799999999930151,85.240000000107102,117.609999999986030,40.940000000060536,3.400000000023283,26.760000000009313,115.430000000051223,56.839999999967404,66.919999999925494,60.640000000013970,
20150609,827462.519999999902211,830301.000000000000000,832001.799999999930151,835459.500000000000000,835408.189999999944121,831875.239999999990687,832675.800000000046566,833673.959999999962747,833903.160000000032596,836657.239999999990687,842440.279999999911524,831726.359999999986030,10003589.049999998882413
20150610,838746.039999999920838,841292.000000000000000,847177.479999999981374,841158.520000000018626,846369.449999999953434,849368.360000000102445,848941.500000000000000,845437.080000000074506,845021.280000000027940,857341.399999999906868,855650.839999999850988,837005.320000000065193,10153513.270000001415610
20150611,843472.919999999925494,843641.800000000046566,847976.199999999953434,844220.680000000051223,850732.670000000041910,846270.619999999995343,853377.599999999976717,853534.880000000004657,850509.069999999948777,857464.520000000018626,858653.239999999990687,837120.079999999958090,10186978.280000001192093
20150612,838364.839999999967404,838411.599999999976717,833865.479999999981374,836650.340000000083819,841048.449999999953434,837706.280000000027940,852556.099999999976717,847909.040000000037253,838606.980000000097789,853647.799999999930151,851347.399999999906868,831267.320000000065193,10101385.630000000819564
20150615,840118.359999999986030,833939.400000000023283,835729.159999999916181,829335.180000000051223,829501.880000000004657,828777.500000000000000,849105.800000000046566,842112.720000000088476,848085.890000000130385,844290.679999999934807,844942.279999999911524,825529.320000000065193,10051472.169999999925494
20150616,846827.479999999981374,835607.000000000000000,842385.159999999916181,836735.400000000139698,832800.900000000023283,835155.200000000069849,858963.800000000046566,848079.520000000018626,866402.280000000027940,849707.960000000079162,859553.959999999846332,830349.239999999990687,10142571.900000000372529
20150617,850105.799999999930151,837426.199999999953434,850638.599999999860302,839882.620000000111759,835248.559999999939464,837706.280000000027940,860606.800000000046566,850551.479999999981374,853502.410000000032596,846506.839999999967404,856951.880000000004657,834710.120000000111759,10153841.589999999850988
20150618,863295.319999999948777,847886.599999999976717,862086.920000000041910,853747.400000000139698,849455.630000000004657,851372.780000000027940,870793.400000000023283,864957.040000000037253,861698.460000000079162,855740.839999999967404,878769.319999999948777,837579.120000000111759,10297386.830000001937151
20150619,858720.919999999925494,852283.000000000000000,853833.479999999981374,849494.400000000139698,845890.559999999939464,840075.140000000130385,875229.500000000116415,847738.560000000055879,857707.340000000083819,845768.119999999995343,885975.079999999841675,834824.880000000004657,10247544.980000000447035
20150622,865658.759999999892898,857134.199999999953434,858892.039999999920838,851450.780000000144355,849774.890000000013970,842444.000000000000000,877365.400000000023283,852767.720000000088476,857137.180000000051223,850692.920000000041910,878268.919999999925494,835398.680000000051223,10276989.490000000223517
20150623,872367.879999999888241,857968.000000000000000,854365.960000000079162,848813.920000000158325,850626.250000000000000,836612.959999999962747,880651.400000000023283,852426.760000000009313,874883.410000000032596,854755.880000000004657,871663.640000000013970,832873.959999999962747,10288014.019999999552965
20150624,867488.519999999902211,851676.599999999976717,849573.639999999897555,844986.220000000088476,838387.949999999953434,831693.020000000018626,872600.700000000069849,842027.479999999981374,849440.020000000018626,847861.159999999916181,862256.119999999995343,830693.520000000018626,10188688.949999997392297
20150625,872672.839999999967404,850842.799999999930151,851703.559999999939464,843199.960000000195578,829767.929999999934807,831875.239999999990687,864385.700000000069849,833759.200000000069849,871961.340000000083819,844906.280000000027940,864357.799999999930151,824726.000000000000000,10184162.650000000372529
20150626,876789.799999999930151,853571.599999999976717,825878.279999999911524,847623.080000000074506,835993.500000000000000,824768.660000000032596,901353.200000000069849,834696.839999999967404,878518.180000000051223,846506.839999999967404,868461.079999999841675,827709.760000000009313,10221874.820000000298023
20150629,861999.239999999874271,837956.800000000046566,809105.159999999916181,830951.320000000181608,819285.559999999939464,808551.079999999958090,884594.600000000093132,819524.119999999995343,863836.560000000055879,821513.479999999981374,843541.159999999916181,819676.560000000055879,10020539.640000000596046
20150630,870309.399999999906868,842429.000000000000000,809903.880000000004657,829080.000000000000000,821147.910000000032596,804542.239999999990687,887387.699999999953434,823956.599999999976717,869609.430000000051223,826807.640000000013970,845142.439999999944121,814053.320000000065193,10044373.559999998658895
20150701,877857.159999999916181,849554.199999999953434,803514.119999999878928,837671.060000000055879,828331.260000000009313,810008.840000000083819,899053.000000000000000,846459.959999999962747,879444.690000000060536,835426.039999999920838,858453.079999999841675,824955.520000000018626,10150732.929999999701977
