訓練日期,20150910 - 20151210
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11138467.809999998658895
真實報酬,1138467.809999998658895

夏普值報酬,0.105146781000000
夏普值風險,0.038012968297998
夏普值,2.766076570914292

預期報酬,22109.802290823688963
風險,171813.795887523534475
趨勢值,0.128684673873905
找到最佳解世代,4
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AAPL[0](17),BA[2](14),DIS[6](13),HD[9](3),JNJ[12](4),KO[14](8),MCD[15](1),PG[21](7),TRV[22](6),UNH[23](24),
Stock#,AAPL[0](17),BA[2](14),DIS[6](13),HD[9](3),JNJ[12](4),KO[14](8),MCD[15](1),PG[21](7),TRV[22](6),UNH[23](24),
張數,9078,7538,9812,8774,10843,26109,10478,14602,10154,8689,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,58.299999999930151,84.299999999930151,59.080000000074506,27.219999999972060,58.540000000037253,25.300000000046566,84.459999999962747,55.039999999920838,34.079999999958090,69.880000000004657,
20150910,1021968.759999999892898,1006784.200000000069849,1006770.280000000027940,1004562.479999999981374,1005421.500000000000000,1003133.080000000074506,998113.959999999962747,997663.679999999818392,1006193.939999999944121,1014684.409999999916181,10065296.290000000968575
20150911,1036856.679999999818392,1015226.759999999892898,1025216.840000000083819,1012897.779999999911524,1007698.530000000144355,995561.470000000088476,1020746.439999999944121,999123.879999999888241,1010255.539999999920838,1031454.180000000051223,10155038.099999999627471
20150914,1046842.479999999981374,1013417.640000000013970,1018740.920000000041910,1006668.239999999990687,1011927.299999999930151,994778.200000000069849,1016136.119999999995343,993867.159999999916181,1008123.199999999953434,1023634.079999999958090,10134135.339999999850988
20150915,1055648.140000000130385,1027513.700000000069849,1014914.240000000107102,1019390.540000000037253,1023637.740000000107102,1005221.800000000046566,1028919.279999999911524,1014163.939999999944121,1024166.519999999902211,1043010.550000000046566,10256586.450000001117587
20150916,1056828.279999999795109,1034297.899999999790452,1020114.599999999976717,1033779.899999999906868,1025914.770000000018626,1022192.650000000023283,1034158.279999999911524,1023655.239999999874271,1034828.219999999972060,1052742.229999999981374,10338512.070000000298023
20150917,1034224.059999999939464,1036182.399999999790452,1022469.480000000097789,1034569.559999999939464,1028408.660000000032596,1028197.720000000088476,1025251.979999999981374,1025699.519999999902211,1032289.719999999972060,1071076.020000000018626,10338369.119999999180436
20150918,1029957.399999999906868,1025930.719999999972060,1009125.160000000149012,1010090.099999999976717,1012686.310000000055879,1017754.119999999995343,1016974.359999999986030,1021318.919999999925494,1011981.719999999972060,1064211.709999999962747,10220030.519999999552965
20150921,1045934.679999999818392,1025403.060000000055879,1014718.000000000000000,1022900.140000000013970,1009867.130000000004657,1023237.010000000009313,1025880.660000000032596,1031686.339999999967404,1020714.159999999916181,1076984.540000000037253,10297325.719999998807907
20150922,1029503.500000000000000,1010100.920000000041910,1005690.960000000079162,1016056.419999999925494,1011059.859999999986030,1012793.410000000032596,1018546.059999999939464,1024969.419999999925494,1005077.000000000000000,1068208.649999999906868,10202006.200000001117587
20150923,1037855.259999999892898,992612.759999999892898,996663.920000000041910,1019302.799999999930151,1008349.109999999986030,1012010.140000000013970,1020432.099999999860302,1025991.559999999939464,1006092.399999999906868,1071249.799999999813735,10190559.849999997764826
20150924,1044028.299999999930151,978139.799999999930151,987342.520000000135042,1020794.380000000004657,1002819.180000000051223,1022192.650000000023283,1019489.080000000074506,1042053.759999999892898,1003858.519999999902211,1052220.890000000130385,10172939.080000000074506
20150925,1041395.679999999818392,987637.679999999818392,984202.680000000051223,1024303.979999999981374,986771.540000000037253,1034463.880000000004657,1022632.479999999981374,1061182.379999999888241,1014520.219999999972060,1011208.810000000055879,10168319.330000000074506
20150928,1020788.619999999878928,965928.239999999874271,966442.960000000079162,1001140.619999999878928,990783.450000000069849,1032114.070000000065193,1005553.339999999850988,1048040.579999999841675,1006092.399999999906868,979320.180000000051223,10016204.459999999031425
20150929,990104.979999999981374,970601.799999999930151,975568.120000000111759,990699.559999999939464,1008891.260000000125729,1035508.239999999990687,1021479.900000000023283,1055487.600000000093132,1010052.459999999962747,992527.459999999962747,10050921.380000002682209
20150930,1001361.699999999953434,987185.399999999790452,1002845.480000000097789,1013336.479999999981374,1012252.589999999967404,1047518.380000000004657,1032481.799999999930151,1050522.919999999925494,1010661.699999999953434,1008080.770000000018626,10166247.219999998807907
20151001,994825.539999999920838,984622.479999999981374,1007457.120000000111759,1026848.439999999944121,1010300.850000000093132,1039163.500000000000000,1035101.299999999930151,1050668.939999999944121,998578.439999999944121,1013294.170000000041910,10160860.779999999329448
