訓練日期,20160229 - 20160531
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11020109.810000000521541
真實報酬,1020109.810000000521541

夏普值報酬,0.093310981000000
夏普值風險,0.027108093013657
夏普值,3.442181674416879

預期報酬,19330.065915123039304
風險,180068.879171586420853
趨勢值,0.107348177008996
找到最佳解世代,88
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AXP[1](3),CVX[5](4),JPM[13](7),MCD[15](13),MRK[17](8),PFE[20](9),TRV[22](23),V[25](14),WBA[27](28),XOM[29](2),
Stock#,AXP[1](3),CVX[5](4),JPM[13](7),MCD[15](13),MRK[17](8),PFE[20](9),TRV[22](23),V[25](14),WBA[27](28),XOM[29](2),
張數,18057,11855,17379,8542,19747,33079,9219,13749,12567,12232,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,3.339999999967404,30.750000000116415,12.339999999967404,73.479999999981374,11.920000000041910,21.829999999958090,107.260000000009313,35.229999999981374,43.810000000055879,34.000000000000000,
20160229,1003611.399999999906868,989211.950000000069849,978450.039999999920838,1001110.459999999962747,991508.790000000037253,981475.760000000009313,991334.140000000013970,995325.339999999967404,992082.790000000037253,980428.800000000046566,9904539.470000000670552
20160301,1025640.939999999944121,1021101.900000000023283,1028849.140000000013970,1015290.179999999934807,1021919.170000000041910,993714.989999999874271,1015395.729999999981374,1026260.589999999967404,1009802.260000000009313,994250.959999999962747,10152225.859999999403954
20160302,1031419.179999999934807,1033075.450000000069849,1038581.379999999888241,1012129.640000000013970,1032187.610000000102445,991730.250000000000000,1016041.060000000055879,1021585.929999999934807,998617.630000000004657,1011620.400000000023283,10186988.530000001192093
20160303,1048934.470000000204891,1037698.900000000139698,1042057.179999999934807,996839.459999999962747,1028830.620000000111759,988753.140000000013970,1012353.459999999962747,1016223.819999999948777,1004398.450000000069849,1007950.800000000046566,10184040.300000000745058
20160304,1052545.870000000111759,1042440.900000000139698,1043621.289999999920838,1001025.040000000037253,1028435.680000000051223,982798.920000000041910,1017884.860000000102445,1016086.330000000074506,998491.960000000079162,1006605.280000000027940,10189936.130000000819564
20160307,1065366.339999999850988,1074923.600000000093132,1041709.599999999976717,1000768.780000000027940,1039494.000000000000000,985445.239999999874271,1017977.049999999930151,989138.289999999920838,994721.860000000102445,1033148.719999999972060,10242693.480000000447035
20160308,1073130.850000000093132,1052043.450000000186265,1021549.959999999962747,1011617.119999999995343,1035742.070000000065193,971221.269999999902211,1022033.409999999916181,970989.609999999986030,1010304.940000000060536,1010764.159999999916181,10179396.839999999850988
20160309,1066269.189999999944121,1100411.850000000093132,1027458.819999999948777,1022038.359999999986030,1033964.840000000083819,983791.289999999920838,1026458.530000000027940,971814.550000000046566,1025511.010000000009313,1007950.800000000046566,10265669.240000000223517
20160310,1060852.089999999850988,1113689.450000000186265,1018595.529999999911524,1024942.640000000013970,1047392.800000000046566,978829.439999999944121,1028302.330000000074506,965490.010000000009313,1013698.030000000027940,1005259.760000000125729,10257052.079999998211861
20160311,1073672.560000000055879,1121276.649999999906868,1031282.200000000069849,1038353.579999999958090,1050552.320000000298023,1008931.329999999958090,1047754.420000000041910,984876.099999999976717,1023123.280000000027940,1005382.079999999958090,10385204.519999999552965
20160314,1075658.830000000074506,1117483.050000000279397,1027458.819999999948777,1049885.280000000027940,1048182.680000000051223,995699.729999999981374,1040194.839999999967404,982951.239999999874271,1024505.650000000023283,1008073.119999999995343,10370093.240000000223517
20160315,1069519.449999999720603,1117601.600000000093132,1028849.140000000013970,1054412.540000000037253,1035149.660000000032596,977175.489999999874271,1050335.739999999990687,988725.819999999948777,1021992.250000000000000,1013088.239999999874271,10356849.930000001564622
20160316,1078006.240000000223517,1130997.750000000000000,1023983.020000000018626,1055181.319999999832362,1025671.099999999976717,960635.989999999874271,1057342.180000000167638,995050.359999999986030,1031794.510000000009313,1013699.840000000083819,10372362.310000000521541
20160317,1084867.899999999906868,1148661.700000000186265,1021028.589999999967404,1052106.199999999953434,1017574.830000000074506,970559.689999999944121,1067944.030000000027940,1005637.089999999967404,1046874.910000000032596,1028745.199999999953434,10444000.139999998733401
20160318,1105452.879999999888241,1158145.700000000186265,1051094.259999999776483,1059964.839999999850988,1031792.670000000041910,974198.379999999888241,1067298.699999999953434,1014436.449999999953434,1054917.790000000037253,1029968.400000000023283,10547270.069999998435378
20160321,1105272.310000000055879,1143326.950000000186265,1050746.680000000167638,1057658.500000000000000,1042653.520000000018626,994707.359999999986030,1069787.830000000074506,1014298.959999999962747,1050016.659999999916181,1022873.840000000083819,10551342.610000001266599
20160322,1094438.109999999869615,1132183.250000000000000,1046923.300000000046566,1057743.919999999925494,1047195.330000000074506,1004961.849999999976717,1070064.400000000139698,1003162.269999999902211,1040591.410000000032596,1028989.840000000083819,10526253.679999999701977
20160323,1094799.250000000000000,1109540.200000000186265,1041709.599999999976717,1060904.459999999962747,1048182.680000000051223,998676.839999999967404,1068497.169999999925494,1016223.819999999948777,1034810.590000000083819,1024464.000000000000000,10497808.609999999403954
20160324,1091910.129999999888241,1124477.500000000000000,1033715.259999999892898,1053216.660000000149012,1047985.210000000079162,995038.149999999906868,1063887.669999999925494,1019386.089999999967404,1034684.920000000041910,1027277.360000000102445,10491578.949999999254942
20160328,1088479.299999999813735,1122462.150000000372529,1032324.939999999944121,1052191.620000000111759,1043245.930000000051223,985114.449999999953434,1071816.010000000009313,1018561.149999999906868,1040465.740000000107102,1030213.040000000037253,10484874.329999998211861
20160329,1094257.540000000037253,1130049.350000000093132,1025894.709999999962747,1059025.219999999972060,1052921.959999999962747,994045.780000000027940,1073291.050000000046566,1036434.849999999976717,1043356.150000000023283,1034004.959999999962747,10543281.570000000298023
20160330,1088659.870000000111759,1129219.500000000000000,1037712.429999999934807,1074913.339999999850988,1050947.260000000242144,994707.359999999986030,1082694.430000000167638,1055683.449999999953434,1051022.020000000018626,1033882.639999999897555,10599442.300000000745058
20160331,1108703.140000000130385,1130997.750000000000000,1029196.719999999972060,1073632.040000000037253,1044825.689999999944121,980483.390000000013970,1076056.750000000000000,1051558.750000000000000,1058687.889999999897555,1022506.880000000004657,10576649.000000001862645
20160401,1103286.040000000037253,1117483.050000000279397,1040493.069999999948777,1085078.319999999832362,1060425.820000000298023,993714.989999999874271,1082417.860000000102445,1066820.140000000130385,1089602.710000000195578,1014800.719999999972060,10654122.720000002533197
20160404,1094618.679999999701977,1107643.400000000372529,1028849.140000000013970,1089776.419999999925494,1074248.720000000204891,1016208.709999999962747,1083892.900000000139698,1070119.899999999906868,1084701.580000000074506,1017247.119999999995343,10667306.570000000298023
20160405,1086854.169999999925494,1098633.600000000093132,1014250.779999999911524,1088153.439999999944121,1071089.200000000186265,1037379.269999999902211,1070709.729999999981374,1058295.760000000009313,1047628.930000000051223,1005626.719999999972060,10578621.599999999627471
20160406,1081256.500000000000000,1124358.950000000186265,1022071.329999999958090,1089349.319999999832362,1098537.530000000260770,1089313.299999999813735,1068865.930000000167638,1075344.519999999785796,1051776.040000000037253,1019081.920000000041910,10719955.339999997988343
20160407,1062838.359999999869615,1123766.200000000186265,996176.619999999995343,1094645.359999999869615,1094390.660000000149012,1083689.870000000111759,1055682.760000000009313,1066682.649999999906868,1021740.910000000032596,1007583.840000000083819,10607197.230000000447035
20160408,1074394.839999999850988,1142022.899999999906868,1003475.800000000046566,1093107.799999999813735,1093205.839999999850988,1075089.330000000074506,1062412.630000000121072,1072869.699999999953434,1022620.600000000093132,1017858.719999999972060,10657058.160000000149012
20160411,1079811.939999999944121,1129100.950000000186265,1011470.140000000013970,1089691.000000000000000,1087084.270000000018626,1054911.140000000130385,1058264.080000000074506,1069982.409999999916181,1019855.860000000102445,1019204.239999999874271,10619376.030000001192093
20160412,1095702.100000000093132,1156011.800000000279397,1030239.459999999962747,1090118.099999999860302,1092810.899999999906868,1057226.669999999925494,1062043.869999999878928,1079606.709999999962747,1021866.580000000074506,1031803.199999999953434,10717429.389999998733401
20160413,1122426.459999999962747,1157078.750000000000000,1073860.750000000000000,1083967.860000000102445,1105054.040000000037253,1076412.489999999757856,1069142.500000000000000,1095968.019999999785796,1018976.170000000041910,1037674.559999999939464,10840561.599999999627471
20160414,1128746.410000000149012,1161583.650000000372529,1087763.950000000186265,1089263.900000000139698,1114730.070000000298023,1080051.179999999701977,1063611.100000000093132,1104492.399999999906868,1021238.230000000097789,1045013.760000000125729,10896494.650000002235174
20160415,1122065.319999999832362,1152692.400000000372529,1075251.069999999832362,1091570.239999999990687,1108608.500000000000000,1075089.330000000074506,1071631.630000000121072,1101055.149999999906868,1023500.290000000037253,1039387.040000000037253,10860850.969999998807907
20160418,1130190.970000000204891,1170119.250000000000000,1082202.669999999925494,1100710.179999999934807,1115914.890000000130385,1078728.020000000018626,1069603.449999999953434,1119891.280000000027940,1021112.560000000055879,1049294.959999999962747,10937768.230000000447035
20160419,1147886.830000000074506,1191458.250000000000000,1100450.620000000111759,1100795.600000000093132,1122826.339999999850988,1087990.140000000130385,1072000.389999999897555,1110266.979999999981374,1028527.090000000083819,1054554.719999999972060,11016756.960000000894070
20160420,1174069.479999999981374,1205565.700000000186265,1116439.299999999813735,1098147.580000000074506,1117297.180000000167638,1099237.000000000000000,1067667.459999999962747,1115766.580000000074506,1019604.520000000018626,1061771.599999999860302,11075566.400000000372529
20160421,1184723.109999999869615,1202127.750000000000000,1105316.740000000223517,1074571.660000000149012,1117692.120000000111759,1099567.790000000037253,1003042.270000000018626,1110816.940000000176951,1012441.330000000074506,1061649.280000000027940,10971948.989999998360872
20160422,1190501.350000000093132,1209359.300000000279397,1111746.969999999739230,1072094.479999999981374,1120456.700000000186265,1100560.160000000149012,1021941.220000000088476,1087718.619999999878928,1007163.190000000060536,1070700.959999999962747,10992242.949999999254942
20160425,1186348.240000000223517,1203431.800000000279397,1105316.740000000223517,1088836.799999999813735,1110188.260000000242144,1098575.419999999925494,1017331.720000000088476,1074382.090000000083819,1010304.940000000060536,1068254.560000000055879,10962970.570000000298023
20160426,1195376.740000000223517,1212678.700000000186265,1111051.810000000055879,1090972.299999999813735,1106633.799999999813735,1093282.779999999795109,1013920.689999999944121,1079744.199999999953434,1021866.580000000074506,1071924.159999999916181,10997451.759999999776483
20160427,1195918.450000000186265,1231172.500000000000000,1114180.029999999795109,1096012.080000000074506,1111965.490000000223517,1091628.830000000074506,1009864.330000000074506,1082906.469999999972060,1025008.330000000074506,1082076.719999999972060,11040733.230000002309680
20160428,1188876.220000000204891,1213982.750000000000000,1105316.740000000223517,1092766.120000000111759,1100709.700000000186265,1088651.719999999739230,1006176.729999999981374,1068057.550000000046566,1009802.260000000009313,1076816.959999999962747,10951156.750000000000000
20160429,1181472.850000000093132,1211374.650000000372529,1098365.140000000130385,1080551.059999999823049,1082937.399999999906868,1082035.919999999925494,1013275.360000000102445,1062007.989999999990687,996355.570000000065193,1081342.800000000046566,10889718.740000000223517
20160502,1185987.100000000093132,1224770.800000000279397,1108618.750000000000000,1095157.879999999888241,1092021.020000000018626,1085013.029999999795109,1022586.549999999930151,1078781.769999999785796,1012441.330000000074506,1090272.159999999916181,10995650.390000000596046
20160503,1170999.790000000037253,1201179.350000000093132,1087242.580000000074506,1096866.280000000027940,1087676.680000000167638,1114784.129999999888241,1017239.530000000027940,1061320.540000000037253,1023751.630000000004657,1077795.520000000018626,10938856.029999999329448
20160504,1160346.160000000149012,1192525.200000000186265,1087242.580000000074506,1104810.340000000083819,1082344.990000000223517,1104860.429999999701977,1011708.130000000004657,1061320.540000000037253,1024128.640000000013970,1075716.080000000074506,10905003.090000001713634
20160505,1154206.779999999795109,1202364.850000000093132,1064302.299999999813735,1104383.239999999990687,1068127.149999999906868,1110483.859999999869615,1021111.510000000009313,1063657.869999999878928,1023751.630000000004657,1076939.280000000027940,10889328.469999998807907
