訓練日期,20171229 - 20180404
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10145286.859999999403954
真實報酬,145286.859999999403954

夏普值報酬,0.005828686000000
夏普值風險,0.024065899926978
夏普值,0.242196885123169

預期報酬,7283.425636363634112
風險,316563.833813550707418
趨勢值,0.023007762916636
找到最佳解世代,98
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](13),BA[2](3),CAT[3](20),CSCO[4](1),JPM[13](6),MCD[15](25),MRK[17](16),MSFT[18](2),PFE[20](14),TRV[22](8),V[25](5),
Stock#,AAPL[0](13),BA[2](3),CAT[3](20),CSCO[4](1),JPM[13](6),MCD[15](25),MRK[17](16),MSFT[18](2),PFE[20](14),TRV[22](8),V[25](5),
張數,5313,3067,5738,23557,8433,5251,16061,10605,24995,6701,7950,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,141.959999999962747,184.549999999930151,76.040000000037253,25.369999999878928,96.929999999934807,141.900000000023283,37.400000000023283,29.400000000023283,21.850000000093132,32.339999999967404,7.500000000000000,
20171229,899260.949999999953434,904673.520000000018626,904270.080000000074506,902258.469999999855645,901921.949999999953434,903944.020000000018626,903789.870000000111759,907181.100000000093132,905340.750000000116415,908955.979999999864958,906466.500000000000000,9948073.190000001341105
20180102,915359.339999999967404,910592.829999999841675,901171.559999999939464,915450.389999999897555,910439.279999999911524,909720.119999999995343,902986.819999999948777,911529.150000000023283,910839.650000000023283,884430.319999999948777,910362.000000000000000,9982891.460000000894070
20180103,915199.949999999953434,913537.149999999906868,902548.680000000051223,922753.059999999939464,911366.909999999916181,905886.890000000013970,901701.940000000060536,915771.149999999906868,917588.300000000162981,887244.739999999990687,919425.000000000000000,10013033.769999999552965
20180104,919450.349999999976717,910071.439999999944121,914942.760000000009313,918512.799999999930151,919631.250000000000000,912240.599999999976717,916317.449999999953434,923830.950000000069849,919587.900000000023283,887244.739999999990687,922843.500000000000000,10064683.740000000223517
20180105,929916.959999999962747,947396.829999999841675,929402.520000000135042,931233.579999999958090,913728.149999999906868,914078.450000000069849,915353.790000000037253,935284.349999999976717,921337.550000000046566,885636.500000000000000,944944.500000000000000,10168323.179999999701977
20180108,926463.509999999892898,951414.599999999860302,952756.180000000051223,940891.949999999837019,915077.429999999934807,913448.330000000074506,910053.659999999916181,936238.800000000046566,911089.600000000209548,880878.789999999920838,948760.500000000000000,10187083.349999999627471
20180109,926357.250000000000000,976809.359999999986030,955051.380000000121072,935002.699999999837019,919715.579999999958090,911400.439999999944121,912302.199999999953434,935602.500000000000000,910089.800000000046566,887713.809999999939464,946932.000000000000000,10216987.019999999552965
20180110,926144.729999999864958,982421.969999999855645,951838.100000000093132,940185.239999999757856,929835.179999999934807,911242.910000000032596,920332.699999999953434,931360.500000000000000,911589.500000000116415,885301.450000000069849,945898.500000000000000,10236160.779999999329448
20180111,931404.599999999976717,1006528.589999999967404,970945.640000000013970,944661.069999999948777,934810.649999999906868,910612.789999999920838,925151.000000000000000,934117.800000000046566,913839.050000000162981,886842.679999999934807,952735.500000000000000,10311659.369999999180436
20180112,941021.130000000004657,1031340.619999999878928,977257.440000000060536,962799.959999999846332,950243.039999999920838,911557.969999999972060,942175.659999999916181,950237.399999999906868,913339.150000000023283,902858.069999999948777,954723.000000000000000,10437563.439999999478459
20180116,936239.429999999934807,1028120.270000000018626,971576.820000000065193,955026.149999999906868,946869.839999999850988,912135.580000000074506,996943.670000000041910,936981.149999999906868,914838.850000000093132,908151.859999999986030,957108.000000000000000,10464001.619999999180436
20180117,951700.259999999892898,1076732.219999999739230,966929.040000000037253,970573.769999999902211,952941.599999999860302,918961.880000000004657,996301.230000000097789,955964.099999999976717,929335.950000000069849,917131.200000000069849,969748.500000000000000,10606329.749999998137355
20180118,952550.339999999967404,1043455.270000000018626,968822.580000000074506,972929.469999999855645,955218.510000000009313,916808.969999999972060,981846.330000000074506,955539.899999999906868,924586.900000000139698,920347.679999999934807,978732.000000000000000,10570847.949999999254942
