訓練日期,20180725 - 20181024
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10574053.690000001341105
真實報酬,574053.690000001341105

夏普值報酬,0.048705369000000
夏普值風險,0.021875301451866
夏普值,2.226500471647004

預期報酬,15130.197213260025819
風險,172319.650717551063281
趨勢值,0.087803086590861
找到最佳解世代,42
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AAPL[0](5),AXP[1](12),BA[2](21),KO[14](17),MMM[16](18),MRK[17](2),MSFT[18](14),PFE[20](3),PG[21](11),UNH[23](9),VZ[26](7),WBA[27](1),WMT[28](6),
Stock#,AAPL[0](5),AXP[1](12),BA[2](21),KO[14](17),MMM[16](18),MRK[17](2),MSFT[18](14),PFE[20](3),PG[21](11),UNH[23](9),VZ[26](7),WBA[27](1),WMT[28](6),
張數,3985,7562,2147,16995,3833,12129,7144,20403,9738,3031,14933,11742,8745,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,125.000000000000000,98.980000000097789,24.310000000055879,36.300000000046566,23.559999999939464,8.819999999948777,106.960000000079162,36.899999999906868,25.380000000004657,83.440000000060536,31.170000000041910,11.579999999958090,19.800000000046566,
20180725,776482.699999999953434,776187.040000000037253,764184.550000000046566,783335.850000000093132,783412.099999999976717,782208.029999999911524,791876.480000000097789,775146.869999999995343,773904.239999999990687,772564.100000000093132,760270.199999999953434,783202.979999999981374,768705.300000000046566,10091490.440000001341105
20180726,774051.849999999976717,775203.980000000097789,771484.350000000093132,785885.100000000093132,797134.239999999990687,776386.109999999986030,783232.240000000107102,778615.379999999888241,779941.800000000046566,779050.440000000060536,764302.109999999986030,793066.260000000009313,771591.150000000023283,10129955.010000001639128
20180727,761180.299999999930151,785412.680000000051223,774339.859999999986030,785375.250000000116415,795064.419999999925494,770079.030000000027940,769372.880000000121072,783716.129999999888241,784713.420000000041910,775867.890000000013970,776696.500000000000000,805982.459999999962747,770716.650000000023283,10138527.470000000670552
20180730,756916.349999999976717,762726.680000000051223,753750.130000000004657,785715.150000000023283,786248.519999999902211,786089.309999999939464,752870.240000000107102,787388.669999999925494,781012.979999999981374,769472.480000000097789,783864.340000000083819,812088.299999999930151,777275.400000000023283,10095428.550000000745058
20180731,758430.650000000023283,752669.220000000088476,765000.410000000032596,792513.150000000139698,813846.119999999878928,798946.050000000046566,757942.480000000097789,814728.689999999944121,787634.819999999948777,767593.260000000009313,771171.290000000037253,794005.619999999995343,780336.150000000023283,10154827.910000000149012
20180801,803102.500000000000000,752139.880000000121072,757400.030000000027940,788434.350000000093132,793646.209999999962747,794337.029999999911524,759371.280000000144355,821665.709999999962747,785395.080000000074506,768047.910000000032596,772515.260000000009313,780150.059999999939464,771678.599999999976717,10147893.900000000372529
20180802,826574.149999999906868,754257.240000000107102,750894.620000000111759,784865.400000000023283,787820.049999999930151,791062.199999999953434,768587.040000000037253,809015.849999999860302,798541.380000000004657,776261.920000000041910,776248.510000000009313,786490.739999999990687,776226.000000000116415,10186855.099999999627471
20180803,828965.150000000023283,762272.960000000195578,748124.990000000107102,792343.199999999953434,794566.129999999888241,799673.790000000037253,771944.720000000088476,827174.519999999902211,801754.920000000041910,779717.260000000125729,780579.080000000074506,789308.819999999948777,783571.800000000046566,10260007.339999999850988
20180806,833268.949999999953434,763256.020000000135042,744110.100000000093132,792853.050000000046566,792304.659999999916181,803191.199999999953434,772587.680000000051223,837376.019999999902211,803605.140000000013970,778323.000000000000000,783715.010000000009313,791657.219999999972060,784183.950000000069849,10280442.000000000000000
20180807,825458.350000000093132,771196.120000000111759,753106.030000000027940,790303.800000000046566,799472.369999999878928,807557.639999999897555,777945.680000000051223,833295.419999999925494,804773.699999999953434,781020.589999999967404,783416.350000000093132,787312.679999999934807,785058.450000000069849,10299927.179999997839332
20180808,826016.250000000000000,777321.340000000083819,746707.969999999972060,784355.550000000046566,793991.179999999934807,808891.829999999958090,782303.520000000018626,844925.129999999888241,801949.679999999934807,784536.550000000046566,787000.270000000135042,780737.159999999916181,787507.050000000046566,10306253.480000000447035
20180809,832511.799999999930151,778909.360000000102445,737991.150000000139698,787754.550000000046566,784945.299999999930151,800522.819999999948777,783589.440000000060536,836559.899999999906868,792698.580000000074506,792962.729999999981374,791629.500000000000000,776979.719999999972060,778412.250000000116415,10275477.100000001490116
20180810,827132.050000000046566,768246.940000000060536,728737.580000000074506,783165.900000000023283,774136.239999999990687,801371.849999999860302,778802.960000000079162,835131.689999999944121,792990.720000000088476,789234.600000000093132,783565.680000000051223,780737.159999999916181,788643.900000000139698,10231907.269999999552965
20180813,832471.950000000069849,769986.200000000069849,726483.230000000097789,778917.150000000023283,766010.279999999911524,809255.699999999953434,773159.200000000069849,832683.329999999958090,793867.140000000013970,790901.650000000139698,779832.430000000051223,780619.739999999990687,783921.600000000093132,10218119.599999999627471
20180814,835978.750000000000000,772784.140000000130385,728157.890000000013970,779936.850000000093132,768616.719999999972060,806102.159999999916181,782803.600000000093132,830643.029999999911524,791822.160000000032596,798691.320000000065193,789538.880000000004657,806217.299999999930151,794503.050000000046566,10285805.850000003352761
20180815,837931.400000000023283,767717.600000000093132,712313.030000000027940,783165.900000000023283,771951.429999999934807,817139.550000000046566,769230.000000000000000,839824.379999999888241,801462.780000000027940,789992.350000000093132,795064.090000000083819,807039.239999999990687,788993.700000000069849,10281835.449999999254942
20180816,850205.199999999953434,776338.280000000144355,742843.370000000111759,785545.200000000069849,778697.510000000009313,835090.469999999855645,769087.120000000111759,845129.159999999916181,814998.599999999976717,797539.540000000153668,810445.080000000074506,817489.619999999995343,862626.600000000093132,10486045.750000000000000
