訓練日期,20180927 - 20181231
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9808391.179999999701977
真實報酬,-191608.820000000298023

夏普值報酬,-0.027860882000000
夏普值風險,0.030279298036219
夏普值,-0.920129719211910

預期報酬,3235.459364757379717
風險,312293.795394852350000
趨勢值,0.010360306264383
找到最佳解世代,15
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
CSCO[4](17),DIS[6](12),INTC[11](7),JNJ[12](9),KO[14](4),MCD[15](3),MSFT[18](15),PG[21](1),V[25](19),VZ[26](5),WBA[27](6),WMT[28](8),
Stock#,CSCO[4](17),DIS[6](12),INTC[11](7),JNJ[12](9),KO[14](4),MCD[15](3),MSFT[18](15),PG[21](1),V[25](19),VZ[26](5),WBA[27](6),WMT[28](8),
張數,17214,7233,18234,6031,18175,5027,7311,10008,5582,15681,11421,8809,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,3.260000000009313,19.070000000065193,39.199999999953434,90.040000000037253,9.250000000000000,57.480000000097789,25.219999999972060,66.919999999925494,107.859999999986030,44.660000000032596,56.840000000083819,89.689999999944121,
20180927,831955.880000000004657,839336.390000000130385,836615.119999999995343,833694.859999999986030,836241.000000000000000,837203.790000000153668,836476.729999999981374,829329.799999999930151,837519.500000000000000,840389.450000000069849,843040.850000000093132,829280.859999999869615,10031088.229999998584390
20180928,837464.359999999986030,845846.090000000083819,862325.059999999939464,833393.309999999939464,839512.500000000000000,841024.310000000055879,836184.290000000037253,833032.760000000009313,837910.239999999990687,837253.250000000000000,832647.740000000107102,827342.879999999888241,10063940.790000002831221
20181001,841251.439999999944121,840782.989999999990687,847008.500000000000000,842560.430000000051223,840239.500000000000000,837907.570000000065193,845249.929999999934807,837436.279999999911524,841817.639999999897555,844309.700000000069849,827622.500000000000000,831659.290000000037253,10077849.769999999552965
20181002,843661.400000000023283,851053.850000000093132,877094.599999999976717,847324.919999999925494,845328.500000000000000,830417.340000000083819,841886.869999999995343,844341.799999999930151,835565.799999999930151,853404.680000000051223,839386.130000000004657,838266.040000000037253,10147735.929999999701977
20181003,845899.219999999972060,845629.100000000093132,889129.039999999920838,838579.970000000088476,833696.500000000000000,827803.300000000046566,842033.089999999967404,831031.159999999916181,833891.199999999953434,851366.150000000023283,842926.640000000013970,828752.319999999832362,10110741.690000001341105
20181004,832816.580000000074506,839987.359999999986030,877641.619999999995343,840509.890000000013970,833333.000000000000000,833534.080000000190921,824632.910000000032596,819922.279999999911524,819322.179999999934807,862813.280000000027940,837672.980000000097789,829985.579999999841675,10052175.740000000223517
