訓練日期,20100407 - 20100708
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10774398.900000000372529
真實報酬,774398.900000000372529

夏普值報酬,0.068739890000000
夏普值風險,0.038866359813889
夏普值,1.768621767748790

預期報酬,16822.221421021753486
風險,444482.597216620168183
趨勢值,0.037846749290892
找到最佳解世代,2217
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,292226,
分配資金,10000000.000000000000000,
剩餘資金,26.280000001192093,
20100407,10043833.900000000372529,10043833.900000000372529
20100408,10017533.560000002384186,10017533.560000002384186
20100409,10093512.320000000298023,10093512.320000000298023
20100412,10113968.140000000596046,10113968.140000000596046
20100413,10119812.660000002011657,10119812.660000002011657
20100414,10257158.880000000819564,10257158.880000000819564
20100415,10391582.840000001713634,10391582.840000001713634
20100416,10327293.120000002905726,10327293.120000002905726
20100419,10315604.080000000074506,10315604.080000000074506
20100420,10210402.720000000670552,10210402.720000000670552
20100421,10821155.060000002384186,10821155.060000002384186
20100422,11125070.100000001490116,11125070.100000001490116
20100423,11306250.220000000670552,11306250.220000000670552
20100426,11250727.280000001192093,11250727.280000001192093
20100427,10938045.460000000894070,10938045.460000000894070
20100428,10920511.900000000372529,10920511.900000000372529
20100429,11215660.160000002011657,11215660.160000002011657
20100430,10900056.080000000074506,10900056.080000000074506
20100503,11119225.580000000074506,11119225.580000000074506
20100504,10797776.980000002309680,10797776.980000002309680
20100505,10686731.100000001490116,10686731.100000001490116
20100506,10280536.960000000894070,10280536.960000000894070
20100507,9845120.220000000670552,9845120.220000000670552
20100510,10601985.560000002384186,10601985.560000002384186
20100511,10710109.180000001564622,10710109.180000001564622
20100512,10940967.720000000670552,10940967.720000000670552
20100513,10786087.939999999478459,10786087.939999999478459
20100514,10596141.040000000968575,10596141.040000000968575
20100517,10613674.600000001490116,10613674.600000001490116
20100518,10534773.580000000074506,10534773.580000000074506
20100519,10368204.759999999776483,10368204.759999999776483
20100520,9926943.500000000000000,9926943.500000000000000
20100521,10116890.400000000372529,10116890.400000000372529
20100524,10300992.780000001192093,10300992.780000001192093
20100525,10236703.060000002384186,10236703.060000002384186
20100526,10189946.900000000372529,10189946.900000000372529
20100527,10575685.220000000670552,10575685.220000000670552
20100528,10724720.480000002309680,10724720.480000002309680
20100601,10888367.040000000968575,10888367.040000000968575
20100602,11019868.740000002086163,11019868.740000002086163
20100603,10984801.620000002905726,10984801.620000002905726
20100604,10686731.100000001490116,10686731.100000001490116
20100607,10476328.380000000819564,10476328.380000000819564
20100608,10409116.400000000372529,10409116.400000000372529
20100609,10151957.520000001415610,10151957.520000001415610
20100610,10458794.820000000298023,10458794.820000000298023
20100611,10584452.000000000000000,10584452.000000000000000
20100614,10616596.860000001266599,10616596.860000001266599
20100615,10841610.880000000819564,10841610.880000000819564
20100616,11157214.960000000894070,11157214.960000000894070
20100617,11350084.120000002905726,11350084.120000002905726
20100618,11440674.180000001564622,11440674.180000001564622
20100621,11279949.880000000819564,11279949.880000000819564
20100622,11431907.400000000372529,11431907.400000000372529
20100623,11312094.740000002086163,11312094.740000002086163
20100624,11230271.460000000894070,11230271.460000000894070
20100625,11133836.880000000819564,11133836.880000000819564
20100628,11201048.860000001266599,11201048.860000001266599
20100629,10695497.880000000819564,10695497.880000000819564
20100630,10499706.460000000894070,10499706.460000000894070
20100701,10374049.280000001192093,10374049.280000001192093
20100702,10309759.560000002384186,10309759.560000002384186
20100706,10379893.800000002607703,10379893.800000002607703
20100707,10797776.980000002309680,10797776.980000002309680
20100708,10774398.900000000372529,10774398.900000000372529
