訓練日期,20100427 - 20100728
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10160803.839999997988343
真實報酬,160803.839999997988343

夏普值報酬,0.007380384000000
夏普值風險,0.028557031399787
夏普值,0.258443670025688

預期報酬,2150.467730742520871
風險,283189.878285124606919
趨勢值,0.007593730905090
找到最佳解世代,1622
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
UNH[23](1),
Stock#,UNH[23](1),
張數,335008,
分配資金,10000000.000000000000000,
剩餘資金,11.199999999254942,
20100427,9983249.599999999627471,9983249.599999999627471
20100428,10197654.719999998807907,10197654.719999998807907
20100429,10485761.599999999627471,10485761.599999999627471
20100430,10154103.679999999701977,10154103.679999999701977
20100503,10137353.279999999329448,10137353.279999999329448
20100504,9879397.119999999180436,9879397.119999999180436
20100505,10050251.199999999254942,10050251.199999999254942
20100506,9795645.119999999180436,9795645.119999999180436
20100507,9721943.359999999403954,9721943.359999999403954
20100510,10010050.239999998360872,10010050.239999998360872
20100511,10000000.000000000000000,10000000.000000000000000
20100512,10157453.759999999776483,10157453.759999999776483
20100513,10110552.639999998733401,10110552.639999998733401
20100514,10180904.320000000298023,10180904.320000000298023
20100517,10197654.719999998807907,10197654.719999998807907
20100518,10110552.639999998733401,10110552.639999998733401
20100519,10046901.119999999180436,10046901.119999999180436
20100520,9701842.879999998956919,9701842.879999998956919
20100521,9614740.799999998882413,9614740.799999998882413
20100524,9658291.839999997988343,9658291.839999997988343
20100525,9671692.160000000149012,9671692.160000000149012
20100526,9644891.519999999552965,9644891.519999999552965
20100527,9822445.759999999776483,9822445.759999999776483
20100528,9738693.759999999776483,9738693.759999999776483
20100601,9708543.039999999105930,9708543.039999999105930
20100602,10020100.479999998584390,10020100.479999998584390
20100603,10204354.879999998956919,10204354.879999998956919
20100604,10164153.919999999925494,10164153.919999999925494
20100607,10204354.879999998956919,10204354.879999998956919
20100608,10348408.320000000298023,10348408.320000000298023
20100609,10227805.439999999478459,10227805.439999999478459
20100610,10284756.799999998882413,10284756.799999998882413
20100611,10274706.560000000521541,10274706.560000000521541
20100614,10247905.919999999925494,10247905.919999999925494
20100615,10448910.719999998807907,10448910.719999998807907
20100616,10515912.320000000298023,10515912.320000000298023
20100617,10552763.199999999254942,10552763.199999999254942
20100618,10495811.839999997988343,10495811.839999997988343
20100621,10435510.399999998509884,10435510.399999998509884
20100622,10264656.320000000298023,10264656.320000000298023
20100623,10120602.879999998956919,10120602.879999998956919
20100624,9969849.279999999329448,9969849.279999999329448
20100625,10010050.239999998360872,10010050.239999998360872
20100628,9778894.719999998807907,9778894.719999998807907
20100629,9591290.239999998360872,9591290.239999998360872
20100630,9514238.399999998509884,9514238.399999998509884
20100701,9329984.000000000000000,9329984.000000000000000
20100702,9480737.599999999627471,9480737.599999999627471
20100706,9678392.320000000298023,9678392.320000000298023
20100707,9782244.799999998882413,9782244.799999998882413
20100708,9943048.639999998733401,9943048.639999998733401
20100709,10040200.959999999031425,10040200.959999999031425
20100712,10063651.519999999552965,10063651.519999999552965
20100713,10097152.320000000298023,10097152.320000000298023
20100714,10157453.759999999776483,10157453.759999999776483
20100715,10345058.239999998360872,10345058.239999998360872
20100716,10164153.919999999925494,10164153.919999999925494
20100719,10324957.759999999776483,10324957.759999999776483
20100720,10328307.839999997988343,10328307.839999997988343
20100721,10284756.799999998882413,10284756.799999998882413
20100722,10385259.199999999254942,10385259.199999999254942
20100723,10358458.560000000521541,10358458.560000000521541
20100726,10542712.959999999031425,10542712.959999999031425
20100727,10311557.439999999478459,10311557.439999999478459
20100728,10160803.839999997988343,10160803.839999997988343
