訓練日期,20100716 - 20101015
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11481462.609999999403954
真實報酬,1481462.609999999403954

夏普值報酬,0.139446261000000
夏普值風險,0.042970612481147
夏普值,3.245154140197090

預期報酬,24924.283988362778473
風險,113730.142777300396119
趨勢值,0.219152841803496
找到最佳解世代,2250
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](7),VZ[26](1),
Stock#,MCD[15](7),VZ[26](1),
張數,70096,186567,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,52.320000000298023,4.399999999441206,
20100716,4902566.560000000521541,4979477.629999999888241,9882044.190000001341105
20100719,4900463.679999999701977,4985074.639999999664724,9885538.320000000298023
20100720,4967755.840000000782311,4975746.290000000037253,9943502.130000000819564
20100721,4914482.879999999888241,4947761.239999999292195,9862244.119999999180436
20100722,5004906.720000000670552,5037313.399999999441206,10042220.120000001043081
20100723,4899762.720000000670552,5227611.739999999292195,10127374.460000000894070
20100726,4967755.840000000782311,5276119.159999999217689,10243875.000000000000000
20100727,4934810.720000000670552,5333954.929999999701977,10268765.650000000372529
20100728,4890650.240000000223517,5393656.369999999180436,10284306.609999999403954
20100729,4863312.799999999813735,5388059.359999999403954,10251372.160000000149012
20100730,4887846.400000000372529,5421641.419999998994172,10309487.820000000298023
20100802,4924296.320000000298023,5514924.919999998994172,10439221.239999998360872
20100803,4938315.520000000484288,5511193.579999999143183,10449509.099999999627471
20100804,4955138.560000000521541,5485074.199999999254942,10440212.759999999776483
20100805,4938315.520000000484288,5513059.250000000000000,10451374.769999999552965
20100806,5028739.360000000335276,5513059.250000000000000,10541798.609999999403954
20100809,5111452.640000000596046,5570895.019999999552965,10682347.660000000149012
20100810,5105844.960000000894070,5600745.739999999292195,10706590.699999999254942
20100811,5016823.040000000037253,5514924.919999998994172,10531747.959999999031425
20100812,5051170.080000000074506,5656715.839999999850988,10707885.919999999925494
20100813,5039253.760000000707805,5602611.409999999217689,10641865.169999999925494
20100816,5032244.160000001080334,5589551.719999999739230,10621795.880000000819564
20100817,5132481.440000000409782,5628730.790000000037253,10761212.230000000447035
20100818,5134584.320000000298023,5624999.449999999254942,10759583.769999999552965
20100819,5114957.440000000409782,5526118.939999999478459,10641076.379999998956919
20100820,5122668.000000000000000,5479477.189999999478459,10602145.189999999478459
20100823,5140892.960000000894070,5486939.869999999180436,10627832.830000000074506
20100824,5097433.440000000409782,5498133.889999999664724,10595567.330000000074506
20100825,5130378.560000000521541,5533581.619999999180436,10663960.179999999701977
20100826,5128275.679999999701977,5503730.899999999441206,10632006.579999998211861
20100827,5186455.360000000335276,5567163.679999999701977,10753619.039999999105930
20100830,5098835.360000000335276,5492536.879999999888241,10591372.240000000223517
20100831,5121266.080000000074506,5509327.909999999217689,10630593.989999998360872
20100901,5225008.160000001080334,5645521.819999999366701,10870529.980000000447035
20100902,5258654.240000000223517,5617536.769999999552965,10876191.009999999776483
20100903,5263560.960000000894070,5634327.799999998882413,10897888.759999999776483
20100907,5313329.120000000111759,5638059.139999999664724,10951388.259999999776483
20100908,5332956.000000000000000,5682835.219999999739230,11015791.219999998807907
20100909,5213091.840000000782311,5753730.679999999701977,10966822.519999999552965
20100910,5257953.280000000260770,5749999.339999999850988,11007952.620000001043081
20100913,5227111.040000000037253,5764924.699999999254942,10992035.739999998360872
20100914,5182950.560000000521541,5766790.369999999180436,10949740.929999999701977
20100915,5236924.479999999515712,5819029.129999999888241,11055953.609999999403954
20100916,5243233.120000000111759,5861939.540000000037253,11105172.660000000149012
20100917,5209587.040000000037253,5910446.959999999031425,11120034.000000000000000
20100920,5264962.879999999888241,5986939.429999999701977,11251902.309999998658895
20100921,5293001.280000000260770,6029849.839999999850988,11322851.120000001043081
20100922,5266364.799999999813735,6042909.529999999329448,11309274.329999998211861
20100923,5232017.760000000707805,6001864.790000000037253,11233882.550000000745058
20100924,5264261.919999999925494,6089551.279999999329448,11353813.199999999254942
20100927,5240429.280000000260770,6130596.019999999552965,11371025.300000000745058
20100928,5231316.799999999813735,6104476.639999999664724,11335793.439999999478459
20100929,5218699.520000000484288,6093282.619999999180436,11311982.140000000596046
20100930,5222905.280000000260770,6080222.929999999701977,11303128.210000000894070
20101001,5251644.640000000596046,6136193.029999999329448,11387837.669999999925494
20101004,5253747.520000000484288,6162312.409999999217689,11416059.929999999701977
20101005,5314731.040000000037253,6263058.589999999850988,11577789.629999998956919
20101006,5285290.720000000670552,6203357.149999999441206,11488647.870000001043081
20101007,5317534.879999999888241,6143655.709999999031425,11461190.589999999850988
20101008,5334357.919999999925494,6124999.009999998845160,11459356.929999999701977
20101011,5298608.960000000894070,6162312.409999999217689,11460921.370000001043081
20101012,5297908.000000000000000,6070894.579999999143183,11368802.579999998211861
20101013,5309824.320000000298023,6009327.469999999739230,11319151.789999999105930
20101014,5400248.160000001080334,6052237.879999998956919,11452486.039999999105930
20101015,5431090.400000000372529,6050372.209999999031425,11481462.609999999403954
