訓練日期,20101202 - 20110307
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11703350.910000000149012
真實報酬,1703350.910000000149012

夏普值報酬,0.161635091000000
夏普值風險,0.047694503705774
夏普值,3.388966829325306

預期報酬,26835.217841029192641
風險,62295.944149062954239
趨勢值,0.430769903363490
找到最佳解世代,2002
找到最佳解實驗#,3
找到最佳解次數,15

stock[index](rank)
投資組合檔數,4
CVX[5](1),MMM[16](14),PFE[20](2),XOM[29](3),
Stock#,CVX[5](1),MMM[16](14),PFE[20](2),XOM[29](3),
張數,30229,29052,149700,35048,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,61.699999999720603,75.399999999906868,10.000000000000000,26.160000000149012,
20101202,2554412.199999999720603,2513363.919999999925494,2498503.000000000000000,2505257.200000000186265,10071536.320000000298023
20101203,2566201.509999999776483,2525856.279999999795109,2502994.000000000000000,2495093.280000000260770,10090145.070000000298023
20101206,2568015.250000000000000,2524113.159999999683350,2516467.000000000000000,2499299.040000000037253,10107894.449999999254942
20101207,2608824.399999999441206,2445963.279999999795109,2510479.000000000000000,2504556.239999999757856,10069822.919999999925494
20101208,2603987.759999999776483,2460198.760000000242144,2502994.000000000000000,2518224.959999999962747,10085405.480000000447035
20101209,2619404.549999999813735,2443639.120000000111759,2508982.000000000465661,2523482.160000000149012,10095507.830000000074506
20101210,2630891.569999999832362,2449740.039999999571592,2547904.000000000000000,2529790.800000000279397,10158326.410000000149012
20101213,2671398.429999999701977,2478211.000000000000000,2573353.000000000000000,2536099.439999999944121,10259061.869999999180436
20101214,2671700.719999999739230,2493899.080000000074506,2561377.000000000000000,2529790.800000000279397,10256767.599999999627471
20101215,2660515.989999999757856,2493027.520000000018626,2556885.999999999534339,2518224.959999999962747,10228654.469999998807907
20101216,2692256.439999999944121,2510168.200000000186265,2577844.000000000000000,2531192.720000000204891,10311461.360000001266599
20101217,2675025.909999999683350,2509296.640000000130385,2549401.000000000000000,2529440.320000000298023,10263163.870000001043081
20101220,2684396.899999999441206,2537477.080000000074506,2570359.000000000465661,2531192.720000000204891,10323425.700000001117587
20101221,2697395.369999999646097,2513944.959999999962747,2601796.000000000000000,2548716.720000000204891,10361853.050000000745058
20101222,2718253.379999999888241,2519464.839999999850988,2628742.000000000000000,2551520.560000000055879,10417980.779999999329448
20101223,2741227.419999999925494,2512201.839999999850988,2636227.000000000000000,2565539.760000000242144,10455196.019999999552965
20101227,2724299.179999999701977,2527889.919999999925494,2618262.999999999534339,2558880.640000000130385,10429332.740000000223517
20101228,2756644.209999999497086,2520045.879999999888241,2633233.000000000000000,2573250.320000000298023,10483173.410000000149012
20101229,2762085.429999999701977,2520626.919999999925494,2634730.000000000000000,2571497.920000000391155,10488940.269999999552965
20101230,2769038.099999999627471,2514235.479999999981374,2618262.999999999534339,2571147.439999999944121,10472684.019999999552965
20101231,2758457.949999999720603,2507263.000000000000000,2621257.000000000465661,2562735.920000000391155,10449713.869999999180436
20110103,2779315.959999999497086,2521498.479999999981374,2646706.000000000000000,2612854.560000000055879,10560375.000000000000000
20110104,2769038.099999999627471,2518012.239999999757856,2693112.999999999534339,2625121.360000000335276,10605284.699999999254942
20110105,2764201.459999999497086,2518012.239999999757856,2711077.000000000000000,2618111.760000000242144,10611402.459999999031425
20110106,2741529.709999999497086,2502614.679999999701977,2721556.000000000000000,2634934.800000000279397,10600635.189999999478459
20110107,2756644.209999999497086,2505229.359999999869615,2745508.000000000000000,2649304.480000000447035,10656686.050000000745058
20110110,2733065.589999999385327,2531957.200000000186265,2733532.000000000465661,2633182.399999999906868,10631737.189999999478459
20110111,2775990.769999999552965,2549097.879999999888241,2727544.000000000000000,2652809.280000000260770,10705441.929999999701977
20110112,2794732.750000000000000,2575825.719999999739230,2749999.000000000000000,2684002.000000000000000,10804559.469999998807907
20110113,2786570.919999999925494,2557813.479999999981374,2727544.000000000000000,2688558.239999999757856,10760486.640000000596046
20110114,2806219.769999999552965,2559556.599999999627471,2745508.000000000000000,2728162.480000000447035,10839446.849999999627471
20110118,2821938.849999999627471,2560718.679999999701977,2751496.000000000000000,2758654.239999999757856,10892807.769999999552965
20110119,2810451.829999999608845,2555489.319999999832362,2742514.000000000000000,2742181.680000000167638,10850636.830000000074506
20110120,2802592.289999999571592,2557813.479999999981374,2730537.999999999534339,2725008.160000000149012,10815951.929999999701977
20110121,2834937.319999999832362,2594128.479999999981374,2748502.000000000000000,2768117.200000000186265,10945685.000000000000000
20110124,2844610.599999999627471,2624052.039999999571592,2761975.000000000000000,2754448.480000000447035,10985086.119999999180436
20110125,2844006.019999999552965,2571177.399999999906868,2764969.000000000000000,2757602.800000000279397,10937755.220000000670552
20110126,2860934.259999999776483,2602263.039999999571592,2748502.000000000000000,2791949.839999999850988,11003649.139999998733401
20110127,2864259.449999999720603,2591223.279999999795109,2766466.000000000000000,2799660.399999999906868,11021609.129999998956919
20110128,2822543.429999999701977,2540382.279999999795109,2717065.000000000000000,2768467.680000000167638,10848458.389999998733401
20110131,2869700.669999999925494,2554327.239999999757856,2727544.000000000000000,2827698.800000000279397,10979270.710000000894070
20110201,2908696.079999999608845,2550550.479999999981374,2877244.000000000000000,2940903.839999999850988,11277394.399999998509884
20110202,2916555.619999999646097,2549388.399999999906868,2838322.000000000000000,2923379.839999999850988,11227645.859999999403954
20110203,2941645.689999999944121,2555198.799999999813735,2869759.000000000465661,2924431.280000000260770,11291034.769999999552965
20110204,2935599.889999999664724,2565076.479999999981374,2889220.000000000000000,2918823.600000000093132,11308719.969999998807907
20110207,2952225.839999999385327,2579602.479999999981374,2850298.000000000000000,2941604.800000000279397,11323731.119999999180436
20110208,2954644.159999999683350,2599357.839999999850988,2868262.000000000000000,2908309.200000000186265,11330573.199999999254942
20110209,2909300.659999999683350,2637415.959999999962747,2851795.000000000000000,2893238.560000000055879,11291750.179999999701977
20110210,2923206.000000000000000,2628119.319999999832362,2848801.000000000000000,2916019.760000000242144,11316146.080000000074506
20110211,2915648.750000000000000,2667049.000000000000000,2818860.999999999534339,2902701.520000000018626,11304260.269999999552965
