訓練日期,20110816 - 20111115
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11060709.270000003278255
真實報酬,1060709.270000003278255

夏普值報酬,0.097370927000000
夏普值風險,0.032086451219749
夏普值,3.034643075145321

預期報酬,17851.111473442615534
風險,162452.945813250116771
趨勢值,0.109884812393390
找到最佳解世代,2528
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
VZ[26](3),WMT[28](1),
Stock#,VZ[26](3),WMT[28](1),
張數,142653,100040,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,12.350000000558794,0.800000000745058,
20110816,4975748.990000001154840,5194077.600000000558794,10169826.590000001713634
20110817,5079885.680000000633299,5157062.800000000745058,10236948.480000000447035
20110818,5002853.060000000521541,5181072.400000000372529,10183925.460000000894070
20110819,4951497.980000000447035,5232092.800000000745058,10183590.780000001192093
20110822,4967189.810000000521541,5221088.400000000372529,10188278.210000000894070
20110823,5129814.230000000447035,5323129.200000001117587,10452943.430000001564622
20110824,5202567.260000000707805,5339135.600000000558794,10541702.860000001266599
20110825,5102710.160000001080334,5272108.800000000745058,10374818.960000000894070
20110826,5101283.629999999888241,5292116.800000000745058,10393400.429999999701977
20110829,5155491.770000000484288,5321128.400000000372529,10476620.170000001788139
20110830,5179742.780000001192093,5284113.600000000558794,10463856.380000002682209
20110831,5159771.360000001266599,5321128.400000000372529,10480899.760000001639128
20110901,5118401.990000001154840,5267106.800000000745058,10385508.790000002831221
20110902,5072753.030000001192093,5205082.000000000931323,10277835.030000001192093
20110906,5024251.010000000707805,5170068.000000000931323,10194319.010000001639128
20110907,5081312.209999999962747,5244097.600000000558794,10325409.810000000521541
20110908,5047075.490000001154840,5223089.200000001117587,10270164.690000001341105
20110909,5027104.070000001229346,5138055.200000001117587,10165159.270000003278255
20110912,5028530.600000000558794,5184073.600000000558794,10212604.200000001117587
20110913,5064193.850000000558794,5161064.400000001303852,10225258.250000001862645
20110914,5078459.150000000372529,5222088.800000000745058,10300547.950000001117587
20110915,5162624.419999999925494,5253101.200000000186265,10415725.620000001043081
20110916,5238230.510000000707805,5267106.800000000745058,10505337.310000002384186
20110919,5175463.190000000409782,5247098.800000000745058,10422561.990000002086163
20110920,5194008.080000000074506,5231092.400000000372529,10425100.480000000447035
20110921,5112695.870000001043081,5134053.600000000558794,10246749.470000002533197
20110922,5077032.620000001043081,5030012.000000000931323,10107044.620000001043081
20110923,5118401.990000001154840,5082032.800000000745058,10200434.790000002831221
20110926,5186875.430000000633299,5185074.000000000931323,10371949.430000001564622
20110927,5262481.520000000484288,5205082.000000000931323,10467563.520000001415610
20110928,5255348.870000001043081,5133053.200000001117587,10388402.070000002160668
20110929,5299571.300000000745058,5195078.000000000931323,10494649.300000000745058
20110930,5249642.750000000000000,5192076.800000000745058,10441719.550000000745058
20111003,5184022.370000001043081,5198079.200000001117587,10382101.570000002160668
20111004,5192581.550000000745058,5290116.000000000931323,10482697.550000000745058
20111005,5102710.160000001080334,5267106.800000000745058,10369816.960000000894070
20111006,5122681.580000000074506,5277110.800000000745058,10399792.380000000819564
20111007,5158344.830000000074506,5372148.800000000745058,10530493.630000000819564
20111010,5263908.050000000745058,5483193.200000001117587,10747101.250000001862645
20111011,5206846.850000000558794,5474189.600000000558794,10681036.450000001117587
20111012,5231097.860000001266599,5522208.800000000745058,10753306.660000002011657
20111013,5281026.410000001080334,5504201.600000001490116,10785228.010000001639128
20111014,5325248.839999999850988,5548219.200000001117587,10873468.040000000968575
20111017,5269614.169999999925494,5480192.000000000931323,10749806.170000001788139
20111018,5312410.070000001229346,5591236.400000000372529,10903646.470000002533197
20111019,5285306.000000000000000,5627250.800000000745058,10912556.800000000745058
20111020,5292438.650000000372529,5639255.600000000558794,10931694.250000000000000
20111021,5338087.610000001266599,5694277.600000000558794,11032365.210000000894070
20111024,5268187.640000000596046,5680272.000000000931323,10948459.640000000596046
20111025,5162624.419999999925494,5673269.200000001117587,10835893.620000001043081
20111026,5251069.280000001192093,5739295.600000000558794,10990364.880000002682209
20111027,5372324.330000000074506,5783313.200000001117587,11155637.530000001192093
20111028,5368044.740000001154840,5717286.800000000745058,11085331.540000002831221
20111031,5275320.290000000037253,5674269.600000000558794,10949589.890000000596046
20111101,5202567.260000000707805,5625250.000000000000000,10827817.260000001639128
20111102,5249642.750000000000000,5688275.200000001117587,10937917.950000001117587
20111103,5342367.200000001117587,5744297.600000000558794,11086664.800000000745058
20111104,5302424.360000001266599,5752300.800000000745058,11054725.160000002011657
20111107,5326675.370000001043081,5796318.400000000372529,11122993.770000001415610
20111108,5352352.910000001080334,5934373.600000000558794,11286726.510000001639128
20111109,5262481.520000000484288,5807322.800000000745058,11069804.320000000298023
20111110,5325248.839999999850988,5815326.000000000931323,11140574.839999999850988
20111111,5352352.910000001080334,5922368.800000000745058,11274721.710000000894070
20111114,5278173.350000000558794,5891356.400000000372529,11169529.750000000000000
20111115,5312410.070000001229346,5748299.200000001117587,11060709.270000003278255
